date,IG_unscaled,IG_monthly,isPartial,scale,IG
2016-05-01,81,27.0,False,0.27,21.87
2016-05-02,77,27.0,,0.27,20.790000000000003
2016-05-03,76,27.0,,0.27,20.520000000000003
2016-05-04,73,27.0,,0.27,19.71
2016-05-05,77,27.0,,0.27,20.790000000000003
2016-05-06,76,27.0,,0.27,20.520000000000003
2016-05-07,88,27.0,,0.27,23.76
2016-05-08,84,27.0,,0.27,22.68
2016-05-09,75,27.0,,0.27,20.25
2016-05-10,85,27.0,,0.27,22.950000000000003
2016-05-11,80,27.0,,0.27,21.6
2016-05-12,86,27.0,,0.27,23.220000000000002
2016-05-13,86,27.0,,0.27,23.220000000000002
2016-05-14,86,27.0,,0.27,23.220000000000002
2016-05-15,83,27.0,,0.27,22.41
2016-05-16,84,27.0,,0.27,22.68
2016-05-17,86,27.0,,0.27,23.220000000000002
2016-05-18,83,27.0,,0.27,22.41
2016-05-19,70,27.0,,0.27,18.900000000000002
2016-05-20,77,27.0,,0.27,20.790000000000003
2016-05-21,91,27.0,,0.27,24.57
2016-05-22,88,27.0,,0.27,23.76
2016-05-23,79,27.0,,0.27,21.330000000000002
2016-05-24,85,27.0,,0.27,22.950000000000003
2016-05-25,98,27.0,,0.27,26.46
2016-05-26,93,27.0,,0.27,25.110000000000003
2016-05-27,89,27.0,,0.27,24.03
2016-05-28,93,27.0,,0.27,25.110000000000003
2016-05-29,97,27.0,,0.27,26.19
2016-05-30,100,27.0,,0.27,27.0
2016-05-31,90,27.0,,0.27,24.3
2016-06-01,89,29.0,False,0.29,25.81
2016-06-02,87,29.0,,0.29,25.229999999999997
2016-06-03,78,29.0,,0.29,22.619999999999997
2016-06-04,82,29.0,,0.29,23.779999999999998
2016-06-05,89,29.0,,0.29,25.81
2016-06-06,87,29.0,,0.29,25.229999999999997
2016-06-07,87,29.0,,0.29,25.229999999999997
2016-06-08,83,29.0,,0.29,24.069999999999997
2016-06-09,87,29.0,,0.29,25.229999999999997
2016-06-10,83,29.0,,0.29,24.069999999999997
2016-06-11,90,29.0,,0.29,26.099999999999998
2016-06-12,92,29.0,,0.29,26.68
2016-06-13,82,29.0,,0.29,23.779999999999998
2016-06-14,84,29.0,,0.29,24.36
2016-06-15,77,29.0,,0.29,22.33
2016-06-16,87,29.0,,0.29,25.229999999999997
2016-06-17,82,29.0,,0.29,23.779999999999998
2016-06-18,90,29.0,,0.29,26.099999999999998
2016-06-19,93,29.0,,0.29,26.97
2016-06-20,97,29.0,,0.29,28.13
2016-06-21,96,29.0,,0.29,27.839999999999996
2016-06-22,90,29.0,,0.29,26.099999999999998
2016-06-23,93,29.0,,0.29,26.97
2016-06-24,89,29.0,,0.29,25.81
2016-06-25,98,29.0,,0.29,28.419999999999998
2016-06-26,87,29.0,,0.29,25.229999999999997
2016-06-27,91,29.0,,0.29,26.389999999999997
2016-06-28,100,29.0,,0.29,28.999999999999996
2016-06-29,94,29.0,,0.29,27.259999999999998
2016-06-30,80,29.0,,0.29,23.2
2016-07-01,72,30.0,False,0.3,21.599999999999998
2016-07-02,91,30.0,,0.3,27.3
2016-07-03,83,30.0,,0.3,24.9
