date,ST_unscaled,ST_monthly,isPartial,scale,ST
2016-05-01,91,82.0,False,0.82,74.61999999999999
2016-05-02,95,82.0,,0.82,77.89999999999999
2016-05-03,90,82.0,,0.82,73.8
2016-05-04,91,82.0,,0.82,74.61999999999999
2016-05-05,96,82.0,,0.82,78.72
2016-05-06,98,82.0,,0.82,80.36
2016-05-07,95,82.0,,0.82,77.89999999999999
2016-05-08,86,82.0,,0.82,70.52
2016-05-09,93,82.0,,0.82,76.25999999999999
2016-05-10,92,82.0,,0.82,75.44
2016-05-11,94,82.0,,0.82,77.08
2016-05-12,98,82.0,,0.82,80.36
2016-05-13,98,82.0,,0.82,80.36
2016-05-14,93,82.0,,0.82,76.25999999999999
2016-05-15,93,82.0,,0.82,76.25999999999999
2016-05-16,96,82.0,,0.82,78.72
2016-05-17,93,82.0,,0.82,76.25999999999999
2016-05-18,96,82.0,,0.82,78.72
2016-05-19,96,82.0,,0.82,78.72
2016-05-20,99,82.0,,0.82,81.17999999999999
2016-05-21,96,82.0,,0.82,78.72
2016-05-22,91,82.0,,0.82,74.61999999999999
2016-05-23,96,82.0,,0.82,78.72
2016-05-24,100,82.0,,0.82,82.0
2016-05-25,95,82.0,,0.82,77.89999999999999
2016-05-26,94,82.0,,0.82,77.08
2016-05-27,95,82.0,,0.82,77.89999999999999
2016-05-28,93,82.0,,0.82,76.25999999999999
2016-05-29,92,82.0,,0.82,75.44
2016-05-30,80,82.0,,0.82,65.6
2016-05-31,97,82.0,,0.82,79.53999999999999
2016-06-01,96,83.0,False,0.83,79.67999999999999
2016-06-02,91,83.0,,0.83,75.53
2016-06-03,93,83.0,,0.83,77.19
2016-06-04,91,83.0,,0.83,75.53
2016-06-05,88,83.0,,0.83,73.03999999999999
2016-06-06,100,83.0,,0.83,83.0
2016-06-07,91,83.0,,0.83,75.53
2016-06-08,90,83.0,,0.83,74.7
2016-06-09,93,83.0,,0.83,77.19
2016-06-10,98,83.0,,0.83,81.33999999999999
2016-06-11,88,83.0,,0.83,73.03999999999999
2016-06-12,92,83.0,,0.83,76.36
2016-06-13,99,83.0,,0.83,82.17
2016-06-14,94,83.0,,0.83,78.02
2016-06-15,89,83.0,,0.83,73.86999999999999
2016-06-16,91,83.0,,0.83,75.53
2016-06-17,92,83.0,,0.83,76.36
2016-06-18,90,83.0,,0.83,74.7
2016-06-19,84,83.0,,0.83,69.72
2016-06-20,91,83.0,,0.83,75.53
2016-06-21,91,83.0,,0.83,75.53
2016-06-22,94,83.0,,0.83,78.02
2016-06-23,91,83.0,,0.83,75.53
2016-06-24,89,83.0,,0.83,73.86999999999999
2016-06-25,93,83.0,,0.83,77.19
2016-06-26,92,83.0,,0.83,76.36
2016-06-27,93,83.0,,0.83,77.19
2016-06-28,93,83.0,,0.83,77.19
2016-06-29,92,83.0,,0.83,76.36
2016-06-30,91,83.0,,0.83,75.53
2016-07-01,94,78.0,False,0.78,73.32000000000001
2016-07-02,94,78.0,,0.78,73.32000000000001
2016-07-03,94,78.0,,0.78,73.32000000000001
2016-07-04,83,78.0,,0.78,64.74000000000001
2016-07-05,96,78.0,,0.78,74.88
2016-07-06,96,78.0,,0.78,74.88
2016-07-07,98,78.0,,0.78,76.44
2016-07-08,94,78.0,,0.78,73.32000000000001
2016-07-09,91,78.0,,0.78,70.98
2016-07-10,91,78.0,,0.78,70.98
2016-07-11,98,78.0,,0.78,76.44
2016-07-12,94,78.0,,0.78,73.32000000000001
2016-07-13,100,78.0,,0.78,78.0
2016-07-14,94,78.0,,0.78,73.32000000000001
2016-07-15,91,78.0,,0.78,70.98
2016-07-16,89,78.0,,0.78,69.42
2016-07-17,90,78.0,,0.78,70.2
2016-07-18,95,78.0,,0.78,74.10000000000001
2016-07-19,94,78.0,,0.78,73.32000000000001
2016-07-20,96,78.0,,0.78,74.88
2016-07-21,91,78.0,,0.78,70.98
2016-07-22,94,78.0,,0.78,73.32000000000001
2016-07-23,94,78.0,,0.78,73.32000000000001
2016-07-24,88,78.0,,0.78,68.64
2016-07-25,94,78.0,,0.78,73.32000000000001
2016-07-26,93,78.0,,0.78,72.54
2016-07-27,93,78.0,,0.78,72.54
2016-07-28,91,78.0,,0.78,70.98
2016-07-29,92,78.0,,0.78,71.76
2016-07-30,89,78.0,,0.78,69.42
2016-07-31,91,78.0,,0.78,70.98
2016-08-01,96,76.0,False,0.76,72.96000000000001
2016-08-02,96,76.0,,0.76,72.96000000000001
2016-08-03,100,76.0,,0.76,76.0
2016-08-04,95,76.0,,0.76,72.2
2016-08-05,96,76.0,,0.76,72.96000000000001
2016-08-06,90,76.0,,0.76,68.4
2016-08-07,86,76.0,,0.76,65.36
2016-08-08,94,76.0,,0.76,71.44
2016-08-09,91,76.0,,0.76,69.16
2016-08-10,92,76.0,,0.76,69.92
2016-08-11,93,76.0,,0.76,70.68
