date,LUV_unscaled,LUV_monthly,isPartial,scale,LUV
2016-05-01,35,44.0,False,0.44,15.4
2016-05-02,35,44.0,,0.44,15.4
2016-05-03,31,44.0,,0.44,13.64
2016-05-04,34,44.0,,0.44,14.96
2016-05-05,38,44.0,,0.44,16.72
2016-05-06,35,44.0,,0.44,15.4
2016-05-07,36,44.0,,0.44,15.84
2016-05-08,38,44.0,,0.44,16.72
2016-05-09,33,44.0,,0.44,14.52
2016-05-10,36,44.0,,0.44,15.84
2016-05-11,32,44.0,,0.44,14.08
2016-05-12,34,44.0,,0.44,14.96
2016-05-13,39,44.0,,0.44,17.16
2016-05-14,47,44.0,,0.44,20.68
2016-05-15,40,44.0,,0.44,17.6
2016-05-16,32,44.0,,0.44,14.08
2016-05-17,31,44.0,,0.44,13.64
2016-05-18,42,44.0,,0.44,18.48
2016-05-19,36,44.0,,0.44,15.84
2016-05-20,35,44.0,,0.44,15.4
2016-05-21,53,44.0,,0.44,23.32
2016-05-22,100,44.0,,0.44,44.0
2016-05-23,72,44.0,,0.44,31.68
2016-05-24,54,44.0,,0.44,23.76
2016-05-25,38,44.0,,0.44,16.72
2016-05-26,45,44.0,,0.44,19.8
2016-05-27,37,44.0,,0.44,16.28
2016-05-28,38,44.0,,0.44,16.72
2016-05-29,40,44.0,,0.44,17.6
2016-05-30,35,44.0,,0.44,15.4
2016-05-31,37,44.0,,0.44,16.28
2016-06-01,70,46.0,False,0.46,32.2
2016-06-02,58,46.0,,0.46,26.68
2016-06-03,63,46.0,,0.46,28.98
2016-06-04,65,46.0,,0.46,29.900000000000002
2016-06-05,65,46.0,,0.46,29.900000000000002
2016-06-06,49,46.0,,0.46,22.540000000000003
2016-06-07,55,46.0,,0.46,25.3
2016-06-08,55,46.0,,0.46,25.3
2016-06-09,59,46.0,,0.46,27.14
2016-06-10,100,46.0,,0.46,46.0
2016-06-11,76,46.0,,0.46,34.96
2016-06-12,76,46.0,,0.46,34.96
2016-06-13,74,46.0,,0.46,34.04
2016-06-14,71,46.0,,0.46,32.660000000000004
2016-06-15,73,46.0,,0.46,33.58
2016-06-16,68,46.0,,0.46,31.28
2016-06-17,62,46.0,,0.46,28.52
2016-06-18,78,46.0,,0.46,35.88
2016-06-19,58,46.0,,0.46,26.68
2016-06-20,68,46.0,,0.46,31.28
2016-06-21,67,46.0,,0.46,30.82
2016-06-22,55,46.0,,0.46,25.3
2016-06-23,75,46.0,,0.46,34.5
2016-06-24,77,46.0,,0.46,35.42
2016-06-25,93,46.0,,0.46,42.78
2016-06-26,88,46.0,,0.46,40.480000000000004
2016-06-27,67,46.0,,0.46,30.82
2016-06-28,82,46.0,,0.46,37.72
2016-06-29,89,46.0,,0.46,40.940000000000005
2016-06-30,78,46.0,,0.46,35.88
2016-07-01,52,64.0,False,0.64,33.28
2016-07-02,49,64.0,,0.64,31.36
2016-07-03,52,64.0,,0.64,33.28
2016-07-04,54,64.0,,0.64,34.56
2016-07-05,42,64.0,,0.64,26.88
2016-07-06,43,64.0,,0.64,27.52
2016-07-07,40,64.0,,0.64,25.6
2016-07-08,50,64.0,,0.64,32.0
2016-07-09,62,64.0,,0.64,39.68
2016-07-10,46,64.0,,0.64,29.44
2016-07-11,45,64.0,,0.64,28.8
2016-07-12,45,64.0,,0.64,28.8
2016-07-13,43,64.0,,0.64,27.52
2016-07-14,48,64.0,,0.64,30.72
2016-07-15,51,64.0,,0.64,32.64
2016-07-16,59,64.0,,0.64,37.76
2016-07-17,56,64.0,,0.64,35.84
2016-07-18,49,64.0,,0.64,31.36
2016-07-19,53,64.0,,0.64,33.92
2016-07-20,54,64.0,,0.64,34.56
2016-07-21,68,64.0,,0.64,43.52
2016-07-22,74,64.0,,0.64,47.36
2016-07-23,55,64.0,,0.64,35.2
2016-07-24,53,64.0,,0.64,33.92
2016-07-25,59,64.0,,0.64,37.76
2016-07-26,48,64.0,,0.64,30.72
2016-07-27,56,64.0,,0.64,35.84
2016-07-28,61,64.0,,0.64,39.04
2016-07-29,64,64.0,,0.64,40.96
2016-07-30,60,64.0,,0.64,38.4
2016-07-31,100,64.0,,0.64,64.0
2016-08-01,100,70.0,False,0.7,70.0
2016-08-02,66,70.0,,0.7,46.199999999999996
2016-08-03,70,70.0,,0.7,49.0
2016-08-04,55,70.0,,0.7,38.5
2016-08-05,62,70.0,,0.7,43.4
2016-08-06,48,70.0,,0.7,33.599999999999994
2016-08-07,53,70.0,,0.7,37.099999999999994
2016-08-08,53,70.0,,0.7,37.099999999999994
2016-08-09,58,70.0,,0.7,40.599999999999994
2016-08-10,61,70.0,,0.7,42.699999999999996
2016-08-11,57,70.0,,0.7,39.9
2016-08-12,52,70.0,,0.7,36.4
2016-08-13,57,70.0,,0.7,39.9
