date,NOW_unscaled,NOW_monthly,isPartial,scale,NOW
2016-05-01,88,67.0,False,0.67,58.96
2016-05-02,85,67.0,,0.67,56.95
2016-05-03,79,67.0,,0.67,52.93
2016-05-04,79,67.0,,0.67,52.93
2016-05-05,75,67.0,,0.67,50.25
2016-05-06,75,67.0,,0.67,50.25
2016-05-07,81,67.0,,0.67,54.27
2016-05-08,81,67.0,,0.67,54.27
2016-05-09,81,67.0,,0.67,54.27
2016-05-10,76,67.0,,0.67,50.92
2016-05-11,79,67.0,,0.67,52.93
2016-05-12,80,67.0,,0.67,53.6
2016-05-13,82,67.0,,0.67,54.940000000000005
2016-05-14,82,67.0,,0.67,54.940000000000005
2016-05-15,91,67.0,,0.67,60.970000000000006
2016-05-16,86,67.0,,0.67,57.620000000000005
2016-05-17,81,67.0,,0.67,54.27
2016-05-18,77,67.0,,0.67,51.59
2016-05-19,81,67.0,,0.67,54.27
2016-05-20,77,67.0,,0.67,51.59
2016-05-21,87,67.0,,0.67,58.290000000000006
2016-05-22,87,67.0,,0.67,58.290000000000006
2016-05-23,91,67.0,,0.67,60.970000000000006
2016-05-24,84,67.0,,0.67,56.28
2016-05-25,86,67.0,,0.67,57.620000000000005
2016-05-26,81,67.0,,0.67,54.27
2016-05-27,83,67.0,,0.67,55.61000000000001
2016-05-28,87,67.0,,0.67,58.290000000000006
2016-05-29,94,67.0,,0.67,62.980000000000004
2016-05-30,100,67.0,,0.67,67.0
2016-05-31,84,67.0,,0.67,56.28
2016-06-01,66,75.0,False,0.75,49.5
2016-06-02,62,75.0,,0.75,46.5
2016-06-03,70,75.0,,0.75,52.5
2016-06-04,74,75.0,,0.75,55.5
2016-06-05,82,75.0,,0.75,61.5
2016-06-06,78,75.0,,0.75,58.5
2016-06-07,72,75.0,,0.75,54.0
2016-06-08,72,75.0,,0.75,54.0
2016-06-09,80,75.0,,0.75,60.0
2016-06-10,91,75.0,,0.75,68.25
2016-06-11,100,75.0,,0.75,75.0
2016-06-12,94,75.0,,0.75,70.5
2016-06-13,83,75.0,,0.75,62.25
2016-06-14,75,75.0,,0.75,56.25
2016-06-15,75,75.0,,0.75,56.25
2016-06-16,75,75.0,,0.75,56.25
2016-06-17,76,75.0,,0.75,57.0
2016-06-18,84,75.0,,0.75,63.0
2016-06-19,86,75.0,,0.75,64.5
2016-06-20,97,75.0,,0.75,72.75
2016-06-21,79,75.0,,0.75,59.25
2016-06-22,73,75.0,,0.75,54.75
2016-06-23,73,75.0,,0.75,54.75
2016-06-24,78,75.0,,0.75,58.5
2016-06-25,77,75.0,,0.75,57.75
2016-06-26,84,75.0,,0.75,63.0
2016-06-27,77,75.0,,0.75,57.75
2016-06-28,76,75.0,,0.75,57.0
2016-06-29,74,75.0,,0.75,55.5
2016-06-30,74,75.0,,0.75,55.5
2016-07-01,94,71.0,False,0.71,66.74
2016-07-02,92,71.0,,0.71,65.32
2016-07-03,99,71.0,,0.71,70.28999999999999
2016-07-04,97,71.0,,0.71,68.86999999999999
2016-07-05,92,71.0,,0.71,65.32
2016-07-06,88,71.0,,0.71,62.48
2016-07-07,87,71.0,,0.71,61.769999999999996
2016-07-08,91,71.0,,0.71,64.61
2016-07-09,100,71.0,,0.71,71.0
2016-07-10,99,71.0,,0.71,70.28999999999999
2016-07-11,87,71.0,,0.71,61.769999999999996
2016-07-12,87,71.0,,0.71,61.769999999999996
2016-07-13,86,71.0,,0.71,61.059999999999995
2016-07-14,83,71.0,,0.71,58.93
2016-07-15,90,71.0,,0.71,63.9
2016-07-16,96,71.0,,0.71,68.16
2016-07-17,94,71.0,,0.71,66.74
2016-07-18,89,71.0,,0.71,63.19
2016-07-19,87,71.0,,0.71,61.769999999999996
2016-07-20,86,71.0,,0.71,61.059999999999995
2016-07-21,86,71.0,,0.71,61.059999999999995
2016-07-22,97,71.0,,0.71,68.86999999999999
2016-07-23,99,71.0,,0.71,70.28999999999999
2016-07-24,99,71.0,,0.71,70.28999999999999
2016-07-25,89,71.0,,0.71,63.19
2016-07-26,89,71.0,,0.71,63.19
2016-07-27,84,71.0,,0.71,59.64
2016-07-28,90,71.0,,0.71,63.9
2016-07-29,91,71.0,,0.71,64.61
2016-07-30,94,71.0,,0.71,66.74
2016-07-31,98,71.0,,0.71,69.58
2016-08-01,87,66.0,False,0.66,57.42
2016-08-02,89,66.0,,0.66,58.74
2016-08-03,91,66.0,,0.66,60.06
2016-08-04,87,66.0,,0.66,57.42
2016-08-05,90,66.0,,0.66,59.400000000000006
2016-08-06,97,66.0,,0.66,64.02
