date,PYPL_unscaled,PYPL_monthly,isPartial,scale,PYPL
2016-05-01,7,9.0,False,0.09,0.63
2016-05-02,64,9.0,,0.09,5.76
2016-05-03,41,9.0,,0.09,3.69
2016-05-04,76,9.0,,0.09,6.84
2016-05-05,49,9.0,,0.09,4.41
2016-05-06,75,9.0,,0.09,6.75
2016-05-07,7,9.0,,0.09,0.63
2016-05-08,7,9.0,,0.09,0.63
2016-05-09,66,9.0,,0.09,5.9399999999999995
2016-05-10,100,9.0,,0.09,9.0
2016-05-11,54,9.0,,0.09,4.859999999999999
2016-05-12,31,9.0,,0.09,2.79
2016-05-13,75,9.0,,0.09,6.75
2016-05-14,22,9.0,,0.09,1.98
2016-05-15,15,9.0,,0.09,1.3499999999999999
2016-05-16,55,9.0,,0.09,4.95
2016-05-17,71,9.0,,0.09,6.39
2016-05-18,84,9.0,,0.09,7.56
2016-05-19,49,9.0,,0.09,4.41
2016-05-20,64,9.0,,0.09,5.76
2016-05-21,23,9.0,,0.09,2.07
2016-05-22,7,9.0,,0.09,0.63
2016-05-23,31,9.0,,0.09,2.79
2016-05-24,55,9.0,,0.09,4.95
2016-05-25,43,9.0,,0.09,3.8699999999999997
2016-05-26,25,9.0,,0.09,2.25
2016-05-27,33,9.0,,0.09,2.9699999999999998
2016-05-28,8,9.0,,0.09,0.72
2016-05-29,16,9.0,,0.09,1.44
2016-05-30,7,9.0,,0.09,0.63
2016-05-31,43,9.0,,0.09,3.8699999999999997
2016-06-01,36,8.0,False,0.08,2.88
2016-06-02,41,8.0,,0.08,3.2800000000000002
2016-06-03,10,8.0,,0.08,0.8
2016-06-04,6,8.0,,0.08,0.48
2016-06-05,12,8.0,,0.08,0.96
2016-06-06,46,8.0,,0.08,3.68
2016-06-07,25,8.0,,0.08,2.0
2016-06-08,15,8.0,,0.08,1.2
2016-06-09,36,8.0,,0.08,2.88
2016-06-10,48,8.0,,0.08,3.84
2016-06-11,0,8.0,,0.08,0.0
2016-06-12,0,8.0,,0.08,0.0
2016-06-13,20,8.0,,0.08,1.6
2016-06-14,35,8.0,,0.08,2.8000000000000003
2016-06-15,46,8.0,,0.08,3.68
2016-06-16,31,8.0,,0.08,2.48
2016-06-17,48,8.0,,0.08,3.84
2016-06-18,13,8.0,,0.08,1.04
2016-06-19,25,8.0,,0.08,2.0
2016-06-20,16,8.0,,0.08,1.28
2016-06-21,36,8.0,,0.08,2.88
2016-06-22,31,8.0,,0.08,2.48
2016-06-23,41,8.0,,0.08,3.2800000000000002
2016-06-24,100,8.0,,0.08,8.0
2016-06-25,12,8.0,,0.08,0.96
2016-06-26,13,8.0,,0.08,1.04
2016-06-27,20,8.0,,0.08,1.6
2016-06-28,31,8.0,,0.08,2.48
2016-06-29,63,8.0,,0.08,5.04
2016-06-30,59,8.0,,0.08,4.72
2016-07-01,9,16.0,False,0.16,1.44
2016-07-02,1,16.0,,0.16,0.16
2016-07-03,5,16.0,,0.16,0.8
2016-07-04,0,16.0,,0.16,0.0
2016-07-05,4,16.0,,0.16,0.64
2016-07-06,11,16.0,,0.16,1.76
2016-07-07,8,16.0,,0.16,1.28
2016-07-08,4,16.0,,0.16,0.64
2016-07-09,3,16.0,,0.16,0.48
2016-07-10,0,16.0,,0.16,0.0
2016-07-11,9,16.0,,0.16,1.44
2016-07-12,11,16.0,,0.16,1.76
2016-07-13,16,16.0,,0.16,2.56
2016-07-14,11,16.0,,0.16,1.76
2016-07-15,9,16.0,,0.16,1.44
2016-07-16,4,16.0,,0.16,0.64
2016-07-17,6,16.0,,0.16,0.96
2016-07-18,14,16.0,,0.16,2.24
2016-07-19,16,16.0,,0.16,2.56
2016-07-20,26,16.0,,0.16,4.16
2016-07-21,74,16.0,,0.16,11.84
2016-07-22,100,16.0,,0.16,16.0
2016-07-23,13,16.0,,0.16,2.08
2016-07-24,12,16.0,,0.16,1.92
2016-07-25,28,16.0,,0.16,4.48
2016-07-26,20,16.0,,0.16,3.2
2016-07-27,15,16.0,,0.16,2.4
2016-07-28,11,16.0,,0.16,1.76
2016-07-29,10,16.0,,0.16,1.6
2016-07-30,1,16.0,,0.16,0.16
2016-07-31,4,16.0,,0.16,0.64
2016-08-01,14,6.0,False,0.06,0.84
2016-08-02,49,6.0,,0.06,2.94
2016-08-03,100,6.0,,0.06,6.0
2016-08-04,58,6.0,,0.06,3.48
2016-08-05,39,6.0,,0.06,2.34
2016-08-06,27,6.0,,0.06,1.6199999999999999
2016-08-07,17,6.0,,0.06,1.02
2016-08-08,43,6.0,,0.06,2.58
2016-08-09,58,6.0,,0.06,3.48
2016-08-10,30,6.0,,0.06,1.7999999999999998
2016-08-11,38,6.0,,0.06,2.28
2016-08-12,23,6.0,,0.06,1.38
2016-08-13,0,6.0,,0.06,0.0
2016-08-14,9,6.0,,0.06,0.54
2016-08-15,22,6.0,,0.06,1.3199999999999998
2016-08-16,68,6.0,,0.06,4.08
2016-08-17,53,6.0,,0.06,3.1799999999999997
2016-08-18,15,6.0,,0.06,0.8999999999999999
2016-08-19,23,6.0,,0.06,1.38
2016-08-20,27,6.0,,0.06,1.6199999999999999
2016-08-21,9,6.0,,0.06,0.54
2016-08-22,23,6.0,,0.06,1.38
2016-08-23,30,6.0,,0.06,1.7999999999999998
2016-08-24,22,6.0,,0.06,1.3199999999999998
2016-08-25,14,6.0,,0.06,0.84
2016-08-26,7,6.0,,0.06,0.42
2016-08-27,0,6.0,,0.06,0.0
2016-08-28,8,6.0,,0.06,0.48
2016-08-29,27,6.0,,0.06,1.6199999999999999
2016-08-30,34,6.0,,0.06,2.04
2016-08-31,41,6.0,,0.06,2.46
