date,AG_unscaled,AG_monthly,isPartial,scale,AG
2016-05-01,69,85.0,False,0.85,58.65
2016-05-02,96,85.0,,0.85,81.6
2016-05-03,97,85.0,,0.85,82.45
2016-05-04,93,85.0,,0.85,79.05
2016-05-05,94,85.0,,0.85,79.89999999999999
2016-05-06,88,85.0,,0.85,74.8
2016-05-07,74,85.0,,0.85,62.9
2016-05-08,61,85.0,,0.85,51.85
2016-05-09,95,85.0,,0.85,80.75
2016-05-10,96,85.0,,0.85,81.6
2016-05-11,99,85.0,,0.85,84.14999999999999
2016-05-12,88,85.0,,0.85,74.8
2016-05-13,88,85.0,,0.85,74.8
2016-05-14,77,85.0,,0.85,65.45
2016-05-15,71,85.0,,0.85,60.35
2016-05-16,95,85.0,,0.85,80.75
2016-05-17,100,85.0,,0.85,85.0
2016-05-18,91,85.0,,0.85,77.35
2016-05-19,96,85.0,,0.85,81.6
2016-05-20,91,85.0,,0.85,77.35
2016-05-21,71,85.0,,0.85,60.35
2016-05-22,63,85.0,,0.85,53.55
2016-05-23,87,85.0,,0.85,73.95
2016-05-24,92,85.0,,0.85,78.2
2016-05-25,90,85.0,,0.85,76.5
2016-05-26,85,85.0,,0.85,72.25
2016-05-27,80,85.0,,0.85,68.0
2016-05-28,70,85.0,,0.85,59.5
2016-05-29,54,85.0,,0.85,45.9
2016-05-30,68,85.0,,0.85,57.8
2016-05-31,96,85.0,,0.85,81.6
2016-06-01,98,81.0,False,0.81,79.38000000000001
2016-06-02,92,81.0,,0.81,74.52000000000001
2016-06-03,85,81.0,,0.81,68.85000000000001
2016-06-04,67,81.0,,0.81,54.27
2016-06-05,66,81.0,,0.81,53.46
2016-06-06,95,81.0,,0.81,76.95
2016-06-07,85,81.0,,0.81,68.85000000000001
2016-06-08,94,81.0,,0.81,76.14
2016-06-09,90,81.0,,0.81,72.9
2016-06-10,86,81.0,,0.81,69.66000000000001
2016-06-11,71,81.0,,0.81,57.510000000000005
2016-06-12,62,81.0,,0.81,50.220000000000006
2016-06-13,94,81.0,,0.81,76.14
2016-06-14,94,81.0,,0.81,76.14
2016-06-15,100,81.0,,0.81,81.0
2016-06-16,94,81.0,,0.81,76.14
2016-06-17,85,81.0,,0.81,68.85000000000001
2016-06-18,67,81.0,,0.81,54.27
2016-06-19,58,81.0,,0.81,46.980000000000004
2016-06-20,84,81.0,,0.81,68.04
2016-06-21,91,81.0,,0.81,73.71000000000001
2016-06-22,94,81.0,,0.81,76.14
2016-06-23,89,81.0,,0.81,72.09
2016-06-24,77,81.0,,0.81,62.370000000000005
2016-06-25,63,81.0,,0.81,51.03
2016-06-26,58,81.0,,0.81,46.980000000000004
2016-06-27,94,81.0,,0.81,76.14
2016-06-28,96,81.0,,0.81,77.76
2016-06-29,93,81.0,,0.81,75.33
2016-06-30,100,81.0,,0.81,81.0
2016-07-01,84,81.0,False,0.81,68.04
2016-07-02,61,81.0,,0.81,49.410000000000004
2016-07-03,57,81.0,,0.81,46.17
2016-07-04,70,81.0,,0.81,56.7
2016-07-05,88,81.0,,0.81,71.28
2016-07-06,100,81.0,,0.81,81.0
2016-07-07,80,81.0,,0.81,64.80000000000001
2016-07-08,80,81.0,,0.81,64.80000000000001
2016-07-09,64,81.0,,0.81,51.84
2016-07-10,59,81.0,,0.81,47.790000000000006
2016-07-11,91,81.0,,0.81,73.71000000000001
2016-07-12,90,81.0,,0.81,72.9
2016-07-13,95,81.0,,0.81,76.95
2016-07-14,92,81.0,,0.81,74.52000000000001
2016-07-15,79,81.0,,0.81,63.99
2016-07-16,62,81.0,,0.81,50.220000000000006
2016-07-17,58,81.0,,0.81,46.980000000000004
2016-07-18,91,81.0,,0.81,73.71000000000001
2016-07-19,90,81.0,,0.81,72.9
2016-07-20,92,81.0,,0.81,74.52000000000001
2016-07-21,87,81.0,,0.81,70.47
2016-07-22,91,81.0,,0.81,73.71000000000001
2016-07-23,56,81.0,,0.81,45.36
2016-07-24,61,81.0,,0.81,49.410000000000004
2016-07-25,87,81.0,,0.81,70.47
2016-07-26,83,81.0,,0.81,67.23
2016-07-27,83,81.0,,0.81,67.23
2016-07-28,94,81.0,,0.81,76.14
2016-07-29,95,81.0,,0.81,76.95
2016-07-30,64,81.0,,0.81,51.84
2016-07-31,61,81.0,,0.81,49.410000000000004
2016-08-01,90,81.0,False,0.81,72.9
2016-08-02,93,81.0,,0.81,75.33
2016-08-03,81,81.0,,0.81,65.61
2016-08-04,88,81.0,,0.81,71.28
2016-08-05,81,81.0,,0.81,65.61
2016-08-06,59,81.0,,0.81,47.790000000000006
2016-08-07,53,81.0,,0.81,42.93
2016-08-08,89,81.0,,0.81,72.09
2016-08-09,91,81.0,,0.81,73.71000000000001
2016-08-10,86,81.0,,0.81,69.66000000000001
2016-08-11,88,81.0,,0.81,71.28
2016-08-12,87,81.0,,0.81,70.47
2016-08-13,59,81.0,,0.81,47.790000000000006
2016-08-14,67,81.0,,0.81,54.27
2016-08-15,84,81.0,,0.81,68.04
2016-08-16,98,81.0,,0.81,79.38000000000001
2016-08-17,100,81.0,,0.81,81.0
2016-08-18,88,81.0,,0.81,71.28
2016-08-19,78,81.0,,0.81,63.18000000000001
2016-08-20,60,81.0,,0.81,48.6
2016-08-21,61,81.0,,0.81,49.410000000000004
2016-08-22,94,81.0,,0.81,76.14
2016-08-23,88,81.0,,0.81,71.28
2016-08-24,94,81.0,,0.81,76.14
2016-08-25,83,81.0,,0.81,67.23
2016-08-26,86,81.0,,0.81,69.66000000000001
2016-08-27,70,81.0,,0.81,56.7
2016-08-28,63,81.0,,0.81,51.03
2016-08-29,81,81.0,,0.81,65.61
2016-08-30,97,81.0,,0.81,78.57000000000001
2016-08-31,91,81.0,,0.81,73.71000000000001
2016-09-01,90,83.0,False,0.83,74.7
2016-09-02,86,83.0,,0.83,71.38
2016-09-03,74,83.0,,0.83,61.419999999999995
2016-09-04,55,83.0,,0.83,45.65
2016-09-05,75,83.0,,0.83,62.25
2016-09-06,100,83.0,,0.83,83.0
2016-09-07,95,83.0,,0.83,78.85
2016-09-08,81,83.0,,0.83,67.22999999999999
2016-09-09,84,83.0,,0.83,69.72
2016-09-10,66,83.0,,0.83,54.779999999999994
2016-09-11,62,83.0,,0.83,51.46
2016-09-12,85,83.0,,0.83,70.55
2016-09-13,89,83.0,,0.83,73.86999999999999
2016-09-14,100,83.0,,0.83,83.0
2016-09-15,84,83.0,,0.83,69.72
2016-09-16,89,83.0,,0.83,73.86999999999999
2016-09-17,63,83.0,,0.83,52.29
2016-09-18,65,83.0,,0.83,53.949999999999996
2016-09-19,86,83.0,,0.83,71.38
2016-09-20,93,83.0,,0.83,77.19
2016-09-21,89,83.0,,0.83,73.86999999999999
2016-09-22,84,83.0,,0.83,69.72
2016-09-23,86,83.0,,0.83,71.38
2016-09-24,70,83.0,,0.83,58.099999999999994
2016-09-25,64,83.0,,0.83,53.12
2016-09-26,91,83.0,,0.83,75.53
2016-09-27,85,83.0,,0.83,70.55
2016-09-28,87,83.0,,0.83,72.21
2016-09-29,89,83.0,,0.83,73.86999999999999
2016-09-30,83,83.0,,0.83,68.89
2016-10-01,64,84.0,False,0.84,53.76
2016-10-02,64,84.0,,0.84,53.76
2016-10-03,85,84.0,,0.84,71.39999999999999
2016-10-04,86,84.0,,0.84,72.24
