date,BK_unscaled,BK_monthly,isPartial,scale,BK
2016-05-01,97,72.0,False,0.72,69.84
2016-05-02,83,72.0,,0.72,59.76
2016-05-03,98,72.0,,0.72,70.56
2016-05-04,94,72.0,,0.72,67.67999999999999
2016-05-05,92,72.0,,0.72,66.24
2016-05-06,99,72.0,,0.72,71.28
2016-05-07,81,72.0,,0.72,58.32
2016-05-08,79,72.0,,0.72,56.879999999999995
2016-05-09,89,72.0,,0.72,64.08
2016-05-10,94,72.0,,0.72,67.67999999999999
2016-05-11,83,72.0,,0.72,59.76
2016-05-12,81,72.0,,0.72,58.32
2016-05-13,93,72.0,,0.72,66.96
2016-05-14,89,72.0,,0.72,64.08
2016-05-15,83,72.0,,0.72,59.76
2016-05-16,85,72.0,,0.72,61.199999999999996
2016-05-17,93,72.0,,0.72,66.96
2016-05-18,91,72.0,,0.72,65.52
2016-05-19,85,72.0,,0.72,61.199999999999996
2016-05-20,78,72.0,,0.72,56.16
2016-05-21,88,72.0,,0.72,63.36
2016-05-22,69,72.0,,0.72,49.68
2016-05-23,85,72.0,,0.72,61.199999999999996
2016-05-24,90,72.0,,0.72,64.8
2016-05-25,94,72.0,,0.72,67.67999999999999
2016-05-26,96,72.0,,0.72,69.12
2016-05-27,100,72.0,,0.72,72.0
2016-05-28,78,72.0,,0.72,56.16
2016-05-29,74,72.0,,0.72,53.28
2016-05-30,79,72.0,,0.72,56.879999999999995
2016-05-31,82,72.0,,0.72,59.04
2016-06-01,76,78.0,False,0.78,59.28
2016-06-02,71,78.0,,0.78,55.38
2016-06-03,72,78.0,,0.78,56.160000000000004
2016-06-04,76,78.0,,0.78,59.28
2016-06-05,66,78.0,,0.78,51.480000000000004
2016-06-06,62,78.0,,0.78,48.36
2016-06-07,78,78.0,,0.78,60.84
2016-06-08,73,78.0,,0.78,56.940000000000005
2016-06-09,79,78.0,,0.78,61.620000000000005
2016-06-10,73,78.0,,0.78,56.940000000000005
2016-06-11,64,78.0,,0.78,49.92
2016-06-12,65,78.0,,0.78,50.7
2016-06-13,70,78.0,,0.78,54.6
2016-06-14,67,78.0,,0.78,52.260000000000005
2016-06-15,81,78.0,,0.78,63.18
2016-06-16,70,78.0,,0.78,54.6
2016-06-17,68,78.0,,0.78,53.04
2016-06-18,69,78.0,,0.78,53.82
2016-06-19,67,78.0,,0.78,52.260000000000005
2016-06-20,54,78.0,,0.78,42.120000000000005
2016-06-21,74,78.0,,0.78,57.72
2016-06-22,92,78.0,,0.78,71.76
2016-06-23,91,78.0,,0.78,70.98
2016-06-24,100,78.0,,0.78,78.0
2016-06-25,90,78.0,,0.78,70.2
2016-06-26,88,78.0,,0.78,68.64
2016-06-27,74,78.0,,0.78,57.72
2016-06-28,93,78.0,,0.78,72.54
2016-06-29,82,78.0,,0.78,63.96
2016-06-30,77,78.0,,0.78,60.06
2016-07-01,98,74.0,False,0.74,72.52
2016-07-02,93,74.0,,0.74,68.82
2016-07-03,81,74.0,,0.74,59.94
2016-07-04,70,74.0,,0.74,51.8
2016-07-05,83,74.0,,0.74,61.42
2016-07-06,80,74.0,,0.74,59.2
2016-07-07,99,74.0,,0.74,73.26
2016-07-08,88,74.0,,0.74,65.12
2016-07-09,100,74.0,,0.74,74.0
2016-07-10,86,74.0,,0.74,63.64
2016-07-11,78,74.0,,0.74,57.72
2016-07-12,75,74.0,,0.74,55.5
2016-07-13,88,74.0,,0.74,65.12
2016-07-14,79,74.0,,0.74,58.46
2016-07-15,77,74.0,,0.74,56.98
2016-07-16,88,74.0,,0.74,65.12
2016-07-17,89,74.0,,0.74,65.86
2016-07-18,82,74.0,,0.74,60.68
2016-07-19,90,74.0,,0.74,66.6
2016-07-20,88,74.0,,0.74,65.12
2016-07-21,90,74.0,,0.74,66.6
2016-07-22,76,74.0,,0.74,56.24
2016-07-23,100,74.0,,0.74,74.0
2016-07-24,85,74.0,,0.74,62.9
2016-07-25,84,74.0,,0.74,62.16
2016-07-26,90,74.0,,0.74,66.6
2016-07-27,95,74.0,,0.74,70.3
2016-07-28,93,74.0,,0.74,68.82
2016-07-29,90,74.0,,0.74,66.6
2016-07-30,76,74.0,,0.74,56.24
2016-07-31,82,74.0,,0.74,60.68
2016-08-01,83,72.0,False,0.72,59.76
2016-08-02,88,72.0,,0.72,63.36
2016-08-03,100,72.0,,0.72,72.0
2016-08-04,82,72.0,,0.72,59.04
2016-08-05,91,72.0,,0.72,65.52
2016-08-06,85,72.0,,0.72,61.199999999999996
2016-08-07,86,72.0,,0.72,61.919999999999995
2016-08-08,99,72.0,,0.72,71.28
2016-08-09,84,72.0,,0.72,60.48
2016-08-10,87,72.0,,0.72,62.64
2016-08-11,95,72.0,,0.72,68.39999999999999
2016-08-12,82,72.0,,0.72,59.04
2016-08-13,84,72.0,,0.72,60.48
2016-08-14,62,72.0,,0.72,44.64
2016-08-15,95,72.0,,0.72,68.39999999999999
2016-08-16,97,72.0,,0.72,69.84
2016-08-17,83,72.0,,0.72,59.76
2016-08-18,69,72.0,,0.72,49.68
2016-08-19,76,72.0,,0.72,54.72
2016-08-20,77,72.0,,0.72,55.44
2016-08-21,64,72.0,,0.72,46.08
2016-08-22,64,72.0,,0.72,46.08
2016-08-23,83,72.0,,0.72,59.76
2016-08-24,92,72.0,,0.72,66.24
2016-08-25,85,72.0,,0.72,61.199999999999996
2016-08-26,90,72.0,,0.72,64.8
2016-08-27,88,72.0,,0.72,63.36
2016-08-28,88,72.0,,0.72,63.36
2016-08-29,75,72.0,,0.72,54.0
2016-08-30,79,72.0,,0.72,56.879999999999995
2016-08-31,89,72.0,,0.72,64.08
2016-09-01,74,70.0,False,0.7,51.8
2016-09-02,88,70.0,,0.7,61.599999999999994
2016-09-03,81,70.0,,0.7,56.699999999999996
2016-09-04,85,70.0,,0.7,59.49999999999999
2016-09-05,66,70.0,,0.7,46.199999999999996
2016-09-06,88,70.0,,0.7,61.599999999999994
2016-09-07,97,70.0,,0.7,67.89999999999999
2016-09-08,66,70.0,,0.7,46.199999999999996
2016-09-09,87,70.0,,0.7,60.9
2016-09-10,83,70.0,,0.7,58.099999999999994
2016-09-11,69,70.0,,0.7,48.3
2016-09-12,82,70.0,,0.7,57.4
2016-09-13,80,70.0,,0.7,56.0
2016-09-14,100,70.0,,0.7,70.0
2016-09-15,88,70.0,,0.7,61.599999999999994
2016-09-16,84,70.0,,0.7,58.8
2016-09-17,91,70.0,,0.7,63.699999999999996
