date,OPEN_unscaled,OPEN_monthly,isPartial,scale,OPEN
2016-05-01,46,40.0,False,0.4,18.400000000000002
2016-05-02,34,40.0,,0.4,13.600000000000001
2016-05-03,35,40.0,,0.4,14.0
2016-05-04,33,40.0,,0.4,13.200000000000001
2016-05-05,34,40.0,,0.4,13.600000000000001
2016-05-06,36,40.0,,0.4,14.4
2016-05-07,44,40.0,,0.4,17.6
2016-05-08,49,40.0,,0.4,19.6
2016-05-09,34,40.0,,0.4,13.600000000000001
2016-05-10,33,40.0,,0.4,13.200000000000001
2016-05-11,32,40.0,,0.4,12.8
2016-05-12,34,40.0,,0.4,13.600000000000001
2016-05-13,36,40.0,,0.4,14.4
2016-05-14,43,40.0,,0.4,17.2
2016-05-15,48,40.0,,0.4,19.200000000000003
2016-05-16,36,40.0,,0.4,14.4
2016-05-17,33,40.0,,0.4,13.200000000000001
2016-05-18,33,40.0,,0.4,13.200000000000001
2016-05-19,34,40.0,,0.4,13.600000000000001
2016-05-20,36,40.0,,0.4,14.4
2016-05-21,44,40.0,,0.4,17.6
2016-05-22,53,40.0,,0.4,21.200000000000003
2016-05-23,41,40.0,,0.4,16.400000000000002
2016-05-24,41,40.0,,0.4,16.400000000000002
2016-05-25,39,40.0,,0.4,15.600000000000001
2016-05-26,42,40.0,,0.4,16.8
2016-05-27,45,40.0,,0.4,18.0
2016-05-28,57,40.0,,0.4,22.8
2016-05-29,70,40.0,,0.4,28.0
2016-05-30,100,40.0,,0.4,40.0
2016-05-31,48,40.0,,0.4,19.200000000000003
2016-06-01,40,46.0,False,0.46,18.400000000000002
2016-06-02,40,46.0,,0.46,18.400000000000002
2016-06-03,42,46.0,,0.46,19.32
2016-06-04,55,46.0,,0.46,25.3
2016-06-05,62,46.0,,0.46,28.52
2016-06-06,37,46.0,,0.46,17.02
2016-06-07,35,46.0,,0.46,16.1
2016-06-08,31,46.0,,0.46,14.26
2016-06-09,31,46.0,,0.46,14.26
2016-06-10,34,46.0,,0.46,15.64
2016-06-11,38,46.0,,0.46,17.48
2016-06-12,42,46.0,,0.46,19.32
2016-06-13,35,46.0,,0.46,16.1
2016-06-14,36,46.0,,0.46,16.560000000000002
2016-06-15,38,46.0,,0.46,17.48
2016-06-16,68,46.0,,0.46,31.28
2016-06-17,69,46.0,,0.46,31.740000000000002
2016-06-18,77,46.0,,0.46,35.42
2016-06-19,100,46.0,,0.46,46.0
2016-06-20,56,46.0,,0.46,25.76
2016-06-21,34,46.0,,0.46,15.64
2016-06-22,33,46.0,,0.46,15.180000000000001
2016-06-23,30,46.0,,0.46,13.8
2016-06-24,32,46.0,,0.46,14.72
2016-06-25,37,46.0,,0.46,17.02
2016-06-26,40,46.0,,0.46,18.400000000000002
2016-06-27,31,46.0,,0.46,14.26
2016-06-28,31,46.0,,0.46,14.26
2016-06-29,32,46.0,,0.46,14.72
2016-06-30,32,46.0,,0.46,14.72
2016-07-01,35,46.0,False,0.46,16.1
2016-07-02,42,46.0,,0.46,19.32
2016-07-03,60,46.0,,0.46,27.6
2016-07-04,98,46.0,,0.46,45.080000000000005
2016-07-05,40,46.0,,0.46,18.400000000000002
2016-07-06,35,46.0,,0.46,16.1
2016-07-07,36,46.0,,0.46,16.560000000000002
2016-07-08,39,46.0,,0.46,17.94
2016-07-09,46,46.0,,0.46,21.16
2016-07-10,51,46.0,,0.46,23.46
2016-07-11,41,46.0,,0.46,18.86
2016-07-12,37,46.0,,0.46,17.02
2016-07-13,41,46.0,,0.46,18.86
2016-07-14,63,46.0,,0.46,28.98
2016-07-15,67,46.0,,0.46,30.82
2016-07-16,77,46.0,,0.46,35.42
2016-07-17,100,46.0,,0.46,46.0
2016-07-18,44,46.0,,0.46,20.240000000000002
2016-07-19,35,46.0,,0.46,16.1
2016-07-20,34,46.0,,0.46,15.64
2016-07-21,34,46.0,,0.46,15.64
2016-07-22,37,46.0,,0.46,17.02
2016-07-23,44,46.0,,0.46,20.240000000000002
2016-07-24,48,46.0,,0.46,22.080000000000002
2016-07-25,36,46.0,,0.46,16.560000000000002
2016-07-26,41,46.0,,0.46,18.86
2016-07-27,33,46.0,,0.46,15.180000000000001
2016-07-28,33,46.0,,0.46,15.180000000000001
2016-07-29,35,46.0,,0.46,16.1
2016-07-30,42,46.0,,0.46,19.32
2016-07-31,47,46.0,,0.46,21.62
2016-08-01,75,36.0,False,0.36,27.0
2016-08-02,72,36.0,,0.36,25.919999999999998
2016-08-03,71,36.0,,0.36,25.56
2016-08-04,69,36.0,,0.36,24.84
2016-08-05,71,36.0,,0.36,25.56
2016-08-06,78,36.0,,0.36,28.08
2016-08-07,84,36.0,,0.36,30.24
