date,IBM_unscaled,IBM_monthly,isPartial,scale,IBM
2016-05-01,30,92.0,False,0.92,27.6
2016-05-02,86,92.0,,0.92,79.12
2016-05-03,88,92.0,,0.92,80.96000000000001
2016-05-04,100,92.0,,0.92,92.0
2016-05-05,92,92.0,,0.92,84.64
2016-05-06,88,92.0,,0.92,80.96000000000001
2016-05-07,40,92.0,,0.92,36.800000000000004
2016-05-08,34,92.0,,0.92,31.28
2016-05-09,81,92.0,,0.92,74.52000000000001
2016-05-10,88,92.0,,0.92,80.96000000000001
2016-05-11,81,92.0,,0.92,74.52000000000001
2016-05-12,96,92.0,,0.92,88.32000000000001
2016-05-13,80,92.0,,0.92,73.60000000000001
2016-05-14,35,92.0,,0.92,32.2
2016-05-15,39,92.0,,0.92,35.88
2016-05-16,95,92.0,,0.92,87.4
2016-05-17,98,92.0,,0.92,90.16000000000001
2016-05-18,92,92.0,,0.92,84.64
2016-05-19,88,92.0,,0.92,80.96000000000001
2016-05-20,83,92.0,,0.92,76.36
2016-05-21,40,92.0,,0.92,36.800000000000004
2016-05-22,34,92.0,,0.92,31.28
2016-05-23,87,92.0,,0.92,80.04
2016-05-24,94,92.0,,0.92,86.48
2016-05-25,91,92.0,,0.92,83.72
2016-05-26,98,92.0,,0.92,90.16000000000001
2016-05-27,73,92.0,,0.92,67.16
2016-05-28,37,92.0,,0.92,34.04
2016-05-29,32,92.0,,0.92,29.44
2016-05-30,41,92.0,,0.92,37.72
2016-05-31,83,92.0,,0.92,76.36
2016-06-01,91,91.0,False,0.91,82.81
2016-06-02,100,91.0,,0.91,91.0
2016-06-03,83,91.0,,0.91,75.53
2016-06-04,36,91.0,,0.91,32.76
2016-06-05,35,91.0,,0.91,31.85
2016-06-06,84,91.0,,0.91,76.44
2016-06-07,91,91.0,,0.91,82.81
2016-06-08,94,91.0,,0.91,85.54
2016-06-09,89,91.0,,0.91,80.99000000000001
2016-06-10,81,91.0,,0.91,73.71000000000001
2016-06-11,32,91.0,,0.91,29.12
2016-06-12,32,91.0,,0.91,29.12
2016-06-13,87,91.0,,0.91,79.17
2016-06-14,91,91.0,,0.91,82.81
2016-06-15,95,91.0,,0.91,86.45
2016-06-16,89,91.0,,0.91,80.99000000000001
2016-06-17,77,91.0,,0.91,70.07000000000001
2016-06-18,33,91.0,,0.91,30.03
2016-06-19,32,91.0,,0.91,29.12
2016-06-20,86,91.0,,0.91,78.26
2016-06-21,95,91.0,,0.91,86.45
2016-06-22,85,91.0,,0.91,77.35000000000001
2016-06-23,88,91.0,,0.91,80.08
2016-06-24,95,91.0,,0.91,86.45
2016-06-25,39,91.0,,0.91,35.49
2016-06-26,32,91.0,,0.91,29.12
2016-06-27,90,91.0,,0.91,81.9
2016-06-28,97,91.0,,0.91,88.27
2016-06-29,98,91.0,,0.91,89.18
2016-06-30,93,91.0,,0.91,84.63000000000001
2016-07-01,71,84.0,False,0.84,59.64
2016-07-02,33,84.0,,0.84,27.72
2016-07-03,30,84.0,,0.84,25.2
2016-07-04,36,84.0,,0.84,30.24
2016-07-05,71,84.0,,0.84,59.64
2016-07-06,70,84.0,,0.84,58.8
2016-07-07,77,84.0,,0.84,64.67999999999999
2016-07-08,64,84.0,,0.84,53.76
2016-07-09,30,84.0,,0.84,25.2
2016-07-10,28,84.0,,0.84,23.52
2016-07-11,77,84.0,,0.84,64.67999999999999
2016-07-12,84,84.0,,0.84,70.56
2016-07-13,83,84.0,,0.84,69.72
2016-07-14,80,84.0,,0.84,67.2
2016-07-15,76,84.0,,0.84,63.839999999999996
2016-07-16,24,84.0,,0.84,20.16
2016-07-17,28,84.0,,0.84,23.52
2016-07-18,96,84.0,,0.84,80.64
2016-07-19,100,84.0,,0.84,84.0
2016-07-20,88,84.0,,0.84,73.92
2016-07-21,80,84.0,,0.84,67.2
2016-07-22,70,84.0,,0.84,58.8
2016-07-23,24,84.0,,0.84,20.16
2016-07-24,29,84.0,,0.84,24.36
2016-07-25,72,84.0,,0.84,60.48
2016-07-26,80,84.0,,0.84,67.2
2016-07-27,80,84.0,,0.84,67.2
2016-07-28,80,84.0,,0.84,67.2
2016-07-29,66,84.0,,0.84,55.44
2016-07-30,31,84.0,,0.84,26.04
2016-07-31,25,84.0,,0.84,21.0
2016-08-01,86,86.0,False,0.86,73.96
2016-08-02,87,86.0,,0.86,74.82
2016-08-03,91,86.0,,0.86,78.26
2016-08-04,80,86.0,,0.86,68.8
2016-08-05,75,86.0,,0.86,64.5
2016-08-06,35,86.0,,0.86,30.099999999999998
2016-08-07,34,86.0,,0.86,29.24
2016-08-08,86,86.0,,0.86,73.96
2016-08-09,92,86.0,,0.86,79.12
2016-08-10,83,86.0,,0.86,71.38
2016-08-11,83,86.0,,0.86,71.38
2016-08-12,82,86.0,,0.86,70.52
2016-08-13,36,86.0,,0.86,30.96
2016-08-14,35,86.0,,0.86,30.099999999999998
2016-08-15,75,86.0,,0.86,64.5
2016-08-16,87,86.0,,0.86,74.82
2016-08-17,82,86.0,,0.86,70.52
2016-08-18,86,86.0,,0.86,73.96
2016-08-19,81,86.0,,0.86,69.66
2016-08-20,33,86.0,,0.86,28.38
2016-08-21,29,86.0,,0.86,24.94
2016-08-22,82,86.0,,0.86,70.52
2016-08-23,90,86.0,,0.86,77.4
2016-08-24,90,86.0,,0.86,77.4
2016-08-25,86,86.0,,0.86,73.96
2016-08-26,75,86.0,,0.86,64.5
2016-08-27,35,86.0,,0.86,30.099999999999998
2016-08-28,34,86.0,,0.86,29.24
2016-08-29,89,86.0,,0.86,76.53999999999999
2016-08-30,100,86.0,,0.86,86.0
2016-08-31,88,86.0,,0.86,75.67999999999999
2016-09-01,95,87.0,False,0.87,82.65
2016-09-02,68,87.0,,0.87,59.16
2016-09-03,31,87.0,,0.87,26.97
2016-09-04,45,87.0,,0.87,39.15
2016-09-05,45,87.0,,0.87,39.15
2016-09-06,92,87.0,,0.87,80.04
2016-09-07,98,87.0,,0.87,85.26
2016-09-08,99,87.0,,0.87,86.13
2016-09-09,87,87.0,,0.87,75.69
2016-09-10,36,87.0,,0.87,31.32
2016-09-11,34,87.0,,0.87,29.58
2016-09-12,83,87.0,,0.87,72.21
2016-09-13,95,87.0,,0.87,82.65
2016-09-14,94,87.0,,0.87,81.78
2016-09-15,85,87.0,,0.87,73.95
2016-09-16,83,87.0,,0.87,72.21
2016-09-17,40,87.0,,0.87,34.8
2016-09-18,40,87.0,,0.87,34.8
2016-09-19,86,87.0,,0.87,74.82
2016-09-20,100,87.0,,0.87,87.0
2016-09-21,99,87.0,,0.87,86.13
2016-09-22,100,87.0,,0.87,87.0
2016-09-23,81,87.0,,0.87,70.47
2016-09-24,37,87.0,,0.87,32.19
2016-09-25,35,87.0,,0.87,30.45
2016-09-26,93,87.0,,0.87,80.91
2016-09-27,84,87.0,,0.87,73.08
2016-09-28,93,87.0,,0.87,80.91
2016-09-29,97,87.0,,0.87,84.39
2016-09-30,84,87.0,,0.87,73.08
2016-10-01,36,88.0,False,0.88,31.68
2016-10-02,27,88.0,,0.88,23.76
2016-10-03,72,88.0,,0.88,63.36
2016-10-04,82,88.0,,0.88,72.16
2016-10-05,71,88.0,,0.88,62.48
2016-10-06,72,88.0,,0.88,63.36
2016-10-07,59,88.0,,0.88,51.92
2016-10-08,37,88.0,,0.88,32.56
2016-10-09,43,88.0,,0.88,37.84
2016-10-10,82,88.0,,0.88,72.16
2016-10-11,79,88.0,,0.88,69.52
2016-10-12,86,88.0,,0.88,75.68
2016-10-13,74,88.0,,0.88,65.12
2016-10-14,74,88.0,,0.88,65.12
2016-10-15,36,88.0,,0.88,31.68
2016-10-16,32,88.0,,0.88,28.16
2016-10-17,92,88.0,,0.88,80.96
2016-10-18,100,88.0,,0.88,88.0
2016-10-19,92,88.0,,0.88,80.96
2016-10-20,81,88.0,,0.88,71.28
2016-10-21,69,88.0,,0.88,60.72
2016-10-22,32,88.0,,0.88,28.16
2016-10-23,38,88.0,,0.88,33.44
2016-10-24,83,88.0,,0.88,73.04
2016-10-25,92,88.0,,0.88,80.96
2016-10-26,87,88.0,,0.88,76.56
2016-10-27,80,88.0,,0.88,70.4
2016-10-28,80,88.0,,0.88,70.4
2016-10-29,30,88.0,,0.88,26.4
2016-10-30,30,88.0,,0.88,26.4
2016-10-31,73,88.0,,0.88,64.24
2016-11-01,99,82.0,False,0.82,81.17999999999999
2016-11-02,92,82.0,,0.82,75.44
2016-11-03,85,82.0,,0.82,69.7
2016-11-04,91,82.0,,0.82,74.61999999999999
2016-11-05,44,82.0,,0.82,36.08
2016-11-06,37,82.0,,0.82,30.34
2016-11-07,87,82.0,,0.82,71.33999999999999
2016-11-08,84,82.0,,0.82,68.88
2016-11-09,74,82.0,,0.82,60.68
2016-11-10,88,82.0,,0.82,72.16
2016-11-11,85,82.0,,0.82,69.7
2016-11-12,48,82.0,,0.82,39.36
2016-11-13,35,82.0,,0.82,28.7
2016-11-14,90,82.0,,0.82,73.8
2016-11-15,100,82.0,,0.82,82.0
2016-11-16,89,82.0,,0.82,72.97999999999999
2016-11-17,88,82.0,,0.82,72.16
2016-11-18,85,82.0,,0.82,69.7
2016-11-19,36,82.0,,0.82,29.52
2016-11-20,38,82.0,,0.82,31.159999999999997
2016-11-21,77,82.0,,0.82,63.13999999999999
2016-11-22,88,82.0,,0.82,72.16
2016-11-23,68,82.0,,0.82,55.76
