date,BBBY_unscaled,BBBY_monthly,isPartial,scale,BBBY
2017-01-20,39,3.0,,0.03,1.17
2017-01-21,23,3.0,,0.03,0.69
2017-01-22,22,3.0,,0.03,0.6599999999999999
2017-01-23,56,3.0,,0.03,1.68
2017-01-24,19,3.0,,0.03,0.57
2017-01-25,38,3.0,,0.03,1.14
2017-01-26,77,3.0,,0.03,2.31
2017-01-27,60,3.0,,0.03,1.7999999999999998
2017-01-28,23,3.0,,0.03,0.69
2017-01-29,23,3.0,,0.03,0.69
2017-01-30,57,3.0,,0.03,1.71
2017-01-31,58,3.0,,0.03,1.74
2017-02-01,80,3.0,False,0.03,2.4
2017-02-02,20,3.0,,0.03,0.6
2017-02-03,63,3.0,,0.03,1.89
2017-02-04,98,3.0,,0.03,2.94
2017-02-05,24,3.0,,0.03,0.72
2017-02-06,19,3.0,,0.03,0.57
2017-02-07,100,3.0,,0.03,3.0
2017-02-08,20,3.0,,0.03,0.6
2017-02-09,82,3.0,,0.03,2.46
2017-02-10,21,3.0,,0.03,0.63
2017-02-11,0,3.0,,0.03,0.0
2017-02-12,0,3.0,,0.03,0.0
2017-02-13,79,3.0,,0.03,2.37
2017-02-14,41,3.0,,0.03,1.23
2017-02-15,41,3.0,,0.03,1.23
2017-02-16,41,3.0,,0.03,1.23
2017-02-17,41,3.0,,0.03,1.23
2017-02-18,49,3.0,,0.03,1.47
2017-02-19,0,3.0,,0.03,0.0
2017-02-20,42,3.0,,0.03,1.26
2017-02-21,60,3.0,,0.03,1.7999999999999998
2017-02-22,20,3.0,,0.03,0.6
2017-02-23,61,3.0,,0.03,1.8299999999999998
2017-02-24,83,3.0,,0.03,2.4899999999999998
2017-02-25,24,3.0,,0.03,0.72
2017-02-26,69,3.0,,0.03,2.07
2017-02-27,19,3.0,,0.03,0.57
2017-02-28,77,3.0,,0.03,2.31
2017-03-01,76,3.0,False,0.03,2.28
2017-03-02,48,3.0,,0.03,1.44
2017-03-03,33,3.0,,0.03,0.99
2017-03-04,0,3.0,,0.03,0.0
2017-03-05,39,3.0,,0.03,1.17
2017-03-06,15,3.0,,0.03,0.44999999999999996
2017-03-07,15,3.0,,0.03,0.44999999999999996
2017-03-08,48,3.0,,0.03,1.44
2017-03-09,81,3.0,,0.03,2.4299999999999997
2017-03-10,17,3.0,,0.03,0.51
2017-03-11,0,3.0,,0.03,0.0
2017-03-12,37,3.0,,0.03,1.1099999999999999
2017-03-13,76,3.0,,0.03,2.28
2017-03-14,49,3.0,,0.03,1.47
2017-03-15,66,3.0,,0.03,1.98
2017-03-16,17,3.0,,0.03,0.51
2017-03-17,34,3.0,,0.03,1.02
2017-03-18,0,3.0,,0.03,0.0
2017-03-19,0,3.0,,0.03,0.0
2017-03-20,65,3.0,,0.03,1.95
2017-03-21,33,3.0,,0.03,0.99
2017-03-22,49,3.0,,0.03,1.47
2017-03-23,33,3.0,,0.03,0.99
2017-03-24,17,3.0,,0.03,0.51
2017-03-25,0,3.0,,0.03,0.0
2017-03-26,0,3.0,,0.03,0.0
2017-03-27,16,3.0,,0.03,0.48
2017-03-28,50,3.0,,0.03,1.5
2017-03-29,83,3.0,,0.03,2.4899999999999998
2017-03-30,50,3.0,,0.03,1.5
2017-03-31,100,3.0,,0.03,3.0
2017-04-01,20,6.0,False,0.06,1.2
2017-04-02,8,6.0,,0.06,0.48
2017-04-03,20,6.0,,0.06,1.2
2017-04-04,20,6.0,,0.06,1.2
2017-04-05,73,6.0,,0.06,4.38
2017-04-06,100,6.0,,0.06,6.0
2017-04-07,24,6.0,,0.06,1.44
2017-04-08,4,6.0,,0.06,0.24
2017-04-09,16,6.0,,0.06,0.96
2017-04-10,20,6.0,,0.06,1.2
2017-04-11,7,6.0,,0.06,0.42
2017-04-12,3,6.0,,0.06,0.18
2017-04-13,14,6.0,,0.06,0.84
2017-04-14,15,6.0,,0.06,0.8999999999999999
2017-04-15,4,6.0,,0.06,0.24
2017-04-16,0,6.0,,0.06,0.0
2017-04-17,20,6.0,,0.06,1.2
2017-04-18,7,6.0,,0.06,0.42
2017-04-19,10,6.0,,0.06,0.6
2017-04-20,13,6.0,,0.06,0.78
2017-04-21,7,6.0,,0.06,0.42
2017-04-22,12,6.0,,0.06,0.72
2017-04-23,0,6.0,,0.06,0.0
2017-04-24,17,6.0,,0.06,1.02
2017-04-25,10,6.0,,0.06,0.6
2017-04-26,13,6.0,,0.06,0.78
2017-04-27,13,6.0,,0.06,0.78
2017-04-28,3,6.0,,0.06,0.18
2017-04-29,12,6.0,,0.06,0.72
2017-04-30,4,6.0,,0.06,0.24
2017-05-01,40,4.0,False,0.04,1.6
2017-05-02,100,4.0,,0.04,4.0
2017-05-03,10,4.0,,0.04,0.4
2017-05-04,10,4.0,,0.04,0.4
2017-05-05,22,4.0,,0.04,0.88
2017-05-06,0,4.0,,0.04,0.0
2017-05-07,26,4.0,,0.04,1.04
2017-05-08,31,4.0,,0.04,1.24
2017-05-09,10,4.0,,0.04,0.4
2017-05-10,10,4.0,,0.04,0.4
2017-05-11,42,4.0,,0.04,1.68
2017-05-12,55,4.0,,0.04,2.2
2017-05-13,13,4.0,,0.04,0.52
2017-05-14,13,4.0,,0.04,0.52
2017-05-15,88,4.0,,0.04,3.52
2017-05-16,22,4.0,,0.04,0.88
2017-05-17,44,4.0,,0.04,1.76
2017-05-18,44,4.0,,0.04,1.76
2017-05-19,23,4.0,,0.04,0.92
2017-05-20,14,4.0,,0.04,0.56
2017-05-21,0,4.0,,0.04,0.0
2017-05-22,11,4.0,,0.04,0.44
2017-05-23,22,4.0,,0.04,0.88
2017-05-24,78,4.0,,0.04,3.12
2017-05-25,45,4.0,,0.04,1.8
2017-05-26,24,4.0,,0.04,0.96
2017-05-27,14,4.0,,0.04,0.56
2017-05-28,14,4.0,,0.04,0.56
2017-05-29,26,4.0,,0.04,1.04
2017-05-30,22,4.0,,0.04,0.88
2017-05-31,33,4.0,,0.04,1.32
2017-06-01,12,8.0,False,0.08,0.96
2017-06-02,9,8.0,,0.08,0.72
2017-06-03,0,8.0,,0.08,0.0
2017-06-04,0,8.0,,0.08,0.0
2017-06-05,9,8.0,,0.08,0.72
2017-06-06,0,8.0,,0.08,0.0
2017-06-07,14,8.0,,0.08,1.12
2017-06-08,14,8.0,,0.08,1.12
2017-06-09,18,8.0,,0.08,1.44
2017-06-10,0,8.0,,0.08,0.0
2017-06-11,4,8.0,,0.08,0.32
2017-06-12,17,8.0,,0.08,1.36
2017-06-13,3,8.0,,0.08,0.24
2017-06-14,14,8.0,,0.08,1.12
2017-06-15,6,8.0,,0.08,0.48
2017-06-16,6,8.0,,0.08,0.48
2017-06-17,0,8.0,,0.08,0.0
2017-06-18,0,8.0,,0.08,0.0
2017-06-19,20,8.0,,0.08,1.6
2017-06-20,14,8.0,,0.08,1.12
2017-06-21,28,8.0,,0.08,2.24
2017-06-22,100,8.0,,0.08,8.0
2017-06-23,96,8.0,,0.08,7.68
2017-06-24,20,8.0,,0.08,1.6
2017-06-25,14,8.0,,0.08,1.12
2017-06-26,29,8.0,,0.08,2.32
2017-06-27,33,8.0,,0.08,2.64
2017-06-28,6,8.0,,0.08,0.48
2017-06-29,9,8.0,,0.08,0.72
2017-06-30,19,8.0,,0.08,1.52
2017-07-01,12,5.0,False,0.05,0.6000000000000001
2017-07-02,0,5.0,,0.05,0.0
2017-07-03,87,5.0,,0.05,4.3500000000000005
2017-07-04,24,5.0,,0.05,1.2000000000000002
2017-07-05,21,5.0,,0.05,1.05
2017-07-06,10,5.0,,0.05,0.5
2017-07-07,51,5.0,,0.05,2.5500000000000003
2017-07-08,12,5.0,,0.05,0.6000000000000001
2017-07-09,0,5.0,,0.05,0.0
2017-07-10,20,5.0,,0.05,1.0
2017-07-11,30,5.0,,0.05,1.5
2017-07-12,50,5.0,,0.05,2.5
2017-07-13,40,5.0,,0.05,2.0
2017-07-14,41,5.0,,0.05,2.0500000000000003
2017-07-15,35,5.0,,0.05,1.75
2017-07-16,12,5.0,,0.05,0.6000000000000001
2017-07-17,40,5.0,,0.05,2.0
2017-07-18,40,5.0,,0.05,2.0
2017-07-19,100,5.0,,0.05,5.0
2017-07-20,69,5.0,,0.05,3.45
2017-07-21,41,5.0,,0.05,2.0500000000000003
2017-07-22,11,5.0,,0.05,0.55
2017-07-23,12,5.0,,0.05,0.6000000000000001
2017-07-24,30,5.0,,0.05,1.5
2017-07-25,49,5.0,,0.05,2.45
2017-07-26,10,5.0,,0.05,0.5
2017-07-27,29,5.0,,0.05,1.4500000000000002
2017-07-28,50,5.0,,0.05,2.5
2017-07-29,0,5.0,,0.05,0.0
2017-07-30,23,5.0,,0.05,1.1500000000000001
2017-07-31,69,5.0,,0.05,3.45
2017-08-01,53,5.0,False,0.05,2.6500000000000004
2017-08-02,32,5.0,,0.05,1.6
2017-08-03,100,5.0,,0.05,5.0
2017-08-04,70,5.0,,0.05,3.5
2017-08-05,24,5.0,,0.05,1.2000000000000002
2017-08-06,24,5.0,,0.05,1.2000000000000002
2017-08-07,26,5.0,,0.05,1.3
2017-08-08,6,5.0,,0.05,0.30000000000000004
2017-08-09,7,5.0,,0.05,0.35000000000000003
2017-08-10,28,5.0,,0.05,1.4000000000000001
2017-08-11,28,5.0,,0.05,1.4000000000000001
2017-08-12,0,5.0,,0.05,0.0
2017-08-13,0,5.0,,0.05,0.0
2017-08-14,27,5.0,,0.05,1.35
2017-08-15,48,5.0,,0.05,2.4000000000000004
2017-08-16,20,5.0,,0.05,1.0
2017-08-17,14,5.0,,0.05,0.7000000000000001
2017-08-18,7,5.0,,0.05,0.35000000000000003
2017-08-19,0,5.0,,0.05,0.0
2017-08-20,8,5.0,,0.05,0.4
2017-08-21,0,5.0,,0.05,0.0
2017-08-22,13,5.0,,0.05,0.65
2017-08-23,14,5.0,,0.05,0.7000000000000001
2017-08-24,27,5.0,,0.05,1.35
2017-08-25,20,5.0,,0.05,1.0
2017-08-26,0,5.0,,0.05,0.0
2017-08-27,7,5.0,,0.05,0.35000000000000003
2017-08-28,34,5.0,,0.05,1.7000000000000002
2017-08-29,33,5.0,,0.05,1.6500000000000001
2017-08-30,53,5.0,,0.05,2.6500000000000004
2017-08-31,27,5.0,,0.05,1.35
2017-09-01,8,9.0,False,0.09,0.72
2017-09-02,9,9.0,,0.09,0.8099999999999999
2017-09-03,3,9.0,,0.09,0.27
2017-09-04,3,9.0,,0.09,0.27
2017-09-05,5,9.0,,0.09,0.44999999999999996
2017-09-06,5,9.0,,0.09,0.44999999999999996
2017-09-07,12,9.0,,0.09,1.08
2017-09-08,0,9.0,,0.09,0.0
2017-09-09,3,9.0,,0.09,0.27
2017-09-10,3,9.0,,0.09,0.27
2017-09-11,20,9.0,,0.09,1.7999999999999998
2017-09-12,12,9.0,,0.09,1.08
2017-09-13,15,9.0,,0.09,1.3499999999999999
2017-09-14,13,9.0,,0.09,1.17
2017-09-15,13,9.0,,0.09,1.17
2017-09-16,3,9.0,,0.09,0.27
2017-09-17,0,9.0,,0.09,0.0
2017-09-18,17,9.0,,0.09,1.53
2017-09-19,56,9.0,,0.09,5.04
2017-09-20,100,9.0,,0.09,9.0
2017-09-21,44,9.0,,0.09,3.96
2017-09-22,20,9.0,,0.09,1.7999999999999998
2017-09-23,12,9.0,,0.09,1.08
2017-09-24,3,9.0,,0.09,0.27
2017-09-25,17,9.0,,0.09,1.53
2017-09-26,7,9.0,,0.09,0.63
2017-09-27,20,9.0,,0.09,1.7999999999999998
2017-09-28,7,9.0,,0.09,0.63
2017-09-29,15,9.0,,0.09,1.3499999999999999
2017-09-30,3,9.0,,0.09,0.27
2017-10-01,11,5.0,False,0.05,0.55
2017-10-02,100,5.0,,0.05,5.0
2017-10-03,65,5.0,,0.05,3.25
2017-10-04,57,5.0,,0.05,2.85
2017-10-05,19,5.0,,0.05,0.9500000000000001
2017-10-06,58,5.0,,0.05,2.9000000000000004
2017-10-07,23,5.0,,0.05,1.1500000000000001
2017-10-08,44,5.0,,0.05,2.2
2017-10-09,47,5.0,,0.05,2.35
2017-10-10,37,5.0,,0.05,1.85
2017-10-11,19,5.0,,0.05,0.9500000000000001
2017-10-12,28,5.0,,0.05,1.4000000000000001
2017-10-13,39,5.0,,0.05,1.9500000000000002
2017-10-14,0,5.0,,0.05,0.0
2017-10-15,11,5.0,,0.05,0.55
2017-10-16,28,5.0,,0.05,1.4000000000000001
2017-10-17,38,5.0,,0.05,1.9000000000000001
2017-10-18,28,5.0,,0.05,1.4000000000000001
2017-10-19,49,5.0,,0.05,2.45
2017-10-20,30,5.0,,0.05,1.5
2017-10-21,12,5.0,,0.05,0.6000000000000001
2017-10-22,11,5.0,,0.05,0.55
2017-10-23,19,5.0,,0.05,0.9500000000000001
2017-10-24,56,5.0,,0.05,2.8000000000000003
2017-10-25,47,5.0,,0.05,2.35
2017-10-26,47,5.0,,0.05,2.35
2017-10-27,29,5.0,,0.05,1.4500000000000002
2017-10-28,11,5.0,,0.05,0.55
2017-10-29,11,5.0,,0.05,0.55
2017-10-30,37,5.0,,0.05,1.85
2017-10-31,67,5.0,,0.05,3.35
2017-11-01,28,7.0,False,0.07,1.9600000000000002
2017-11-02,63,7.0,,0.07,4.41
2017-11-03,38,7.0,,0.07,2.66
2017-11-04,44,7.0,,0.07,3.08
2017-11-05,32,7.0,,0.07,2.24
2017-11-06,64,7.0,,0.07,4.48
2017-11-07,45,7.0,,0.07,3.1500000000000004
2017-11-08,45,7.0,,0.07,3.1500000000000004
2017-11-09,55,7.0,,0.07,3.8500000000000005
2017-11-10,49,7.0,,0.07,3.43
2017-11-11,11,7.0,,0.07,0.77
2017-11-12,11,7.0,,0.07,0.77
2017-11-13,72,7.0,,0.07,5.040000000000001
2017-11-14,72,7.0,,0.07,5.040000000000001
2017-11-15,73,7.0,,0.07,5.11
2017-11-16,91,7.0,,0.07,6.370000000000001
2017-11-17,66,7.0,,0.07,4.62
2017-11-18,44,7.0,,0.07,3.08
2017-11-19,11,7.0,,0.07,0.77
2017-11-20,93,7.0,,0.07,6.510000000000001
2017-11-21,77,7.0,,0.07,5.390000000000001
2017-11-22,100,7.0,,0.07,7.000000000000001
2017-11-23,33,7.0,,0.07,2.31
2017-11-24,63,7.0,,0.07,4.41
2017-11-25,21,7.0,,0.07,1.4700000000000002
2017-11-26,0,7.0,,0.07,0.0
2017-11-27,60,7.0,,0.07,4.2
2017-11-28,89,7.0,,0.07,6.23
2017-11-29,27,7.0,,0.07,1.8900000000000001
2017-11-30,64,7.0,,0.07,4.48
2017-12-01,6,9.0,False,0.09,0.54
2017-12-02,8,9.0,,0.09,0.72
2017-12-03,5,9.0,,0.09,0.44999999999999996
2017-12-04,10,9.0,,0.09,0.8999999999999999
2017-12-05,18,9.0,,0.09,1.6199999999999999
2017-12-06,10,9.0,,0.09,0.8999999999999999
2017-12-07,13,9.0,,0.09,1.17
2017-12-08,9,9.0,,0.09,0.8099999999999999
2017-12-09,10,9.0,,0.09,0.8999999999999999
2017-12-10,0,9.0,,0.09,0.0
2017-12-11,16,9.0,,0.09,1.44
2017-12-12,8,9.0,,0.09,0.72
2017-12-13,10,9.0,,0.09,0.8999999999999999
2017-12-14,6,9.0,,0.09,0.54
2017-12-15,13,9.0,,0.09,1.17
2017-12-16,8,9.0,,0.09,0.72
2017-12-17,8,9.0,,0.09,0.72
2017-12-18,15,9.0,,0.09,1.3499999999999999
2017-12-19,24,9.0,,0.09,2.16
2017-12-20,59,9.0,,0.09,5.31
2017-12-21,100,9.0,,0.09,9.0
2017-12-22,27,9.0,,0.09,2.4299999999999997
2017-12-23,22,9.0,,0.09,1.98
2017-12-24,8,9.0,,0.09,0.72
