date,BBBY_unscaled,BBBY_monthly,isPartial,scale,BBBY
2016-05-01,28,3.0,False,0.03,0.84
2016-05-02,69,3.0,,0.03,2.07
2016-05-03,69,3.0,,0.03,2.07
2016-05-04,69,3.0,,0.03,2.07
2016-05-05,24,3.0,,0.03,0.72
2016-05-06,0,3.0,,0.03,0.0
2016-05-07,57,3.0,,0.03,1.71
2016-05-08,58,3.0,,0.03,1.74
2016-05-09,71,3.0,,0.03,2.13
2016-05-10,0,3.0,,0.03,0.0
2016-05-11,94,3.0,,0.03,2.82
2016-05-12,0,3.0,,0.03,0.0
2016-05-13,74,3.0,,0.03,2.2199999999999998
2016-05-14,0,3.0,,0.03,0.0
2016-05-15,58,3.0,,0.03,1.74
2016-05-16,48,3.0,,0.03,1.44
2016-05-17,70,3.0,,0.03,2.1
2016-05-18,47,3.0,,0.03,1.41
2016-05-19,72,3.0,,0.03,2.16
2016-05-20,100,3.0,,0.03,3.0
2016-05-21,0,3.0,,0.03,0.0
2016-05-22,0,3.0,,0.03,0.0
2016-05-23,24,3.0,,0.03,0.72
2016-05-24,72,3.0,,0.03,2.16
2016-05-25,73,3.0,,0.03,2.19
2016-05-26,75,3.0,,0.03,2.25
2016-05-27,52,3.0,,0.03,1.56
2016-05-28,60,3.0,,0.03,1.7999999999999998
2016-05-29,0,3.0,,0.03,0.0
2016-05-30,28,3.0,,0.03,0.84
2016-05-31,24,3.0,,0.03,0.72
2016-06-01,23,6.0,False,0.06,1.38
2016-06-02,8,6.0,,0.06,0.48
2016-06-03,0,6.0,,0.06,0.0
2016-06-04,0,6.0,,0.06,0.0
2016-06-05,9,6.0,,0.06,0.54
2016-06-06,20,6.0,,0.06,1.2
2016-06-07,19,6.0,,0.06,1.14
2016-06-08,4,6.0,,0.06,0.24
2016-06-09,4,6.0,,0.06,0.24
2016-06-10,0,6.0,,0.06,0.0
2016-06-11,9,6.0,,0.06,0.54
2016-06-12,0,6.0,,0.06,0.0
2016-06-13,4,6.0,,0.06,0.24
2016-06-14,15,6.0,,0.06,0.8999999999999999
2016-06-15,28,6.0,,0.06,1.68
2016-06-16,12,6.0,,0.06,0.72
2016-06-17,8,6.0,,0.06,0.48
2016-06-18,15,6.0,,0.06,0.8999999999999999
2016-06-19,10,6.0,,0.06,0.6
2016-06-20,4,6.0,,0.06,0.24
2016-06-21,20,6.0,,0.06,1.2
2016-06-22,100,6.0,,0.06,6.0
2016-06-23,75,6.0,,0.06,4.5
2016-06-24,37,6.0,,0.06,2.2199999999999998
2016-06-25,5,6.0,,0.06,0.3
2016-06-26,15,6.0,,0.06,0.8999999999999999
2016-06-27,4,6.0,,0.06,0.24
2016-06-28,12,6.0,,0.06,0.72
2016-06-29,12,6.0,,0.06,0.72
2016-06-30,12,6.0,,0.06,0.72
2016-07-01,0,3.0,False,0.03,0.0
2016-07-02,0,3.0,,0.03,0.0
2016-07-03,0,3.0,,0.03,0.0
2016-07-04,24,3.0,,0.03,0.72
2016-07-05,21,3.0,,0.03,0.63
2016-07-06,40,3.0,,0.03,1.2
2016-07-07,100,3.0,,0.03,3.0
2016-07-08,41,3.0,,0.03,1.23
2016-07-09,23,3.0,,0.03,0.69
2016-07-10,23,3.0,,0.03,0.69
2016-07-11,100,3.0,,0.03,3.0
2016-07-12,20,3.0,,0.03,0.6
2016-07-13,0,3.0,,0.03,0.0
2016-07-14,58,3.0,,0.03,1.74
2016-07-15,41,3.0,,0.03,1.23
2016-07-16,0,3.0,,0.03,0.0
2016-07-17,0,3.0,,0.03,0.0
2016-07-18,61,3.0,,0.03,1.8299999999999998
2016-07-19,60,3.0,,0.03,1.7999999999999998
2016-07-20,20,3.0,,0.03,0.6
2016-07-21,20,3.0,,0.03,0.6
2016-07-22,41,3.0,,0.03,1.23
2016-07-23,70,3.0,,0.03,2.1
2016-07-24,23,3.0,,0.03,0.69
2016-07-25,59,3.0,,0.03,1.77
2016-07-26,0,3.0,,0.03,0.0
2016-07-27,79,3.0,,0.03,2.37
2016-07-28,59,3.0,,0.03,1.77
2016-07-29,40,3.0,,0.03,1.2
2016-07-30,92,3.0,,0.03,2.76
2016-07-31,0,3.0,,0.03,0.0
2016-08-01,23,2.0,False,0.02,0.46
2016-08-02,70,2.0,,0.02,1.4000000000000001
2016-08-03,0,2.0,,0.02,0.0
2016-08-04,0,2.0,,0.02,0.0
2016-08-05,52,2.0,,0.02,1.04
2016-08-06,30,2.0,,0.02,0.6
2016-08-07,29,2.0,,0.02,0.58
2016-08-08,0,2.0,,0.02,0.0
2016-08-09,73,2.0,,0.02,1.46
2016-08-10,0,2.0,,0.02,0.0
2016-08-11,26,2.0,,0.02,0.52
2016-08-12,0,2.0,,0.02,0.0
2016-08-13,28,2.0,,0.02,0.56
2016-08-14,0,2.0,,0.02,0.0
2016-08-15,25,2.0,,0.02,0.5
2016-08-16,100,2.0,,0.02,2.0
2016-08-17,50,2.0,,0.02,1.0
2016-08-18,0,2.0,,0.02,0.0
2016-08-19,52,2.0,,0.02,1.04
2016-08-20,30,2.0,,0.02,0.6
2016-08-21,0,2.0,,0.02,0.0
2016-08-22,25,2.0,,0.02,0.5
2016-08-23,25,2.0,,0.02,0.5
2016-08-24,49,2.0,,0.02,0.98
2016-08-25,0,2.0,,0.02,0.0
2016-08-26,48,2.0,,0.02,0.96
2016-08-27,82,2.0,,0.02,1.6400000000000001
2016-08-28,0,2.0,,0.02,0.0
2016-08-29,45,2.0,,0.02,0.9
2016-08-30,23,2.0,,0.02,0.46
2016-08-31,45,2.0,,0.02,0.9
2016-09-01,11,3.0,False,0.03,0.32999999999999996
2016-09-02,0,3.0,,0.03,0.0
2016-09-03,13,3.0,,0.03,0.39
2016-09-04,14,3.0,,0.03,0.42
2016-09-05,13,3.0,,0.03,0.39
2016-09-06,11,3.0,,0.03,0.32999999999999996
2016-09-07,32,3.0,,0.03,0.96
2016-09-08,33,3.0,,0.03,0.99
2016-09-09,45,3.0,,0.03,1.3499999999999999
2016-09-10,0,3.0,,0.03,0.0
2016-09-11,13,3.0,,0.03,0.39
2016-09-12,22,3.0,,0.03,0.6599999999999999
2016-09-13,22,3.0,,0.03,0.6599999999999999
2016-09-14,11,3.0,,0.03,0.32999999999999996
2016-09-15,55,3.0,,0.03,1.65
2016-09-16,34,3.0,,0.03,1.02
2016-09-17,0,3.0,,0.03,0.0
2016-09-18,25,3.0,,0.03,0.75
2016-09-19,64,3.0,,0.03,1.92
2016-09-20,11,3.0,,0.03,0.32999999999999996
2016-09-21,98,3.0,,0.03,2.94
2016-09-22,100,3.0,,0.03,3.0
2016-09-23,23,3.0,,0.03,0.69
2016-09-24,13,3.0,,0.03,0.39
2016-09-25,13,3.0,,0.03,0.39
2016-09-26,11,3.0,,0.03,0.32999999999999996
2016-09-27,33,3.0,,0.03,0.99
2016-09-28,44,3.0,,0.03,1.3199999999999998
2016-09-29,11,3.0,,0.03,0.32999999999999996
2016-09-30,11,3.0,,0.03,0.32999999999999996
2016-10-01,61,3.0,False,0.03,1.8299999999999998
2016-10-02,30,3.0,,0.03,0.8999999999999999
2016-10-03,0,3.0,,0.03,0.0
2016-10-04,100,3.0,,0.03,3.0
2016-10-05,50,3.0,,0.03,1.5
2016-10-06,51,3.0,,0.03,1.53
2016-10-07,51,3.0,,0.03,1.53
2016-10-08,0,3.0,,0.03,0.0
2016-10-09,30,3.0,,0.03,0.8999999999999999
2016-10-10,51,3.0,,0.03,1.53
2016-10-11,76,3.0,,0.03,2.28
2016-10-12,51,3.0,,0.03,1.53
2016-10-13,51,3.0,,0.03,1.53
2016-10-14,80,3.0,,0.03,2.4
2016-10-15,0,3.0,,0.03,0.0
2016-10-16,30,3.0,,0.03,0.8999999999999999
2016-10-17,76,3.0,,0.03,2.28
2016-10-18,50,3.0,,0.03,1.5
2016-10-19,26,3.0,,0.03,0.78
2016-10-20,76,3.0,,0.03,2.28
2016-10-21,26,3.0,,0.03,0.78
2016-10-22,0,3.0,,0.03,0.0
2016-10-23,91,3.0,,0.03,2.73
2016-10-24,75,3.0,,0.03,2.25
2016-10-25,0,3.0,,0.03,0.0
2016-10-26,50,3.0,,0.03,1.5
2016-10-27,25,3.0,,0.03,0.75
2016-10-28,79,3.0,,0.03,2.37
2016-10-29,0,3.0,,0.03,0.0
2016-10-30,0,3.0,,0.03,0.0
2016-10-31,25,3.0,,0.03,0.75
2016-11-01,70,3.0,False,0.03,2.1
2016-11-02,0,3.0,,0.03,0.0
2016-11-03,16,3.0,,0.03,0.48
2016-11-04,35,3.0,,0.03,1.05
2016-11-05,20,3.0,,0.03,0.6
2016-11-06,39,3.0,,0.03,1.17
2016-11-07,16,3.0,,0.03,0.48
2016-11-08,0,3.0,,0.03,0.0
2016-11-09,26,3.0,,0.03,0.78
2016-11-10,51,3.0,,0.03,1.53
2016-11-11,52,3.0,,0.03,1.56
2016-11-12,0,3.0,,0.03,0.0
2016-11-13,0,3.0,,0.03,0.0
2016-11-14,98,3.0,,0.03,2.94
2016-11-15,17,3.0,,0.03,0.51
2016-11-16,50,3.0,,0.03,1.5
2016-11-17,51,3.0,,0.03,1.53
2016-11-18,52,3.0,,0.03,1.56
2016-11-19,20,3.0,,0.03,0.6
2016-11-20,20,3.0,,0.03,0.6
2016-11-21,0,3.0,,0.03,0.0
2016-11-22,52,3.0,,0.03,1.56
2016-11-23,36,3.0,,0.03,1.08
2016-11-24,100,3.0,,0.03,3.0
2016-11-25,18,3.0,,0.03,0.54
2016-11-26,19,3.0,,0.03,0.57
2016-11-27,58,3.0,,0.03,1.74
2016-11-28,15,3.0,,0.03,0.44999999999999996
2016-11-29,93,3.0,,0.03,2.79
2016-11-30,31,3.0,,0.03,0.9299999999999999
2016-12-01,6,5.0,False,0.05,0.30000000000000004
2016-12-02,6,5.0,,0.05,0.30000000000000004
2016-12-03,23,5.0,,0.05,1.1500000000000001
2016-12-04,0,5.0,,0.05,0.0
2016-12-05,6,5.0,,0.05,0.30000000000000004
2016-12-06,24,5.0,,0.05,1.2000000000000002
2016-12-07,31,5.0,,0.05,1.55
2016-12-08,19,5.0,,0.05,0.9500000000000001
2016-12-09,46,5.0,,0.05,2.3000000000000003
2016-12-10,16,5.0,,0.05,0.8
2016-12-11,7,5.0,,0.05,0.35000000000000003
2016-12-12,12,5.0,,0.05,0.6000000000000001
2016-12-13,6,5.0,,0.05,0.30000000000000004
2016-12-14,25,5.0,,0.05,1.25
2016-12-15,26,5.0,,0.05,1.3
2016-12-16,7,5.0,,0.05,0.35000000000000003
2016-12-17,8,5.0,,0.05,0.4
2016-12-18,8,5.0,,0.05,0.4
2016-12-19,39,5.0,,0.05,1.9500000000000002
2016-12-20,14,5.0,,0.05,0.7000000000000001
2016-12-21,76,5.0,,0.05,3.8000000000000003
2016-12-22,100,5.0,,0.05,5.0
2016-12-23,43,5.0,,0.05,2.15
2016-12-24,8,5.0,,0.05,0.4
2016-12-25,0,5.0,,0.05,0.0
2016-12-26,8,5.0,,0.05,0.4
2016-12-27,20,5.0,,0.05,1.0
2016-12-28,21,5.0,,0.05,1.05
2016-12-29,20,5.0,,0.05,1.0
2016-12-30,28,5.0,,0.05,1.4000000000000001
2016-12-31,7,5.0,,0.05,0.35000000000000003
2017-01-01,50,3.0,False,0.03,1.5
2017-01-02,22,3.0,,0.03,0.6599999999999999
2017-01-03,100,3.0,,0.03,3.0
2017-01-04,60,3.0,,0.03,1.7999999999999998
2017-01-05,62,3.0,,0.03,1.8599999999999999
2017-01-06,61,3.0,,0.03,1.8299999999999998
2017-01-07,70,3.0,,0.03,2.1
2017-01-08,23,3.0,,0.03,0.69
2017-01-09,39,3.0,,0.03,1.17
2017-01-10,0,3.0,,0.03,0.0
2017-01-11,39,3.0,,0.03,1.17
2017-01-12,40,3.0,,0.03,1.2
2017-01-13,81,3.0,,0.03,2.4299999999999997
2017-01-14,47,3.0,,0.03,1.41
2017-01-15,0,3.0,,0.03,0.0
2017-01-16,0,3.0,,0.03,0.0
2017-01-17,58,3.0,,0.03,1.74
2017-01-18,19,3.0,,0.03,0.57
2017-01-19,39,3.0,,0.03,1.17
