date,MORE_unscaled,MORE_monthly,isPartial,scale,MORE
2016-05-01,84,75.0,False,0.75,63.0
2016-05-02,100,75.0,,0.75,75.0
2016-05-03,99,75.0,,0.75,74.25
2016-05-04,99,75.0,,0.75,74.25
2016-05-05,99,75.0,,0.75,74.25
2016-05-06,83,75.0,,0.75,62.25
2016-05-07,73,75.0,,0.75,54.75
2016-05-08,79,75.0,,0.75,59.25
2016-05-09,95,75.0,,0.75,71.25
2016-05-10,98,75.0,,0.75,73.5
2016-05-11,93,75.0,,0.75,69.75
2016-05-12,92,75.0,,0.75,69.0
2016-05-13,87,75.0,,0.75,65.25
2016-05-14,77,75.0,,0.75,57.75
2016-05-15,80,75.0,,0.75,60.0
2016-05-16,88,75.0,,0.75,66.0
2016-05-17,87,75.0,,0.75,65.25
2016-05-18,91,75.0,,0.75,68.25
2016-05-19,86,75.0,,0.75,64.5
2016-05-20,80,75.0,,0.75,60.0
2016-05-21,74,75.0,,0.75,55.5
2016-05-22,77,75.0,,0.75,57.75
2016-05-23,87,75.0,,0.75,65.25
2016-05-24,85,75.0,,0.75,63.75
2016-05-25,85,75.0,,0.75,63.75
2016-05-26,82,75.0,,0.75,61.5
2016-05-27,79,75.0,,0.75,59.25
2016-05-28,73,75.0,,0.75,54.75
2016-05-29,75,75.0,,0.75,56.25
2016-05-30,75,75.0,,0.75,56.25
2016-05-31,81,75.0,,0.75,60.75
2016-06-01,94,71.0,False,0.71,66.74
2016-06-02,89,71.0,,0.71,63.19
2016-06-03,88,71.0,,0.71,62.48
2016-06-04,80,71.0,,0.71,56.8
2016-06-05,87,71.0,,0.71,61.769999999999996
2016-06-06,89,71.0,,0.71,63.19
2016-06-07,90,71.0,,0.71,63.9
2016-06-08,92,71.0,,0.71,65.32
2016-06-09,88,71.0,,0.71,62.48
2016-06-10,86,71.0,,0.71,61.059999999999995
2016-06-11,81,71.0,,0.71,57.51
2016-06-12,89,71.0,,0.71,63.19
2016-06-13,100,71.0,,0.71,71.0
2016-06-14,93,71.0,,0.71,66.03
2016-06-15,91,71.0,,0.71,64.61
2016-06-16,95,71.0,,0.71,67.45
2016-06-17,85,71.0,,0.71,60.349999999999994
2016-06-18,84,71.0,,0.71,59.64
2016-06-19,86,71.0,,0.71,61.059999999999995
2016-06-20,83,71.0,,0.71,58.93
2016-06-21,88,71.0,,0.71,62.48
2016-06-22,88,71.0,,0.71,62.48
2016-06-23,89,71.0,,0.71,63.19
2016-06-24,83,71.0,,0.71,58.93
2016-06-25,83,71.0,,0.71,58.93
2016-06-26,85,71.0,,0.71,60.349999999999994
2016-06-27,86,71.0,,0.71,61.059999999999995
2016-06-28,93,71.0,,0.71,66.03
2016-06-29,88,71.0,,0.71,62.48
2016-06-30,90,71.0,,0.71,63.9
2016-07-01,74,71.0,False,0.71,52.54
2016-07-02,73,71.0,,0.71,51.83
2016-07-03,75,71.0,,0.71,53.25
2016-07-04,73,71.0,,0.71,51.83
2016-07-05,76,71.0,,0.71,53.959999999999994
2016-07-06,76,71.0,,0.71,53.959999999999994
2016-07-07,80,71.0,,0.71,56.8
2016-07-08,83,71.0,,0.71,58.93
2016-07-09,87,71.0,,0.71,61.769999999999996
2016-07-10,91,71.0,,0.71,64.61
2016-07-11,100,71.0,,0.71,71.0
2016-07-12,99,71.0,,0.71,70.28999999999999
2016-07-13,93,71.0,,0.71,66.03
2016-07-14,90,71.0,,0.71,63.9
2016-07-15,82,71.0,,0.71,58.22
2016-07-16,79,71.0,,0.71,56.089999999999996
2016-07-17,81,71.0,,0.71,57.51
2016-07-18,85,71.0,,0.71,60.349999999999994
2016-07-19,85,71.0,,0.71,60.349999999999994
2016-07-20,84,71.0,,0.71,59.64
2016-07-21,80,71.0,,0.71,56.8
2016-07-22,77,71.0,,0.71,54.669999999999995
2016-07-23,76,71.0,,0.71,53.959999999999994
2016-07-24,81,71.0,,0.71,57.51
2016-07-25,79,71.0,,0.71,56.089999999999996
2016-07-26,81,71.0,,0.71,57.51
2016-07-27,82,71.0,,0.71,58.22
2016-07-28,81,71.0,,0.71,57.51
2016-07-29,79,71.0,,0.71,56.089999999999996
