date,GRS_unscaled,GRS_monthly,isPartial,scale,GRS
2016-05-01,22,66.0,False,0.66,14.520000000000001
2016-05-02,34,66.0,,0.66,22.44
2016-05-03,52,66.0,,0.66,34.32
2016-05-04,45,66.0,,0.66,29.700000000000003
2016-05-05,59,66.0,,0.66,38.940000000000005
2016-05-06,36,66.0,,0.66,23.76
2016-05-07,14,66.0,,0.66,9.24
2016-05-08,28,66.0,,0.66,18.48
2016-05-09,42,66.0,,0.66,27.720000000000002
2016-05-10,60,66.0,,0.66,39.6
2016-05-11,38,66.0,,0.66,25.080000000000002
2016-05-12,24,66.0,,0.66,15.84
2016-05-13,44,66.0,,0.66,29.040000000000003
2016-05-14,48,66.0,,0.66,31.68
2016-05-15,14,66.0,,0.66,9.24
2016-05-16,63,66.0,,0.66,41.580000000000005
2016-05-17,38,66.0,,0.66,25.080000000000002
2016-05-18,54,66.0,,0.66,35.64
2016-05-19,35,66.0,,0.66,23.1
2016-05-20,41,66.0,,0.66,27.060000000000002
2016-05-21,53,66.0,,0.66,34.980000000000004
2016-05-22,42,66.0,,0.66,27.720000000000002
2016-05-23,16,66.0,,0.66,10.56
2016-05-24,98,66.0,,0.66,64.68
2016-05-25,79,66.0,,0.66,52.14
2016-05-26,85,66.0,,0.66,56.1
2016-05-27,55,66.0,,0.66,36.300000000000004
2016-05-28,39,66.0,,0.66,25.740000000000002
2016-05-29,100,66.0,,0.66,66.0
2016-05-30,70,66.0,,0.66,46.2
2016-05-31,80,66.0,,0.66,52.800000000000004
2016-06-01,36,100.0,False,1.0,36.0
2016-06-02,57,100.0,,1.0,57.0
2016-06-03,46,100.0,,1.0,46.0
2016-06-04,63,100.0,,1.0,63.0
2016-06-05,56,100.0,,1.0,56.0
2016-06-06,54,100.0,,1.0,54.0
2016-06-07,38,100.0,,1.0,38.0
2016-06-08,60,100.0,,1.0,60.0
2016-06-09,64,100.0,,1.0,64.0
2016-06-10,54,100.0,,1.0,54.0
2016-06-11,88,100.0,,1.0,88.0
2016-06-12,100,100.0,,1.0,100.0
2016-06-13,96,100.0,,1.0,96.0
2016-06-14,53,100.0,,1.0,53.0
2016-06-15,66,100.0,,1.0,66.0
2016-06-16,61,100.0,,1.0,61.0
2016-06-17,25,100.0,,1.0,25.0
2016-06-18,48,100.0,,1.0,48.0
2016-06-19,74,100.0,,1.0,74.0
2016-06-20,37,100.0,,1.0,37.0
2016-06-21,49,100.0,,1.0,49.0
2016-06-22,52,100.0,,1.0,52.0
2016-06-23,51,100.0,,1.0,51.0
2016-06-24,34,100.0,,1.0,34.0
2016-06-25,69,100.0,,1.0,69.0
2016-06-26,63,100.0,,1.0,63.0
2016-06-27,36,100.0,,1.0,36.0
2016-06-28,36,100.0,,1.0,36.0
2016-06-29,68,100.0,,1.0,68.0
2016-06-30,66,100.0,,1.0,66.0
2016-07-01,75,87.0,False,0.87,65.25
2016-07-02,70,87.0,,0.87,60.9
2016-07-03,51,87.0,,0.87,44.37
2016-07-04,38,87.0,,0.87,33.06
2016-07-05,72,87.0,,0.87,62.64
2016-07-06,64,87.0,,0.87,55.68
2016-07-07,55,87.0,,0.87,47.85
2016-07-08,69,87.0,,0.87,60.03
2016-07-09,64,87.0,,0.87,55.68
2016-07-10,80,87.0,,0.87,69.6
2016-07-11,82,87.0,,0.87,71.34
2016-07-12,64,87.0,,0.87,55.68
2016-07-13,75,87.0,,0.87,65.25
2016-07-14,93,87.0,,0.87,80.91
2016-07-15,61,87.0,,0.87,53.07
2016-07-16,75,87.0,,0.87,65.25
2016-07-17,65,87.0,,0.87,56.55
2016-07-18,78,87.0,,0.87,67.86
2016-07-19,100,87.0,,0.87,87.0
2016-07-20,89,87.0,,0.87,77.42999999999999
2016-07-21,70,87.0,,0.87,60.9
2016-07-22,66,87.0,,0.87,57.42
2016-07-23,64,87.0,,0.87,55.68
2016-07-24,53,87.0,,0.87,46.11
2016-07-25,86,87.0,,0.87,74.82
2016-07-26,91,87.0,,0.87,79.17
2016-07-27,54,87.0,,0.87,46.98
2016-07-28,67,87.0,,0.87,58.29
2016-07-29,51,87.0,,0.87,44.37
2016-07-30,63,87.0,,0.87,54.81
2016-07-31,74,87.0,,0.87,64.38
2016-08-01,99,71.0,False,0.71,70.28999999999999
2016-08-02,100,71.0,,0.71,71.0
2016-08-03,81,71.0,,0.71,57.51
2016-08-04,87,71.0,,0.71,61.769999999999996
2016-08-05,70,71.0,,0.71,49.699999999999996
2016-08-06,40,71.0,,0.71,28.4
2016-08-07,39,71.0,,0.71,27.689999999999998
2016-08-08,70,71.0,,0.71,49.699999999999996
2016-08-09,93,71.0,,0.71,66.03
2016-08-10,84,71.0,,0.71,59.64
2016-08-11,58,71.0,,0.71,41.18
2016-08-12,97,71.0,,0.71,68.86999999999999
2016-08-13,45,71.0,,0.71,31.95
2016-08-14,66,71.0,,0.71,46.86
2016-08-15,61,71.0,,0.71,43.309999999999995
2016-08-16,85,71.0,,0.71,60.349999999999994
2016-08-17,90,71.0,,0.71,63.9
2016-08-18,52,71.0,,0.71,36.92
2016-08-19,47,71.0,,0.71,33.37
2016-08-20,47,71.0,,0.71,33.37
2016-08-21,60,71.0,,0.71,42.599999999999994
2016-08-22,79,71.0,,0.71,56.089999999999996
2016-08-23,50,71.0,,0.71,35.5
2016-08-24,61,71.0,,0.71,43.309999999999995
2016-08-25,78,71.0,,0.71,55.379999999999995
2016-08-26,59,71.0,,0.71,41.89
2016-08-27,80,71.0,,0.71,56.8
2016-08-28,80,71.0,,0.71,56.8
2016-08-29,72,71.0,,0.71,51.12
2016-08-30,87,71.0,,0.71,61.769999999999996
2016-08-31,51,71.0,,0.71,36.21
2016-09-01,68,73.0,False,0.73,49.64
2016-09-02,58,73.0,,0.73,42.339999999999996
2016-09-03,46,73.0,,0.73,33.58
2016-09-04,37,73.0,,0.73,27.009999999999998
2016-09-05,97,73.0,,0.73,70.81
2016-09-06,55,73.0,,0.73,40.15
2016-09-07,66,73.0,,0.73,48.18
2016-09-08,50,73.0,,0.73,36.5
2016-09-09,70,73.0,,0.73,51.1
2016-09-10,61,73.0,,0.73,44.53
2016-09-11,48,73.0,,0.73,35.04
2016-09-12,87,73.0,,0.73,63.51
2016-09-13,50,73.0,,0.73,36.5
2016-09-14,51,73.0,,0.73,37.23
2016-09-15,51,73.0,,0.73,37.23
2016-09-16,48,73.0,,0.73,35.04
2016-09-17,65,73.0,,0.73,47.449999999999996
2016-09-18,19,73.0,,0.73,13.87
2016-09-19,70,73.0,,0.73,51.1
2016-09-20,100,73.0,,0.73,73.0
2016-09-21,88,73.0,,0.73,64.24
2016-09-22,47,73.0,,0.73,34.31
2016-09-23,39,73.0,,0.73,28.47
2016-09-24,41,73.0,,0.73,29.93
2016-09-25,64,73.0,,0.73,46.72
2016-09-26,67,73.0,,0.73,48.91
2016-09-27,50,73.0,,0.73,36.5
2016-09-28,54,73.0,,0.73,39.42
2016-09-29,34,73.0,,0.73,24.82
2016-09-30,57,73.0,,0.73,41.61
2016-10-01,61,73.0,False,0.73,44.53
2016-10-02,59,73.0,,0.73,43.07
2016-10-03,43,73.0,,0.73,31.39
2016-10-04,36,73.0,,0.73,26.28
2016-10-05,53,73.0,,0.73,38.69
2016-10-06,40,73.0,,0.73,29.2
2016-10-07,31,73.0,,0.73,22.63
2016-10-08,36,73.0,,0.73,26.28
2016-10-09,39,73.0,,0.73,28.47
2016-10-10,47,73.0,,0.73,34.31
2016-10-11,61,73.0,,0.73,44.53
2016-10-12,41,73.0,,0.73,29.93
2016-10-13,91,73.0,,0.73,66.42999999999999
2016-10-14,84,73.0,,0.73,61.32
2016-10-15,67,73.0,,0.73,48.91
2016-10-16,43,73.0,,0.73,31.39
2016-10-17,100,73.0,,0.73,73.0
2016-10-18,60,73.0,,0.73,43.8
2016-10-19,47,73.0,,0.73,34.31
2016-10-20,50,73.0,,0.73,36.5
2016-10-21,45,73.0,,0.73,32.85
2016-10-22,21,73.0,,0.73,15.33
2016-10-23,40,73.0,,0.73,29.2
2016-10-24,30,73.0,,0.73,21.9
2016-10-25,62,73.0,,0.73,45.26
2016-10-26,36,73.0,,0.73,26.28
2016-10-27,30,73.0,,0.73,21.9
2016-10-28,31,73.0,,0.73,22.63
2016-10-29,41,73.0,,0.73,29.93
2016-10-30,28,73.0,,0.73,20.439999999999998
2016-10-31,30,73.0,,0.73,21.9
2016-11-01,68,67.0,False,0.67,45.56
2016-11-02,80,67.0,,0.67,53.6
2016-11-03,59,67.0,,0.67,39.53
2016-11-04,94,67.0,,0.67,62.980000000000004
2016-11-05,68,67.0,,0.67,45.56
2016-11-06,78,67.0,,0.67,52.260000000000005
2016-11-07,83,67.0,,0.67,55.61000000000001
2016-11-08,77,67.0,,0.67,51.59
2016-11-09,64,67.0,,0.67,42.88
2016-11-10,46,67.0,,0.67,30.82
2016-11-11,84,67.0,,0.67,56.28
2016-11-12,79,67.0,,0.67,52.93
2016-11-13,59,67.0,,0.67,39.53
2016-11-14,45,67.0,,0.67,30.150000000000002
2016-11-15,100,67.0,,0.67,67.0
2016-11-16,60,67.0,,0.67,40.2
2016-11-17,56,67.0,,0.67,37.52
2016-11-18,52,67.0,,0.67,34.84
2016-11-19,49,67.0,,0.67,32.830000000000005
