date,OG_unscaled,OG_monthly,isPartial,scale,OG
2016-05-01,90,55.0,False,0.55,49.50000000000001
2016-05-02,87,55.0,,0.55,47.85
2016-05-03,89,55.0,,0.55,48.95
2016-05-04,93,55.0,,0.55,51.150000000000006
2016-05-05,95,55.0,,0.55,52.25000000000001
2016-05-06,91,55.0,,0.55,50.050000000000004
2016-05-07,87,55.0,,0.55,47.85
2016-05-08,84,55.0,,0.55,46.2
2016-05-09,90,55.0,,0.55,49.50000000000001
2016-05-10,89,55.0,,0.55,48.95
2016-05-11,76,55.0,,0.55,41.800000000000004
2016-05-12,81,55.0,,0.55,44.550000000000004
2016-05-13,83,55.0,,0.55,45.650000000000006
2016-05-14,88,55.0,,0.55,48.400000000000006
2016-05-15,82,55.0,,0.55,45.1
2016-05-16,89,55.0,,0.55,48.95
2016-05-17,90,55.0,,0.55,49.50000000000001
2016-05-18,97,55.0,,0.55,53.35
2016-05-19,96,55.0,,0.55,52.800000000000004
2016-05-20,82,55.0,,0.55,45.1
2016-05-21,89,55.0,,0.55,48.95
2016-05-22,88,55.0,,0.55,48.400000000000006
2016-05-23,90,55.0,,0.55,49.50000000000001
2016-05-24,97,55.0,,0.55,53.35
2016-05-25,91,55.0,,0.55,50.050000000000004
2016-05-26,92,55.0,,0.55,50.6
2016-05-27,90,55.0,,0.55,49.50000000000001
2016-05-28,100,55.0,,0.55,55.00000000000001
2016-05-29,97,55.0,,0.55,53.35
2016-05-30,88,55.0,,0.55,48.400000000000006
2016-05-31,89,55.0,,0.55,48.95
2016-06-01,76,57.0,False,0.57,43.31999999999999
2016-06-02,75,57.0,,0.57,42.74999999999999
2016-06-03,67,57.0,,0.57,38.19
2016-06-04,76,57.0,,0.57,43.31999999999999
2016-06-05,80,57.0,,0.57,45.599999999999994
2016-06-06,73,57.0,,0.57,41.61
2016-06-07,82,57.0,,0.57,46.739999999999995
2016-06-08,78,57.0,,0.57,44.459999999999994
2016-06-09,76,57.0,,0.57,43.31999999999999
2016-06-10,77,57.0,,0.57,43.88999999999999
2016-06-11,82,57.0,,0.57,46.739999999999995
2016-06-12,85,57.0,,0.57,48.449999999999996
2016-06-13,100,57.0,,0.57,56.99999999999999
2016-06-14,94,57.0,,0.57,53.58
2016-06-15,80,57.0,,0.57,45.599999999999994
2016-06-16,75,57.0,,0.57,42.74999999999999
2016-06-17,77,57.0,,0.57,43.88999999999999
2016-06-18,77,57.0,,0.57,43.88999999999999
2016-06-19,87,57.0,,0.57,49.589999999999996
2016-06-20,76,57.0,,0.57,43.31999999999999
2016-06-21,82,57.0,,0.57,46.739999999999995
2016-06-22,78,57.0,,0.57,44.459999999999994
2016-06-23,73,57.0,,0.57,41.61
2016-06-24,71,57.0,,0.57,40.47
2016-06-25,80,57.0,,0.57,45.599999999999994
2016-06-26,76,57.0,,0.57,43.31999999999999
2016-06-27,72,57.0,,0.57,41.04
2016-06-28,79,57.0,,0.57,45.029999999999994
2016-06-29,73,57.0,,0.57,41.61
2016-06-30,72,57.0,,0.57,41.04
2016-07-01,75,56.0,False,0.56,42.00000000000001
2016-07-02,89,56.0,,0.56,49.84
2016-07-03,99,56.0,,0.56,55.440000000000005
2016-07-04,81,56.0,,0.56,45.36000000000001
2016-07-05,79,56.0,,0.56,44.24
2016-07-06,72,56.0,,0.56,40.32000000000001
2016-07-07,79,56.0,,0.56,44.24
2016-07-08,76,56.0,,0.56,42.56
2016-07-09,82,56.0,,0.56,45.92
2016-07-10,79,56.0,,0.56,44.24
2016-07-11,79,56.0,,0.56,44.24
2016-07-12,74,56.0,,0.56,41.440000000000005
2016-07-13,84,56.0,,0.56,47.040000000000006
2016-07-14,82,56.0,,0.56,45.92
2016-07-15,82,56.0,,0.56,45.92
2016-07-16,84,56.0,,0.56,47.040000000000006
2016-07-17,95,56.0,,0.56,53.2
2016-07-18,78,56.0,,0.56,43.68000000000001
2016-07-19,92,56.0,,0.56,51.52
2016-07-20,81,56.0,,0.56,45.36000000000001
2016-07-21,82,56.0,,0.56,45.92
2016-07-22,83,56.0,,0.56,46.480000000000004
2016-07-23,100,56.0,,0.56,56.00000000000001
2016-07-24,81,56.0,,0.56,45.36000000000001
2016-07-25,85,56.0,,0.56,47.6
2016-07-26,94,56.0,,0.56,52.64000000000001
2016-07-27,85,56.0,,0.56,47.6
2016-07-28,90,56.0,,0.56,50.400000000000006
2016-07-29,85,56.0,,0.56,47.6
2016-07-30,86,56.0,,0.56,48.160000000000004
2016-07-31,78,56.0,,0.56,43.68000000000001
2016-08-01,52,64.0,False,0.64,33.28
2016-08-02,55,64.0,,0.64,35.2
2016-08-03,60,64.0,,0.64,38.4
2016-08-04,70,64.0,,0.64,44.800000000000004
2016-08-05,73,64.0,,0.64,46.72
2016-08-06,63,64.0,,0.64,40.32
2016-08-07,54,64.0,,0.64,34.56
2016-08-08,54,64.0,,0.64,34.56
2016-08-09,57,64.0,,0.64,36.480000000000004
2016-08-10,64,64.0,,0.64,40.96
2016-08-11,50,64.0,,0.64,32.0
2016-08-12,52,64.0,,0.64,33.28
2016-08-13,56,64.0,,0.64,35.84
2016-08-14,55,64.0,,0.64,35.2
2016-08-15,52,64.0,,0.64,33.28
2016-08-16,64,64.0,,0.64,40.96
2016-08-17,52,64.0,,0.64,33.28
2016-08-18,59,64.0,,0.64,37.76
2016-08-19,56,64.0,,0.64,35.84
2016-08-20,59,64.0,,0.64,37.76
2016-08-21,65,64.0,,0.64,41.6
2016-08-22,74,64.0,,0.64,47.36
2016-08-23,100,64.0,,0.64,64.0
2016-08-24,80,64.0,,0.64,51.2
2016-08-25,68,64.0,,0.64,43.52
2016-08-26,69,64.0,,0.64,44.160000000000004
2016-08-27,71,64.0,,0.64,45.44
2016-08-28,78,64.0,,0.64,49.92
2016-08-29,84,64.0,,0.64,53.76
2016-08-30,79,64.0,,0.64,50.56
2016-08-31,69,64.0,,0.64,44.160000000000004
2016-09-01,74,64.0,False,0.64,47.36
2016-09-02,77,64.0,,0.64,49.28
2016-09-03,89,64.0,,0.64,56.96
2016-09-04,92,64.0,,0.64,58.88
2016-09-05,85,64.0,,0.64,54.4
2016-09-06,100,64.0,,0.64,64.0
2016-09-07,80,64.0,,0.64,51.2
2016-09-08,72,64.0,,0.64,46.08
2016-09-09,70,64.0,,0.64,44.800000000000004
2016-09-10,83,64.0,,0.64,53.120000000000005
2016-09-11,73,64.0,,0.64,46.72
2016-09-12,75,64.0,,0.64,48.0
2016-09-13,91,64.0,,0.64,58.24
2016-09-14,81,64.0,,0.64,51.84
2016-09-15,74,64.0,,0.64,47.36
