date,ROKU_unscaled,ROKU_monthly,isPartial,scale,ROKU
2016-05-01,93,34.0,False,0.34,31.62
2016-05-02,74,34.0,,0.34,25.16
2016-05-03,60,34.0,,0.34,20.400000000000002
2016-05-04,58,34.0,,0.34,19.720000000000002
2016-05-05,60,34.0,,0.34,20.400000000000002
2016-05-06,63,34.0,,0.34,21.42
2016-05-07,82,34.0,,0.34,27.880000000000003
2016-05-08,92,34.0,,0.34,31.28
2016-05-09,62,34.0,,0.34,21.080000000000002
2016-05-10,63,34.0,,0.34,21.42
2016-05-11,63,34.0,,0.34,21.42
2016-05-12,61,34.0,,0.34,20.740000000000002
2016-05-13,58,34.0,,0.34,19.720000000000002
2016-05-14,86,34.0,,0.34,29.240000000000002
2016-05-15,97,34.0,,0.34,32.980000000000004
2016-05-16,62,34.0,,0.34,21.080000000000002
2016-05-17,66,34.0,,0.34,22.44
2016-05-18,56,34.0,,0.34,19.040000000000003
2016-05-19,61,34.0,,0.34,20.740000000000002
2016-05-20,63,34.0,,0.34,21.42
2016-05-21,89,34.0,,0.34,30.26
2016-05-22,95,34.0,,0.34,32.300000000000004
2016-05-23,61,34.0,,0.34,20.740000000000002
2016-05-24,62,34.0,,0.34,21.080000000000002
2016-05-25,60,34.0,,0.34,20.400000000000002
2016-05-26,60,34.0,,0.34,20.400000000000002
2016-05-27,60,34.0,,0.34,20.400000000000002
2016-05-28,84,34.0,,0.34,28.560000000000002
2016-05-29,100,34.0,,0.34,34.0
2016-05-30,100,34.0,,0.34,34.0
2016-05-31,71,34.0,,0.34,24.14
2016-06-01,62,33.0,False,0.33,20.46
2016-06-02,61,33.0,,0.33,20.130000000000003
2016-06-03,70,33.0,,0.33,23.1
2016-06-04,81,33.0,,0.33,26.73
2016-06-05,95,33.0,,0.33,31.35
2016-06-06,74,33.0,,0.33,24.42
2016-06-07,60,33.0,,0.33,19.8
2016-06-08,61,33.0,,0.33,20.130000000000003
2016-06-09,63,33.0,,0.33,20.790000000000003
2016-06-10,64,33.0,,0.33,21.12
2016-06-11,78,33.0,,0.33,25.740000000000002
2016-06-12,98,33.0,,0.33,32.34
2016-06-13,67,33.0,,0.33,22.11
2016-06-14,64,33.0,,0.33,21.12
2016-06-15,65,33.0,,0.33,21.45
2016-06-16,65,33.0,,0.33,21.45
2016-06-17,66,33.0,,0.33,21.78
2016-06-18,85,33.0,,0.33,28.05
2016-06-19,97,33.0,,0.33,32.01
2016-06-20,77,33.0,,0.33,25.41
2016-06-21,71,33.0,,0.33,23.43
2016-06-22,65,33.0,,0.33,21.45
2016-06-23,65,33.0,,0.33,21.45
2016-06-24,66,33.0,,0.33,21.78
2016-06-25,85,33.0,,0.33,28.05
2016-06-26,100,33.0,,0.33,33.0
2016-06-27,68,33.0,,0.33,22.44
2016-06-28,71,33.0,,0.33,23.43
2016-06-29,69,33.0,,0.33,22.77
2016-06-30,67,33.0,,0.33,22.11
2016-07-01,70,36.0,False,0.36,25.2
2016-07-02,81,36.0,,0.36,29.16
2016-07-03,90,36.0,,0.36,32.4
2016-07-04,85,36.0,,0.36,30.599999999999998
2016-07-05,69,36.0,,0.36,24.84
2016-07-06,63,36.0,,0.36,22.68
2016-07-07,64,36.0,,0.36,23.04
2016-07-08,64,36.0,,0.36,23.04
2016-07-09,83,36.0,,0.36,29.88
2016-07-10,89,36.0,,0.36,32.04
2016-07-11,60,36.0,,0.36,21.599999999999998
2016-07-12,75,36.0,,0.36,27.0
2016-07-13,70,36.0,,0.36,25.2
2016-07-14,60,36.0,,0.36,21.599999999999998
2016-07-15,65,36.0,,0.36,23.4
2016-07-16,78,36.0,,0.36,28.08
2016-07-17,90,36.0,,0.36,32.4
2016-07-18,72,36.0,,0.36,25.919999999999998
2016-07-19,66,36.0,,0.36,23.759999999999998
2016-07-20,59,36.0,,0.36,21.24
2016-07-21,62,36.0,,0.36,22.32
2016-07-22,68,36.0,,0.36,24.48
2016-07-23,85,36.0,,0.36,30.599999999999998
2016-07-24,89,36.0,,0.36,32.04
2016-07-25,70,36.0,,0.36,25.2
2016-07-26,68,36.0,,0.36,24.48
2016-07-27,61,36.0,,0.36,21.96
2016-07-28,62,36.0,,0.36,22.32
2016-07-29,68,36.0,,0.36,24.48
2016-07-30,93,36.0,,0.36,33.48
2016-07-31,100,36.0,,0.36,36.0
2016-08-01,64,37.0,False,0.37,23.68
2016-08-02,62,37.0,,0.37,22.94
2016-08-03,62,37.0,,0.37,22.94
2016-08-04,63,37.0,,0.37,23.31
2016-08-05,77,37.0,,0.37,28.49
2016-08-06,100,37.0,,0.37,37.0
2016-08-07,98,37.0,,0.37,36.26
2016-08-08,72,37.0,,0.37,26.64
2016-08-09,62,37.0,,0.37,22.94
2016-08-10,59,37.0,,0.37,21.83
2016-08-11,65,37.0,,0.37,24.05
2016-08-12,63,37.0,,0.37,23.31
2016-08-13,83,37.0,,0.37,30.71
2016-08-14,87,37.0,,0.37,32.19
2016-08-15,60,37.0,,0.37,22.2
2016-08-16,57,37.0,,0.37,21.09
2016-08-17,55,37.0,,0.37,20.35
2016-08-18,58,37.0,,0.37,21.46
2016-08-19,62,37.0,,0.37,22.94
2016-08-20,81,37.0,,0.37,29.97
2016-08-21,99,37.0,,0.37,36.63
2016-08-22,62,37.0,,0.37,22.94
2016-08-23,57,37.0,,0.37,21.09
2016-08-24,60,37.0,,0.37,22.2
2016-08-25,55,37.0,,0.37,20.35
2016-08-26,63,37.0,,0.37,23.31
2016-08-27,96,37.0,,0.37,35.519999999999996
2016-08-28,99,37.0,,0.37,36.63
2016-08-29,67,37.0,,0.37,24.79
2016-08-30,61,37.0,,0.37,22.57
2016-08-31,57,37.0,,0.37,21.09
2016-09-01,44,39.0,False,0.39,17.16
2016-09-02,56,39.0,,0.39,21.84
2016-09-03,75,39.0,,0.39,29.25
2016-09-04,77,39.0,,0.39,30.03
2016-09-05,71,39.0,,0.39,27.69
2016-09-06,49,39.0,,0.39,19.11
2016-09-07,47,39.0,,0.39,18.330000000000002
2016-09-08,48,39.0,,0.39,18.72
2016-09-09,54,39.0,,0.39,21.060000000000002
2016-09-10,79,39.0,,0.39,30.810000000000002
2016-09-11,100,39.0,,0.39,39.0
2016-09-12,52,39.0,,0.39,20.28
2016-09-13,45,39.0,,0.39,17.55
2016-09-14,48,39.0,,0.39,18.72
2016-09-15,52,39.0,,0.39,20.28
2016-09-16,51,39.0,,0.39,19.89
2016-09-17,71,39.0,,0.39,27.69
2016-09-18,86,39.0,,0.39,33.54
2016-09-19,53,39.0,,0.39,20.67
2016-09-20,48,39.0,,0.39,18.72
2016-09-21,45,39.0,,0.39,17.55
