date,MU_unscaled,MU_monthly,isPartial,scale,MU
2016-05-01,86,32.0,False,0.32,27.52
2016-05-02,87,32.0,,0.32,27.84
2016-05-03,86,32.0,,0.32,27.52
2016-05-04,92,32.0,,0.32,29.44
2016-05-05,79,32.0,,0.32,25.28
2016-05-06,78,32.0,,0.32,24.96
2016-05-07,72,32.0,,0.32,23.04
2016-05-08,76,32.0,,0.32,24.32
2016-05-09,86,32.0,,0.32,27.52
2016-05-10,95,32.0,,0.32,30.400000000000002
2016-05-11,92,32.0,,0.32,29.44
2016-05-12,100,32.0,,0.32,32.0
2016-05-13,73,32.0,,0.32,23.36
2016-05-14,73,32.0,,0.32,23.36
2016-05-15,76,32.0,,0.32,24.32
2016-05-16,82,32.0,,0.32,26.240000000000002
2016-05-17,74,32.0,,0.32,23.68
2016-05-18,78,32.0,,0.32,24.96
2016-05-19,79,32.0,,0.32,25.28
2016-05-20,73,32.0,,0.32,23.36
2016-05-21,79,32.0,,0.32,25.28
2016-05-22,65,32.0,,0.32,20.8
2016-05-23,78,32.0,,0.32,24.96
2016-05-24,79,32.0,,0.32,25.28
2016-05-25,82,32.0,,0.32,26.240000000000002
2016-05-26,77,32.0,,0.32,24.64
2016-05-27,78,32.0,,0.32,24.96
2016-05-28,57,32.0,,0.32,18.240000000000002
2016-05-29,74,32.0,,0.32,23.68
2016-05-30,65,32.0,,0.32,20.8
2016-05-31,75,32.0,,0.32,24.0
2016-06-01,98,32.0,False,0.32,31.36
2016-06-02,91,32.0,,0.32,29.12
2016-06-03,88,32.0,,0.32,28.16
2016-06-04,82,32.0,,0.32,26.240000000000002
2016-06-05,81,32.0,,0.32,25.92
2016-06-06,100,32.0,,0.32,32.0
2016-06-07,90,32.0,,0.32,28.8
2016-06-08,85,32.0,,0.32,27.2
2016-06-09,92,32.0,,0.32,29.44
2016-06-10,80,32.0,,0.32,25.6
2016-06-11,78,32.0,,0.32,24.96
2016-06-12,86,32.0,,0.32,27.52
2016-06-13,85,32.0,,0.32,27.2
2016-06-14,89,32.0,,0.32,28.48
2016-06-15,81,32.0,,0.32,25.92
2016-06-16,81,32.0,,0.32,25.92
2016-06-17,77,32.0,,0.32,24.64
2016-06-18,77,32.0,,0.32,24.64
2016-06-19,81,32.0,,0.32,25.92
2016-06-20,81,32.0,,0.32,25.92
2016-06-21,89,32.0,,0.32,28.48
2016-06-22,94,32.0,,0.32,30.080000000000002
2016-06-23,95,32.0,,0.32,30.400000000000002
2016-06-24,93,32.0,,0.32,29.76
2016-06-25,67,32.0,,0.32,21.44
2016-06-26,80,32.0,,0.32,25.6
2016-06-27,88,32.0,,0.32,28.16
2016-06-28,90,32.0,,0.32,28.8
2016-06-29,95,32.0,,0.32,30.400000000000002
2016-06-30,90,32.0,,0.32,28.8
2016-07-01,100,34.0,False,0.34,34.0
2016-07-02,83,34.0,,0.34,28.220000000000002
2016-07-03,90,34.0,,0.34,30.6
2016-07-04,75,34.0,,0.34,25.500000000000004
2016-07-05,79,34.0,,0.34,26.860000000000003
2016-07-06,99,34.0,,0.34,33.660000000000004
2016-07-07,78,34.0,,0.34,26.520000000000003
2016-07-08,76,34.0,,0.34,25.840000000000003
2016-07-09,75,34.0,,0.34,25.500000000000004
2016-07-10,91,34.0,,0.34,30.94
2016-07-11,86,34.0,,0.34,29.240000000000002
2016-07-12,91,34.0,,0.34,30.94
2016-07-13,91,34.0,,0.34,30.94
2016-07-14,85,34.0,,0.34,28.900000000000002
2016-07-15,86,34.0,,0.34,29.240000000000002
2016-07-16,86,34.0,,0.34,29.240000000000002
2016-07-17,79,34.0,,0.34,26.860000000000003
2016-07-18,89,34.0,,0.34,30.26
2016-07-19,80,34.0,,0.34,27.200000000000003
2016-07-20,83,34.0,,0.34,28.220000000000002
2016-07-21,90,34.0,,0.34,30.6
2016-07-22,84,34.0,,0.34,28.560000000000002
2016-07-23,78,34.0,,0.34,26.520000000000003
2016-07-24,81,34.0,,0.34,27.540000000000003
2016-07-25,98,34.0,,0.34,33.32
2016-07-26,79,34.0,,0.34,26.860000000000003
2016-07-27,85,34.0,,0.34,28.900000000000002
2016-07-28,87,34.0,,0.34,29.580000000000002
2016-07-29,94,34.0,,0.34,31.96
2016-07-30,85,34.0,,0.34,28.900000000000002
2016-07-31,93,34.0,,0.34,31.62
2016-08-01,90,38.0,False,0.38,34.2
2016-08-02,79,38.0,,0.38,30.02
2016-08-03,91,38.0,,0.38,34.58
2016-08-04,92,38.0,,0.38,34.96
2016-08-05,80,38.0,,0.38,30.4
2016-08-06,86,38.0,,0.38,32.68
2016-08-07,83,38.0,,0.38,31.54
2016-08-08,97,38.0,,0.38,36.86
2016-08-09,81,38.0,,0.38,30.78
2016-08-10,76,38.0,,0.38,28.88
2016-08-11,77,38.0,,0.38,29.26
2016-08-12,81,38.0,,0.38,30.78
2016-08-13,92,38.0,,0.38,34.96
2016-08-14,92,38.0,,0.38,34.96
2016-08-15,92,38.0,,0.38,34.96
2016-08-16,91,38.0,,0.38,34.58
2016-08-17,92,38.0,,0.38,34.96
2016-08-18,94,38.0,,0.38,35.72
2016-08-19,98,38.0,,0.38,37.24
2016-08-20,97,38.0,,0.38,36.86
2016-08-21,92,38.0,,0.38,34.96
2016-08-22,97,38.0,,0.38,36.86
2016-08-23,91,38.0,,0.38,34.58
2016-08-24,98,38.0,,0.38,37.24
2016-08-25,96,38.0,,0.38,36.480000000000004
2016-08-26,91,38.0,,0.38,34.58
2016-08-27,94,38.0,,0.38,35.72
2016-08-28,79,38.0,,0.38,30.02
2016-08-29,96,38.0,,0.38,36.480000000000004
2016-08-30,100,38.0,,0.38,38.0
2016-08-31,86,38.0,,0.38,32.68
2016-09-01,86,41.0,False,0.41,35.26
2016-09-02,86,41.0,,0.41,35.26
2016-09-03,86,41.0,,0.41,35.26
2016-09-04,84,41.0,,0.41,34.44
2016-09-05,69,41.0,,0.41,28.29
2016-09-06,84,41.0,,0.41,34.44
2016-09-07,75,41.0,,0.41,30.749999999999996
2016-09-08,82,41.0,,0.41,33.62
2016-09-09,79,41.0,,0.41,32.39
2016-09-10,100,41.0,,0.41,41.0
2016-09-11,90,41.0,,0.41,36.9
2016-09-12,85,41.0,,0.41,34.85
2016-09-13,98,41.0,,0.41,40.18
2016-09-14,87,41.0,,0.41,35.669999999999995
2016-09-15,84,41.0,,0.41,34.44
2016-09-16,85,41.0,,0.41,34.85
2016-09-17,90,41.0,,0.41,36.9
2016-09-18,100,41.0,,0.41,41.0
2016-09-19,86,41.0,,0.41,35.26
2016-09-20,87,41.0,,0.41,35.669999999999995
2016-09-21,88,41.0,,0.41,36.08
2016-09-22,84,41.0,,0.41,34.44
2016-09-23,82,41.0,,0.41,33.62
2016-09-24,95,41.0,,0.41,38.949999999999996
2016-09-25,76,41.0,,0.41,31.159999999999997
2016-09-26,76,41.0,,0.41,31.159999999999997
2016-09-27,85,41.0,,0.41,34.85
2016-09-28,85,41.0,,0.41,34.85
2016-09-29,78,41.0,,0.41,31.979999999999997
2016-09-30,74,41.0,,0.41,30.34
2016-10-01,81,41.0,False,0.41,33.21
2016-10-02,80,41.0,,0.41,32.8
2016-10-03,81,41.0,,0.41,33.21
2016-10-04,80,41.0,,0.41,32.8
2016-10-05,84,41.0,,0.41,34.44
2016-10-06,86,41.0,,0.41,35.26
2016-10-07,69,41.0,,0.41,28.29
2016-10-08,74,41.0,,0.41,30.34
2016-10-09,76,41.0,,0.41,31.159999999999997
2016-10-10,74,41.0,,0.41,30.34
2016-10-11,81,41.0,,0.41,33.21
2016-10-12,78,41.0,,0.41,31.979999999999997
2016-10-13,76,41.0,,0.41,31.159999999999997
2016-10-14,77,41.0,,0.41,31.569999999999997
2016-10-15,80,41.0,,0.41,32.8
2016-10-16,70,41.0,,0.41,28.7
2016-10-17,82,41.0,,0.41,33.62
2016-10-18,81,41.0,,0.41,33.21
2016-10-19,77,41.0,,0.41,31.569999999999997
2016-10-20,79,41.0,,0.41,32.39
2016-10-21,84,41.0,,0.41,34.44
2016-10-22,88,41.0,,0.41,36.08
2016-10-23,93,41.0,,0.41,38.129999999999995
2016-10-24,89,41.0,,0.41,36.489999999999995
2016-10-25,88,41.0,,0.41,36.08
2016-10-26,90,41.0,,0.41,36.9
2016-10-27,100,41.0,,0.41,41.0
2016-10-28,81,41.0,,0.41,33.21
2016-10-29,81,41.0,,0.41,33.21
2016-10-30,73,41.0,,0.41,29.93
2016-10-31,93,41.0,,0.41,38.129999999999995
2016-11-01,96,39.0,False,0.39,37.44
2016-11-02,94,39.0,,0.39,36.660000000000004
2016-11-03,100,39.0,,0.39,39.0
2016-11-04,90,39.0,,0.39,35.1
2016-11-05,83,39.0,,0.39,32.370000000000005
2016-11-06,89,39.0,,0.39,34.71
2016-11-07,88,39.0,,0.39,34.32
2016-11-08,86,39.0,,0.39,33.54
2016-11-09,60,39.0,,0.39,23.400000000000002
2016-11-10,86,39.0,,0.39,33.54
2016-11-11,79,39.0,,0.39,30.810000000000002
2016-11-12,87,39.0,,0.39,33.93
2016-11-13,86,39.0,,0.39,33.54
2016-11-14,89,39.0,,0.39,34.71
2016-11-15,91,39.0,,0.39,35.49
2016-11-16,95,39.0,,0.39,37.050000000000004
2016-11-17,89,39.0,,0.39,34.71
2016-11-18,84,39.0,,0.39,32.76
2016-11-19,91,39.0,,0.39,35.49
2016-11-20,76,39.0,,0.39,29.64
2016-11-21,88,39.0,,0.39,34.32
2016-11-22,88,39.0,,0.39,34.32
2016-11-23,77,39.0,,0.39,30.03
2016-11-24,71,39.0,,0.39,27.69
2016-11-25,78,39.0,,0.39,30.42
2016-11-26,90,39.0,,0.39,35.1
2016-11-27,79,39.0,,0.39,30.810000000000002
2016-11-28,86,39.0,,0.39,33.54
2016-11-29,87,39.0,,0.39,33.93
2016-11-30,90,39.0,,0.39,35.1
2016-12-01,90,36.0,False,0.36,32.4
2016-12-02,94,36.0,,0.36,33.839999999999996
2016-12-03,92,36.0,,0.36,33.12
2016-12-04,95,36.0,,0.36,34.199999999999996
2016-12-05,99,36.0,,0.36,35.64
2016-12-06,79,36.0,,0.36,28.439999999999998
2016-12-07,96,36.0,,0.36,34.56
2016-12-08,93,36.0,,0.36,33.48
2016-12-09,92,36.0,,0.36,33.12
2016-12-10,91,36.0,,0.36,32.76
2016-12-11,81,36.0,,0.36,29.16
2016-12-12,83,36.0,,0.36,29.88
2016-12-13,88,36.0,,0.36,31.68
2016-12-14,89,36.0,,0.36,32.04
2016-12-15,84,36.0,,0.36,30.24
2016-12-16,78,36.0,,0.36,28.08
2016-12-17,82,36.0,,0.36,29.52
2016-12-18,73,36.0,,0.36,26.279999999999998
2016-12-19,70,36.0,,0.36,25.2
2016-12-20,71,36.0,,0.36,25.56
2016-12-21,92,36.0,,0.36,33.12
2016-12-22,100,36.0,,0.36,36.0
2016-12-23,93,36.0,,0.36,33.48
2016-12-24,71,36.0,,0.36,25.56
2016-12-25,73,36.0,,0.36,26.279999999999998
2016-12-26,75,36.0,,0.36,27.0
2016-12-27,81,36.0,,0.36,29.16
2016-12-28,72,36.0,,0.36,25.919999999999998
2016-12-29,69,36.0,,0.36,24.84
2016-12-30,78,36.0,,0.36,28.08
2016-12-31,71,36.0,,0.36,25.56
2017-01-01,71,37.0,False,0.37,26.27
2017-01-02,68,37.0,,0.37,25.16
2017-01-03,83,37.0,,0.37,30.71
2017-01-04,78,37.0,,0.37,28.86
2017-01-05,80,37.0,,0.37,29.6
2017-01-06,79,37.0,,0.37,29.23
2017-01-07,86,37.0,,0.37,31.82
2017-01-08,71,37.0,,0.37,26.27
2017-01-09,82,37.0,,0.37,30.34
2017-01-10,97,37.0,,0.37,35.89
2017-01-11,83,37.0,,0.37,30.71
2017-01-12,82,37.0,,0.37,30.34
2017-01-13,82,37.0,,0.37,30.34
2017-01-14,84,37.0,,0.37,31.08
2017-01-15,88,37.0,,0.37,32.56
2017-01-16,81,37.0,,0.37,29.97
2017-01-17,89,37.0,,0.37,32.93
2017-01-18,89,37.0,,0.37,32.93
2017-01-19,82,37.0,,0.37,30.34
2017-01-20,90,37.0,,0.37,33.3
2017-01-21,89,37.0,,0.37,32.93
2017-01-22,76,37.0,,0.37,28.12
2017-01-23,80,37.0,,0.37,29.6
2017-01-24,95,37.0,,0.37,35.15
2017-01-25,98,37.0,,0.37,36.26
2017-01-26,87,37.0,,0.37,32.19
2017-01-27,85,37.0,,0.37,31.45
2017-01-28,86,37.0,,0.37,31.82
2017-01-29,82,37.0,,0.37,30.34
2017-01-30,94,37.0,,0.37,34.78
2017-01-31,100,37.0,,0.37,37.0
2017-02-01,97,39.0,False,0.39,37.83
2017-02-02,87,39.0,,0.39,33.93
2017-02-03,86,39.0,,0.39,33.54
2017-02-04,80,39.0,,0.39,31.200000000000003
2017-02-05,89,39.0,,0.39,34.71
2017-02-06,83,39.0,,0.39,32.370000000000005
2017-02-07,84,39.0,,0.39,32.76
2017-02-08,88,39.0,,0.39,34.32
2017-02-09,81,39.0,,0.39,31.59
2017-02-10,75,39.0,,0.39,29.25
2017-02-11,84,39.0,,0.39,32.76
2017-02-12,83,39.0,,0.39,32.370000000000005
2017-02-13,80,39.0,,0.39,31.200000000000003
2017-02-14,81,39.0,,0.39,31.59
2017-02-15,95,39.0,,0.39,37.050000000000004
2017-02-16,97,39.0,,0.39,37.83
2017-02-17,79,39.0,,0.39,30.810000000000002
2017-02-18,81,39.0,,0.39,31.59
2017-02-19,85,39.0,,0.39,33.15
2017-02-20,87,39.0,,0.39,33.93
2017-02-21,97,39.0,,0.39,37.83
2017-02-22,100,39.0,,0.39,39.0
2017-02-23,82,39.0,,0.39,31.98
2017-02-24,82,39.0,,0.39,31.98
2017-02-25,75,39.0,,0.39,29.25
2017-02-26,77,39.0,,0.39,30.03
2017-02-27,87,39.0,,0.39,33.93
2017-02-28,92,39.0,,0.39,35.88
2017-03-01,76,43.0,False,0.43,32.68
2017-03-02,78,43.0,,0.43,33.54
2017-03-03,73,43.0,,0.43,31.39
2017-03-04,70,43.0,,0.43,30.099999999999998
2017-03-05,63,43.0,,0.43,27.09
2017-03-06,77,43.0,,0.43,33.11
2017-03-07,72,43.0,,0.43,30.96
2017-03-08,74,43.0,,0.43,31.82
2017-03-09,83,43.0,,0.43,35.69
2017-03-10,75,43.0,,0.43,32.25
2017-03-11,61,43.0,,0.43,26.23
2017-03-12,60,43.0,,0.43,25.8
2017-03-13,87,43.0,,0.43,37.41
2017-03-14,75,43.0,,0.43,32.25
2017-03-15,80,43.0,,0.43,34.4
2017-03-16,68,43.0,,0.43,29.24
2017-03-17,79,43.0,,0.43,33.97
2017-03-18,66,43.0,,0.43,28.38
2017-03-19,69,43.0,,0.43,29.669999999999998
2017-03-20,74,43.0,,0.43,31.82
2017-03-21,80,43.0,,0.43,34.4
2017-03-22,80,43.0,,0.43,34.4
2017-03-23,92,43.0,,0.43,39.56
2017-03-24,100,43.0,,0.43,43.0
2017-03-25,69,43.0,,0.43,29.669999999999998
2017-03-26,70,43.0,,0.43,30.099999999999998
2017-03-27,71,43.0,,0.43,30.53
2017-03-28,80,43.0,,0.43,34.4
2017-03-29,77,43.0,,0.43,33.11
2017-03-30,78,43.0,,0.43,33.54
2017-03-31,69,43.0,,0.43,29.669999999999998
2017-04-01,76,41.0,False,0.41,31.159999999999997
2017-04-02,80,41.0,,0.41,32.8
2017-04-03,93,41.0,,0.41,38.129999999999995
2017-04-04,88,41.0,,0.41,36.08
2017-04-05,99,41.0,,0.41,40.589999999999996
2017-04-06,94,41.0,,0.41,38.54
2017-04-07,83,41.0,,0.41,34.03
2017-04-08,74,41.0,,0.41,30.34
2017-04-09,77,41.0,,0.41,31.569999999999997
2017-04-10,96,41.0,,0.41,39.36
2017-04-11,83,41.0,,0.41,34.03
2017-04-12,100,41.0,,0.41,41.0
2017-04-13,89,41.0,,0.41,36.489999999999995
2017-04-14,88,41.0,,0.41,36.08
2017-04-15,68,41.0,,0.41,27.88
2017-04-16,82,41.0,,0.41,33.62
2017-04-17,81,41.0,,0.41,33.21
