date,CIA_unscaled,CIA_monthly,isPartial,scale,CIA
2016-05-01,38,63.0,False,0.63,23.94
2016-05-02,49,63.0,,0.63,30.87
2016-05-03,48,63.0,,0.63,30.240000000000002
2016-05-04,46,63.0,,0.63,28.98
2016-05-05,47,63.0,,0.63,29.61
2016-05-06,41,63.0,,0.63,25.830000000000002
2016-05-07,33,63.0,,0.63,20.79
2016-05-08,32,63.0,,0.63,20.16
2016-05-09,40,63.0,,0.63,25.2
2016-05-10,44,63.0,,0.63,27.72
2016-05-11,46,63.0,,0.63,28.98
2016-05-12,46,63.0,,0.63,28.98
2016-05-13,39,63.0,,0.63,24.57
2016-05-14,32,63.0,,0.63,20.16
2016-05-15,42,63.0,,0.63,26.46
2016-05-16,51,63.0,,0.63,32.13
2016-05-17,50,63.0,,0.63,31.5
2016-05-18,41,63.0,,0.63,25.830000000000002
2016-05-19,92,63.0,,0.63,57.96
2016-05-20,62,63.0,,0.63,39.06
2016-05-21,50,63.0,,0.63,31.5
2016-05-22,63,63.0,,0.63,39.69
2016-05-23,48,63.0,,0.63,30.240000000000002
2016-05-24,46,63.0,,0.63,28.98
2016-05-25,100,63.0,,0.63,63.0
2016-05-26,51,63.0,,0.63,32.13
2016-05-27,40,63.0,,0.63,25.2
2016-05-28,29,63.0,,0.63,18.27
2016-05-29,37,63.0,,0.63,23.31
2016-05-30,47,63.0,,0.63,29.61
2016-05-31,45,63.0,,0.63,28.35
2016-06-01,65,53.0,False,0.53,34.45
2016-06-02,54,53.0,,0.53,28.62
2016-06-03,58,53.0,,0.53,30.740000000000002
2016-06-04,52,53.0,,0.53,27.560000000000002
2016-06-05,60,53.0,,0.53,31.8
2016-06-06,65,53.0,,0.53,34.45
2016-06-07,62,53.0,,0.53,32.86
2016-06-08,59,53.0,,0.53,31.270000000000003
2016-06-09,64,53.0,,0.53,33.92
2016-06-10,65,53.0,,0.53,34.45
2016-06-11,56,53.0,,0.53,29.68
2016-06-12,75,53.0,,0.53,39.75
2016-06-13,73,53.0,,0.53,38.690000000000005
2016-06-14,84,53.0,,0.53,44.52
2016-06-15,83,53.0,,0.53,43.99
2016-06-16,100,53.0,,0.53,53.0
2016-06-17,87,53.0,,0.53,46.11
2016-06-18,76,53.0,,0.53,40.28
2016-06-19,89,53.0,,0.53,47.17
2016-06-20,66,53.0,,0.53,34.980000000000004
2016-06-21,66,53.0,,0.53,34.980000000000004
2016-06-22,64,53.0,,0.53,33.92
2016-06-23,63,53.0,,0.53,33.39
2016-06-24,62,53.0,,0.53,32.86
2016-06-25,61,53.0,,0.53,32.33
2016-06-26,70,53.0,,0.53,37.1
2016-06-27,59,53.0,,0.53,31.270000000000003
2016-06-28,55,53.0,,0.53,29.150000000000002
2016-06-29,67,53.0,,0.53,35.510000000000005
2016-06-30,71,53.0,,0.53,37.63
2016-07-01,80,47.0,False,0.47,37.599999999999994
2016-07-02,87,47.0,,0.47,40.89
2016-07-03,82,47.0,,0.47,38.54
2016-07-04,73,47.0,,0.47,34.309999999999995
2016-07-05,82,47.0,,0.47,38.54
2016-07-06,85,47.0,,0.47,39.949999999999996
2016-07-07,98,47.0,,0.47,46.059999999999995
2016-07-08,76,47.0,,0.47,35.72
2016-07-09,76,47.0,,0.47,35.72
2016-07-10,74,47.0,,0.47,34.78
2016-07-11,78,47.0,,0.47,36.66
2016-07-12,86,47.0,,0.47,40.419999999999995
2016-07-13,89,47.0,,0.47,41.83
2016-07-14,86,47.0,,0.47,40.419999999999995
2016-07-15,100,47.0,,0.47,47.0
2016-07-16,90,47.0,,0.47,42.3
2016-07-17,98,47.0,,0.47,46.059999999999995
2016-07-18,80,47.0,,0.47,37.599999999999994
2016-07-19,85,47.0,,0.47,39.949999999999996
2016-07-20,73,47.0,,0.47,34.309999999999995
2016-07-21,81,47.0,,0.47,38.07
2016-07-22,78,47.0,,0.47,36.66
2016-07-23,67,47.0,,0.47,31.49
2016-07-24,84,47.0,,0.47,39.48
2016-07-25,80,47.0,,0.47,37.599999999999994
2016-07-26,68,47.0,,0.47,31.959999999999997
2016-07-27,78,47.0,,0.47,36.66
2016-07-28,92,47.0,,0.47,43.239999999999995
2016-07-29,81,47.0,,0.47,38.07
2016-07-30,78,47.0,,0.47,36.66
2016-07-31,85,47.0,,0.47,39.949999999999996
2016-08-01,72,45.0,False,0.45,32.4
2016-08-02,65,45.0,,0.45,29.25
2016-08-03,64,45.0,,0.45,28.8
2016-08-04,63,45.0,,0.45,28.35
2016-08-05,100,45.0,,0.45,45.0
2016-08-06,79,45.0,,0.45,35.550000000000004
2016-08-07,81,45.0,,0.45,36.45
2016-08-08,77,45.0,,0.45,34.65
2016-08-09,73,45.0,,0.45,32.85
2016-08-10,73,45.0,,0.45,32.85
2016-08-11,64,45.0,,0.45,28.8
2016-08-12,58,45.0,,0.45,26.1
2016-08-13,50,45.0,,0.45,22.5
2016-08-14,71,45.0,,0.45,31.95
2016-08-15,60,45.0,,0.45,27.0
2016-08-16,51,45.0,,0.45,22.95
2016-08-17,65,45.0,,0.45,29.25
2016-08-18,56,45.0,,0.45,25.2
2016-08-19,53,45.0,,0.45,23.85
2016-08-20,46,45.0,,0.45,20.7
2016-08-21,52,45.0,,0.45,23.400000000000002
2016-08-22,65,45.0,,0.45,29.25
2016-08-23,71,45.0,,0.45,31.95
2016-08-24,65,45.0,,0.45,29.25
