date,PT_unscaled,PT_monthly,isPartial,scale,PT
2016-05-01,68,81.0,False,0.81,55.080000000000005
2016-05-02,89,81.0,,0.81,72.09
2016-05-03,91,81.0,,0.81,73.71000000000001
2016-05-04,88,81.0,,0.81,71.28
2016-05-05,90,81.0,,0.81,72.9
2016-05-06,89,81.0,,0.81,72.09
2016-05-07,68,81.0,,0.81,55.080000000000005
2016-05-08,71,81.0,,0.81,57.510000000000005
2016-05-09,88,81.0,,0.81,71.28
2016-05-10,95,81.0,,0.81,76.95
2016-05-11,87,81.0,,0.81,70.47
2016-05-12,87,81.0,,0.81,70.47
2016-05-13,92,81.0,,0.81,74.52000000000001
2016-05-14,77,81.0,,0.81,62.370000000000005
2016-05-15,78,81.0,,0.81,63.18000000000001
2016-05-16,93,81.0,,0.81,75.33
2016-05-17,94,81.0,,0.81,76.14
2016-05-18,96,81.0,,0.81,77.76
2016-05-19,86,81.0,,0.81,69.66000000000001
2016-05-20,90,81.0,,0.81,72.9
2016-05-21,79,81.0,,0.81,63.99
2016-05-22,73,81.0,,0.81,59.13
2016-05-23,100,81.0,,0.81,81.0
2016-05-24,88,81.0,,0.81,71.28
2016-05-25,90,81.0,,0.81,72.9
2016-05-26,91,81.0,,0.81,73.71000000000001
2016-05-27,86,81.0,,0.81,69.66000000000001
2016-05-28,72,81.0,,0.81,58.32000000000001
2016-05-29,73,81.0,,0.81,59.13
2016-05-30,74,81.0,,0.81,59.940000000000005
2016-05-31,94,81.0,,0.81,76.14
2016-06-01,83,86.0,False,0.86,71.38
2016-06-02,86,86.0,,0.86,73.96
2016-06-03,87,86.0,,0.86,74.82
2016-06-04,78,86.0,,0.86,67.08
2016-06-05,74,86.0,,0.86,63.64
2016-06-06,91,86.0,,0.86,78.26
2016-06-07,94,86.0,,0.86,80.84
2016-06-08,91,86.0,,0.86,78.26
2016-06-09,95,86.0,,0.86,81.7
2016-06-10,83,86.0,,0.86,71.38
2016-06-11,75,86.0,,0.86,64.5
2016-06-12,86,86.0,,0.86,73.96
2016-06-13,94,86.0,,0.86,80.84
2016-06-14,100,86.0,,0.86,86.0
2016-06-15,94,86.0,,0.86,80.84
2016-06-16,90,86.0,,0.86,77.4
2016-06-17,82,86.0,,0.86,70.52
2016-06-18,71,86.0,,0.86,61.06
2016-06-19,72,86.0,,0.86,61.92
2016-06-20,88,86.0,,0.86,75.67999999999999
2016-06-21,96,86.0,,0.86,82.56
2016-06-22,89,86.0,,0.86,76.53999999999999
2016-06-23,90,86.0,,0.86,77.4
2016-06-24,80,86.0,,0.86,68.8
2016-06-25,79,86.0,,0.86,67.94
2016-06-26,71,86.0,,0.86,61.06
2016-06-27,92,86.0,,0.86,79.12
2016-06-28,92,86.0,,0.86,79.12
2016-06-29,92,86.0,,0.86,79.12
2016-06-30,91,86.0,,0.86,78.26
2016-07-01,84,80.0,False,0.8,67.2
2016-07-02,72,80.0,,0.8,57.6
2016-07-03,63,80.0,,0.8,50.400000000000006
2016-07-04,69,80.0,,0.8,55.2
2016-07-05,90,80.0,,0.8,72.0
2016-07-06,96,80.0,,0.8,76.80000000000001
2016-07-07,85,80.0,,0.8,68.0
2016-07-08,86,80.0,,0.8,68.8
2016-07-09,73,80.0,,0.8,58.400000000000006
2016-07-10,67,80.0,,0.8,53.6
2016-07-11,90,80.0,,0.8,72.0
2016-07-12,88,80.0,,0.8,70.4
2016-07-13,88,80.0,,0.8,70.4
2016-07-14,82,80.0,,0.8,65.60000000000001
2016-07-15,83,80.0,,0.8,66.4
2016-07-16,74,80.0,,0.8,59.2
2016-07-17,65,80.0,,0.8,52.0
2016-07-18,94,80.0,,0.8,75.2
2016-07-19,85,80.0,,0.8,68.0
2016-07-20,100,80.0,,0.8,80.0
2016-07-21,94,80.0,,0.8,75.2
2016-07-22,91,80.0,,0.8,72.8
2016-07-23,80,80.0,,0.8,64.0
2016-07-24,71,80.0,,0.8,56.800000000000004
2016-07-25,94,80.0,,0.8,75.2
2016-07-26,100,80.0,,0.8,80.0
2016-07-27,91,80.0,,0.8,72.8
2016-07-28,87,80.0,,0.8,69.60000000000001
2016-07-29,89,80.0,,0.8,71.2
2016-07-30,73,80.0,,0.8,58.400000000000006
2016-07-31,65,80.0,,0.8,52.0
2016-08-01,84,83.0,False,0.83,69.72
2016-08-02,92,83.0,,0.83,76.36
2016-08-03,86,83.0,,0.83,71.38
2016-08-04,91,83.0,,0.83,75.53
2016-08-05,87,83.0,,0.83,72.21
2016-08-06,78,83.0,,0.83,64.74
2016-08-07,66,83.0,,0.83,54.779999999999994
2016-08-08,84,83.0,,0.83,69.72
2016-08-09,94,83.0,,0.83,78.02
2016-08-10,91,83.0,,0.83,75.53
2016-08-11,86,83.0,,0.83,71.38
2016-08-12,80,83.0,,0.83,66.39999999999999
2016-08-13,69,83.0,,0.83,57.269999999999996
2016-08-14,65,83.0,,0.83,53.949999999999996
2016-08-15,85,83.0,,0.83,70.55
2016-08-16,86,83.0,,0.83,71.38
2016-08-17,84,83.0,,0.83,69.72
2016-08-18,88,83.0,,0.83,73.03999999999999
2016-08-19,83,83.0,,0.83,68.89
2016-08-20,72,83.0,,0.83,59.76
2016-08-21,72,83.0,,0.83,59.76
2016-08-22,89,83.0,,0.83,73.86999999999999
2016-08-23,100,83.0,,0.83,83.0
2016-08-24,88,83.0,,0.83,73.03999999999999
2016-08-25,84,83.0,,0.83,69.72
2016-08-26,80,83.0,,0.83,66.39999999999999
2016-08-27,69,83.0,,0.83,57.269999999999996
2016-08-28,70,83.0,,0.83,58.099999999999994
2016-08-29,85,83.0,,0.83,70.55
2016-08-30,87,83.0,,0.83,72.21
2016-08-31,83,83.0,,0.83,68.89
2016-09-01,95,80.0,False,0.8,76.0
