date,YOU_unscaled,YOU_monthly,isPartial,scale,YOU
2016-05-01,100,67.0,False,0.67,67.0
2016-05-02,92,67.0,,0.67,61.64
2016-05-03,95,67.0,,0.67,63.650000000000006
2016-05-04,99,67.0,,0.67,66.33
2016-05-05,97,67.0,,0.67,64.99000000000001
2016-05-06,94,67.0,,0.67,62.980000000000004
2016-05-07,93,67.0,,0.67,62.31
2016-05-08,97,67.0,,0.67,64.99000000000001
2016-05-09,90,67.0,,0.67,60.300000000000004
2016-05-10,91,67.0,,0.67,60.970000000000006
2016-05-11,90,67.0,,0.67,60.300000000000004
2016-05-12,92,67.0,,0.67,61.64
2016-05-13,91,67.0,,0.67,60.970000000000006
2016-05-14,96,67.0,,0.67,64.32000000000001
2016-05-15,100,67.0,,0.67,67.0
2016-05-16,97,67.0,,0.67,64.99000000000001
2016-05-17,92,67.0,,0.67,61.64
2016-05-18,93,67.0,,0.67,62.31
2016-05-19,93,67.0,,0.67,62.31
2016-05-20,94,67.0,,0.67,62.980000000000004
2016-05-21,97,67.0,,0.67,64.99000000000001
2016-05-22,99,67.0,,0.67,66.33
2016-05-23,94,67.0,,0.67,62.980000000000004
2016-05-24,94,67.0,,0.67,62.980000000000004
2016-05-25,97,67.0,,0.67,64.99000000000001
2016-05-26,94,67.0,,0.67,62.980000000000004
2016-05-27,94,67.0,,0.67,62.980000000000004
2016-05-28,97,67.0,,0.67,64.99000000000001
2016-05-29,99,67.0,,0.67,66.33
2016-05-30,99,67.0,,0.67,66.33
2016-05-31,93,67.0,,0.67,62.31
2016-06-01,89,69.0,False,0.69,61.41
2016-06-02,89,69.0,,0.69,61.41
2016-06-03,90,69.0,,0.69,62.099999999999994
2016-06-04,97,69.0,,0.69,66.92999999999999
2016-06-05,100,69.0,,0.69,69.0
2016-06-06,93,69.0,,0.69,64.17
2016-06-07,91,69.0,,0.69,62.78999999999999
2016-06-08,90,69.0,,0.69,62.099999999999994
2016-06-09,90,69.0,,0.69,62.099999999999994
2016-06-10,94,69.0,,0.69,64.86
2016-06-11,94,69.0,,0.69,64.86
2016-06-12,98,69.0,,0.69,67.61999999999999
2016-06-13,89,69.0,,0.69,61.41
2016-06-14,88,69.0,,0.69,60.72
2016-06-15,91,69.0,,0.69,62.78999999999999
2016-06-16,95,69.0,,0.69,65.55
2016-06-17,89,69.0,,0.69,61.41
2016-06-18,92,69.0,,0.69,63.48
2016-06-19,94,69.0,,0.69,64.86
2016-06-20,88,69.0,,0.69,60.72
2016-06-21,94,69.0,,0.69,64.86
2016-06-22,89,69.0,,0.69,61.41
2016-06-23,86,69.0,,0.69,59.339999999999996
2016-06-24,84,69.0,,0.69,57.959999999999994
2016-06-25,92,69.0,,0.69,63.48
2016-06-26,94,69.0,,0.69,64.86
2016-06-27,84,69.0,,0.69,57.959999999999994
2016-06-28,89,69.0,,0.69,61.41
2016-06-29,90,69.0,,0.69,62.099999999999994
2016-06-30,91,69.0,,0.69,62.78999999999999
2016-07-01,94,65.0,False,0.65,61.1
2016-07-02,95,65.0,,0.65,61.75
2016-07-03,96,65.0,,0.65,62.400000000000006
2016-07-04,98,65.0,,0.65,63.7
2016-07-05,87,65.0,,0.65,56.550000000000004
2016-07-06,94,65.0,,0.65,61.1
2016-07-07,91,65.0,,0.65,59.15
2016-07-08,89,65.0,,0.65,57.85
2016-07-09,97,65.0,,0.65,63.050000000000004
2016-07-10,98,65.0,,0.65,63.7
