date,AI_unscaled,AI_monthly,isPartial,scale,AI
2016-05-01,75,47.0,False,0.47,35.25
2016-05-02,81,47.0,,0.47,38.07
2016-05-03,84,47.0,,0.47,39.48
2016-05-04,89,47.0,,0.47,41.83
2016-05-05,100,47.0,,0.47,47.0
2016-05-06,91,47.0,,0.47,42.769999999999996
2016-05-07,79,47.0,,0.47,37.129999999999995
2016-05-08,81,47.0,,0.47,38.07
2016-05-09,91,47.0,,0.47,42.769999999999996
2016-05-10,89,47.0,,0.47,41.83
2016-05-11,89,47.0,,0.47,41.83
2016-05-12,85,47.0,,0.47,39.949999999999996
2016-05-13,95,47.0,,0.47,44.65
2016-05-14,91,47.0,,0.47,42.769999999999996
2016-05-15,93,47.0,,0.47,43.71
2016-05-16,84,47.0,,0.47,39.48
2016-05-17,89,47.0,,0.47,41.83
2016-05-18,94,47.0,,0.47,44.18
2016-05-19,98,47.0,,0.47,46.059999999999995
2016-05-20,86,47.0,,0.47,40.419999999999995
2016-05-21,96,47.0,,0.47,45.12
2016-05-22,87,47.0,,0.47,40.89
2016-05-23,85,47.0,,0.47,39.949999999999996
2016-05-24,87,47.0,,0.47,40.89
2016-05-25,87,47.0,,0.47,40.89
2016-05-26,92,47.0,,0.47,43.239999999999995
2016-05-27,82,47.0,,0.47,38.54
2016-05-28,87,47.0,,0.47,40.89
2016-05-29,90,47.0,,0.47,42.3
2016-05-30,86,47.0,,0.47,40.419999999999995
2016-05-31,94,47.0,,0.47,44.18
2016-06-01,84,50.0,False,0.5,42.0
2016-06-02,91,50.0,,0.5,45.5
2016-06-03,100,50.0,,0.5,50.0
2016-06-04,87,50.0,,0.5,43.5
2016-06-05,90,50.0,,0.5,45.0
2016-06-06,86,50.0,,0.5,43.0
2016-06-07,89,50.0,,0.5,44.5
2016-06-08,83,50.0,,0.5,41.5
2016-06-09,100,50.0,,0.5,50.0
2016-06-10,82,50.0,,0.5,41.0
2016-06-11,84,50.0,,0.5,42.0
2016-06-12,74,50.0,,0.5,37.0
2016-06-13,84,50.0,,0.5,42.0
2016-06-14,83,50.0,,0.5,41.5
2016-06-15,82,50.0,,0.5,41.0
2016-06-16,83,50.0,,0.5,41.5
2016-06-17,84,50.0,,0.5,42.0
2016-06-18,74,50.0,,0.5,37.0
2016-06-19,80,50.0,,0.5,40.0
2016-06-20,80,50.0,,0.5,40.0
2016-06-21,69,50.0,,0.5,34.5
2016-06-22,78,50.0,,0.5,39.0
2016-06-23,83,50.0,,0.5,41.5
2016-06-24,70,50.0,,0.5,35.0
2016-06-25,82,50.0,,0.5,41.0
2016-06-26,70,50.0,,0.5,35.0
2016-06-27,70,50.0,,0.5,35.0
2016-06-28,79,50.0,,0.5,39.5
2016-06-29,83,50.0,,0.5,41.5
2016-06-30,77,50.0,,0.5,38.5
2016-07-01,89,42.0,False,0.42,37.379999999999995
2016-07-02,75,42.0,,0.42,31.5
2016-07-03,98,42.0,,0.42,41.16
2016-07-04,85,42.0,,0.42,35.699999999999996
2016-07-05,87,42.0,,0.42,36.54
2016-07-06,78,42.0,,0.42,32.76
2016-07-07,83,42.0,,0.42,34.86
2016-07-08,82,42.0,,0.42,34.44
2016-07-09,78,42.0,,0.42,32.76
2016-07-10,78,42.0,,0.42,32.76
2016-07-11,82,42.0,,0.42,34.44
2016-07-12,83,42.0,,0.42,34.86
2016-07-13,85,42.0,,0.42,35.699999999999996
2016-07-14,93,42.0,,0.42,39.059999999999995
2016-07-15,86,42.0,,0.42,36.12
2016-07-16,73,42.0,,0.42,30.66
2016-07-17,95,42.0,,0.42,39.9
2016-07-18,89,42.0,,0.42,37.379999999999995
2016-07-19,90,42.0,,0.42,37.8
2016-07-20,91,42.0,,0.42,38.22
2016-07-21,90,42.0,,0.42,37.8
2016-07-22,82,42.0,,0.42,34.44
2016-07-23,87,42.0,,0.42,36.54
2016-07-24,84,42.0,,0.42,35.28
2016-07-25,84,42.0,,0.42,35.28
2016-07-26,89,42.0,,0.42,37.379999999999995
2016-07-27,87,42.0,,0.42,36.54
2016-07-28,77,42.0,,0.42,32.339999999999996
2016-07-29,100,42.0,,0.42,42.0
2016-07-30,83,42.0,,0.42,34.86
2016-07-31,87,42.0,,0.42,36.54
2016-08-01,100,40.0,False,0.4,40.0
2016-08-02,75,40.0,,0.4,30.0
2016-08-03,78,40.0,,0.4,31.200000000000003
2016-08-04,82,40.0,,0.4,32.800000000000004
2016-08-05,81,40.0,,0.4,32.4
2016-08-06,69,40.0,,0.4,27.6
2016-08-07,73,40.0,,0.4,29.200000000000003
2016-08-08,88,40.0,,0.4,35.2
2016-08-09,89,40.0,,0.4,35.6
2016-08-10,82,40.0,,0.4,32.800000000000004
2016-08-11,84,40.0,,0.4,33.6
2016-08-12,69,40.0,,0.4,27.6
2016-08-13,74,40.0,,0.4,29.6
2016-08-14,75,40.0,,0.4,30.0
2016-08-15,89,40.0,,0.4,35.6
2016-08-16,83,40.0,,0.4,33.2
2016-08-17,72,40.0,,0.4,28.8
2016-08-18,85,40.0,,0.4,34.0
2016-08-19,72,40.0,,0.4,28.8
2016-08-20,62,40.0,,0.4,24.8
