date,SBUX_unscaled,SBUX_monthly,isPartial,scale,SBUX
2016-05-01,34,40.0,False,0.4,13.600000000000001
2016-05-02,74,40.0,,0.4,29.6
2016-05-03,84,40.0,,0.4,33.6
2016-05-04,66,40.0,,0.4,26.400000000000002
2016-05-05,80,40.0,,0.4,32.0
2016-05-06,69,40.0,,0.4,27.6
2016-05-07,38,40.0,,0.4,15.200000000000001
2016-05-08,13,40.0,,0.4,5.2
2016-05-09,60,40.0,,0.4,24.0
2016-05-10,75,40.0,,0.4,30.0
2016-05-11,58,40.0,,0.4,23.200000000000003
2016-05-12,73,40.0,,0.4,29.200000000000003
2016-05-13,82,40.0,,0.4,32.800000000000004
2016-05-14,16,40.0,,0.4,6.4
2016-05-15,36,40.0,,0.4,14.4
2016-05-16,77,40.0,,0.4,30.8
2016-05-17,60,40.0,,0.4,24.0
2016-05-18,74,40.0,,0.4,29.6
2016-05-19,61,40.0,,0.4,24.400000000000002
2016-05-20,86,40.0,,0.4,34.4
2016-05-21,23,40.0,,0.4,9.200000000000001
2016-05-22,16,40.0,,0.4,6.4
2016-05-23,40,40.0,,0.4,16.0
2016-05-24,99,40.0,,0.4,39.6
2016-05-25,100,40.0,,0.4,40.0
2016-05-26,64,40.0,,0.4,25.6
2016-05-27,72,40.0,,0.4,28.8
2016-05-28,13,40.0,,0.4,5.2
2016-05-29,10,40.0,,0.4,4.0
2016-05-30,22,40.0,,0.4,8.8
2016-05-31,76,40.0,,0.4,30.400000000000002
2016-06-01,76,41.0,False,0.41,31.159999999999997
2016-06-02,51,41.0,,0.41,20.91
2016-06-03,49,41.0,,0.41,20.09
2016-06-04,21,41.0,,0.41,8.61
2016-06-05,11,41.0,,0.41,4.51
2016-06-06,65,41.0,,0.41,26.65
2016-06-07,91,41.0,,0.41,37.309999999999995
2016-06-08,52,41.0,,0.41,21.32
2016-06-09,71,41.0,,0.41,29.11
2016-06-10,74,41.0,,0.41,30.34
2016-06-11,24,41.0,,0.41,9.84
2016-06-12,11,41.0,,0.41,4.51
2016-06-13,54,41.0,,0.41,22.139999999999997
2016-06-14,67,41.0,,0.41,27.47
2016-06-15,68,41.0,,0.41,27.88
2016-06-16,52,41.0,,0.41,21.32
2016-06-17,49,41.0,,0.41,20.09
2016-06-18,14,41.0,,0.41,5.739999999999999
2016-06-19,17,41.0,,0.41,6.97
2016-06-20,41,41.0,,0.41,16.81
2016-06-21,64,41.0,,0.41,26.24
2016-06-22,44,41.0,,0.41,18.04
2016-06-23,73,41.0,,0.41,29.93
2016-06-24,100,41.0,,0.41,41.0
2016-06-25,16,41.0,,0.41,6.56
2016-06-26,19,41.0,,0.41,7.789999999999999
2016-06-27,43,41.0,,0.41,17.63
2016-06-28,59,41.0,,0.41,24.189999999999998
2016-06-29,58,41.0,,0.41,23.779999999999998
2016-06-30,85,41.0,,0.41,34.85
2016-07-01,35,45.0,False,0.45,15.75
2016-07-02,10,45.0,,0.45,4.5
2016-07-03,9,45.0,,0.45,4.05
2016-07-04,14,45.0,,0.45,6.3
2016-07-05,36,45.0,,0.45,16.2
2016-07-06,26,45.0,,0.45,11.700000000000001
2016-07-07,28,45.0,,0.45,12.6
2016-07-08,42,45.0,,0.45,18.900000000000002
2016-07-09,13,45.0,,0.45,5.8500000000000005
2016-07-10,9,45.0,,0.45,4.05
2016-07-11,37,45.0,,0.45,16.650000000000002
2016-07-12,36,45.0,,0.45,16.2
2016-07-13,30,45.0,,0.45,13.5
2016-07-14,43,45.0,,0.45,19.35
2016-07-15,41,45.0,,0.45,18.45
2016-07-16,4,45.0,,0.45,1.8
2016-07-17,7,45.0,,0.45,3.15
2016-07-18,41,45.0,,0.45,18.45
2016-07-19,25,45.0,,0.45,11.25
2016-07-20,47,45.0,,0.45,21.150000000000002
2016-07-21,100,45.0,,0.45,45.0
2016-07-22,81,45.0,,0.45,36.45
2016-07-23,9,45.0,,0.45,4.05
2016-07-24,11,45.0,,0.45,4.95
2016-07-25,33,45.0,,0.45,14.85
2016-07-26,34,45.0,,0.45,15.3
2016-07-27,35,45.0,,0.45,15.75
2016-07-28,28,45.0,,0.45,12.6
2016-07-29,30,45.0,,0.45,13.5
2016-07-30,6,45.0,,0.45,2.7
2016-07-31,6,45.0,,0.45,2.7
