date,HP_unscaled,HP_monthly,isPartial,scale,HP
2016-05-01,85,84.0,False,0.84,71.39999999999999
2016-05-02,94,84.0,,0.84,78.96
2016-05-03,94,84.0,,0.84,78.96
2016-05-04,91,84.0,,0.84,76.44
2016-05-05,91,84.0,,0.84,76.44
2016-05-06,93,84.0,,0.84,78.11999999999999
2016-05-07,82,84.0,,0.84,68.88
2016-05-08,76,84.0,,0.84,63.839999999999996
2016-05-09,95,84.0,,0.84,79.8
2016-05-10,99,84.0,,0.84,83.16
2016-05-11,95,84.0,,0.84,79.8
2016-05-12,96,84.0,,0.84,80.64
2016-05-13,92,84.0,,0.84,77.28
2016-05-14,85,84.0,,0.84,71.39999999999999
2016-05-15,88,84.0,,0.84,73.92
2016-05-16,100,84.0,,0.84,84.0
2016-05-17,98,84.0,,0.84,82.32
2016-05-18,95,84.0,,0.84,79.8
2016-05-19,95,84.0,,0.84,79.8
2016-05-20,93,84.0,,0.84,78.11999999999999
2016-05-21,92,84.0,,0.84,77.28
2016-05-22,87,84.0,,0.84,73.08
2016-05-23,97,84.0,,0.84,81.48
2016-05-24,100,84.0,,0.84,84.0
2016-05-25,96,84.0,,0.84,80.64
2016-05-26,94,84.0,,0.84,78.96
2016-05-27,93,84.0,,0.84,78.11999999999999
2016-05-28,81,84.0,,0.84,68.03999999999999
2016-05-29,76,84.0,,0.84,63.839999999999996
2016-05-30,86,84.0,,0.84,72.24
2016-05-31,94,84.0,,0.84,78.96
2016-06-01,92,84.0,False,0.84,77.28
2016-06-02,92,84.0,,0.84,77.28
2016-06-03,93,84.0,,0.84,78.11999999999999
2016-06-04,78,84.0,,0.84,65.52
2016-06-05,80,84.0,,0.84,67.2
2016-06-06,95,84.0,,0.84,79.8
2016-06-07,97,84.0,,0.84,81.48
2016-06-08,96,84.0,,0.84,80.64
2016-06-09,95,84.0,,0.84,79.8
2016-06-10,88,84.0,,0.84,73.92
2016-06-11,78,84.0,,0.84,65.52
2016-06-12,78,84.0,,0.84,65.52
2016-06-13,91,84.0,,0.84,76.44
2016-06-14,93,84.0,,0.84,78.11999999999999
2016-06-15,90,84.0,,0.84,75.6
2016-06-16,92,84.0,,0.84,77.28
2016-06-17,87,84.0,,0.84,73.08
2016-06-18,77,84.0,,0.84,64.67999999999999
2016-06-19,76,84.0,,0.84,63.839999999999996
2016-06-20,94,84.0,,0.84,78.96
2016-06-21,98,84.0,,0.84,82.32
2016-06-22,94,84.0,,0.84,78.96
2016-06-23,94,84.0,,0.84,78.96
2016-06-24,88,84.0,,0.84,73.92
2016-06-25,84,84.0,,0.84,70.56
2016-06-26,81,84.0,,0.84,68.03999999999999
2016-06-27,95,84.0,,0.84,79.8
2016-06-28,97,84.0,,0.84,81.48
2016-06-29,100,84.0,,0.84,84.0
2016-06-30,96,84.0,,0.84,80.64
2016-07-01,84,87.0,False,0.87,73.08
2016-07-02,79,87.0,,0.87,68.73
2016-07-03,74,87.0,,0.87,64.38
2016-07-04,74,87.0,,0.87,64.38
2016-07-05,87,87.0,,0.87,75.69
2016-07-06,92,87.0,,0.87,80.04
2016-07-07,88,87.0,,0.87,76.56
2016-07-08,85,87.0,,0.87,73.95
2016-07-09,80,87.0,,0.87,69.6
