date,AMZN_unscaled,AMZN_monthly,isPartial,scale,AMZN
2016-05-01,14,20.0,False,0.2,2.8000000000000003
2016-05-02,69,20.0,,0.2,13.8
2016-05-03,62,20.0,,0.2,12.4
2016-05-04,57,20.0,,0.2,11.4
2016-05-05,42,20.0,,0.2,8.4
2016-05-06,43,20.0,,0.2,8.6
2016-05-07,14,20.0,,0.2,2.8000000000000003
2016-05-08,9,20.0,,0.2,1.8
2016-05-09,51,20.0,,0.2,10.200000000000001
2016-05-10,89,20.0,,0.2,17.8
2016-05-11,100,20.0,,0.2,20.0
2016-05-12,84,20.0,,0.2,16.8
2016-05-13,71,20.0,,0.2,14.200000000000001
2016-05-14,20,20.0,,0.2,4.0
2016-05-15,14,20.0,,0.2,2.8000000000000003
2016-05-16,65,20.0,,0.2,13.0
2016-05-17,56,20.0,,0.2,11.200000000000001
2016-05-18,57,20.0,,0.2,11.4
2016-05-19,45,20.0,,0.2,9.0
2016-05-20,46,20.0,,0.2,9.200000000000001
2016-05-21,11,20.0,,0.2,2.2
2016-05-22,10,20.0,,0.2,2.0
2016-05-23,40,20.0,,0.2,8.0
2016-05-24,47,20.0,,0.2,9.4
2016-05-25,41,20.0,,0.2,8.200000000000001
2016-05-26,51,20.0,,0.2,10.200000000000001
2016-05-27,40,20.0,,0.2,8.0
2016-05-28,14,20.0,,0.2,2.8000000000000003
2016-05-29,6,20.0,,0.2,1.2000000000000002
2016-05-30,8,20.0,,0.2,1.6
2016-05-31,40,20.0,,0.2,8.0
2016-06-01,56,16.0,False,0.16,8.96
2016-06-02,56,16.0,,0.16,8.96
2016-06-03,49,16.0,,0.16,7.84
2016-06-04,15,16.0,,0.16,2.4
2016-06-05,9,16.0,,0.16,1.44
2016-06-06,51,16.0,,0.16,8.16
2016-06-07,44,16.0,,0.16,7.04
2016-06-08,49,16.0,,0.16,7.84
2016-06-09,43,16.0,,0.16,6.88
2016-06-10,38,16.0,,0.16,6.08
2016-06-11,13,16.0,,0.16,2.08
2016-06-12,4,16.0,,0.16,0.64
2016-06-13,31,16.0,,0.16,4.96
2016-06-14,35,16.0,,0.16,5.6000000000000005
2016-06-15,44,16.0,,0.16,7.04
2016-06-16,39,16.0,,0.16,6.24
2016-06-17,42,16.0,,0.16,6.72
2016-06-18,7,16.0,,0.16,1.12
2016-06-19,10,16.0,,0.16,1.6
2016-06-20,35,16.0,,0.16,5.6000000000000005
2016-06-21,41,16.0,,0.16,6.5600000000000005
2016-06-22,37,16.0,,0.16,5.92
2016-06-23,53,16.0,,0.16,8.48
2016-06-24,100,16.0,,0.16,16.0
2016-06-25,19,16.0,,0.16,3.04
2016-06-26,9,16.0,,0.16,1.44
2016-06-27,72,16.0,,0.16,11.52
2016-06-28,60,16.0,,0.16,9.6
2016-06-29,47,16.0,,0.16,7.5200000000000005
2016-06-30,41,16.0,,0.16,6.5600000000000005
2016-07-01,18,20.0,False,0.2,3.6
2016-07-02,4,20.0,,0.2,0.8
2016-07-03,5,20.0,,0.2,1.0
2016-07-04,5,20.0,,0.2,1.0
