date,DM_unscaled,DM_monthly,isPartial,scale,DM
2016-05-01,100,95.0,False,0.95,95.0
2016-05-02,93,95.0,,0.95,88.35
2016-05-03,87,95.0,,0.95,82.64999999999999
2016-05-04,83,95.0,,0.95,78.85
2016-05-05,87,95.0,,0.95,82.64999999999999
2016-05-06,86,95.0,,0.95,81.7
2016-05-07,87,95.0,,0.95,82.64999999999999
2016-05-08,86,95.0,,0.95,81.7
2016-05-09,84,95.0,,0.95,79.8
2016-05-10,90,95.0,,0.95,85.5
2016-05-11,90,95.0,,0.95,85.5
2016-05-12,86,95.0,,0.95,81.7
2016-05-13,81,95.0,,0.95,76.95
2016-05-14,93,95.0,,0.95,88.35
2016-05-15,95,95.0,,0.95,90.25
2016-05-16,90,95.0,,0.95,85.5
2016-05-17,78,95.0,,0.95,74.1
2016-05-18,90,95.0,,0.95,85.5
2016-05-19,85,95.0,,0.95,80.75
2016-05-20,77,95.0,,0.95,73.14999999999999
2016-05-21,95,95.0,,0.95,90.25
2016-05-22,93,95.0,,0.95,88.35
2016-05-23,70,95.0,,0.95,66.5
2016-05-24,90,95.0,,0.95,85.5
2016-05-25,81,95.0,,0.95,76.95
2016-05-26,78,95.0,,0.95,74.1
2016-05-27,81,95.0,,0.95,76.95
2016-05-28,92,95.0,,0.95,87.39999999999999
2016-05-29,83,95.0,,0.95,78.85
2016-05-30,90,95.0,,0.95,85.5
2016-05-31,79,95.0,,0.95,75.05
2016-06-01,91,90.0,False,0.9,81.9
2016-06-02,81,90.0,,0.9,72.9
2016-06-03,81,90.0,,0.9,72.9
2016-06-04,90,90.0,,0.9,81.0
2016-06-05,85,90.0,,0.9,76.5
2016-06-06,82,90.0,,0.9,73.8
2016-06-07,80,90.0,,0.9,72.0
2016-06-08,80,90.0,,0.9,72.0
2016-06-09,83,90.0,,0.9,74.7
2016-06-10,83,90.0,,0.9,74.7
2016-06-11,82,90.0,,0.9,73.8
2016-06-12,80,90.0,,0.9,72.0
2016-06-13,69,90.0,,0.9,62.1
2016-06-14,76,90.0,,0.9,68.4
2016-06-15,82,90.0,,0.9,73.8
2016-06-16,81,90.0,,0.9,72.9
2016-06-17,80,90.0,,0.9,72.0
2016-06-18,94,90.0,,0.9,84.60000000000001
2016-06-19,79,90.0,,0.9,71.10000000000001
2016-06-20,79,90.0,,0.9,71.10000000000001
2016-06-21,95,90.0,,0.9,85.5
2016-06-22,84,90.0,,0.9,75.60000000000001
2016-06-23,85,90.0,,0.9,76.5
2016-06-24,80,90.0,,0.9,72.0
2016-06-25,73,90.0,,0.9,65.7
2016-06-26,85,90.0,,0.9,76.5
2016-06-27,86,90.0,,0.9,77.4
2016-06-28,99,90.0,,0.9,89.10000000000001
2016-06-29,100,90.0,,0.9,90.0
2016-06-30,94,90.0,,0.9,84.60000000000001
2016-07-01,73,87.0,False,0.87,63.51
2016-07-02,73,87.0,,0.87,63.51
2016-07-03,75,87.0,,0.87,65.25
2016-07-04,73,87.0,,0.87,63.51
2016-07-05,64,87.0,,0.87,55.68
2016-07-06,74,87.0,,0.87,64.38
2016-07-07,73,87.0,,0.87,63.51
2016-07-08,68,87.0,,0.87,59.16
2016-07-09,68,87.0,,0.87,59.16
2016-07-10,71,87.0,,0.87,61.77
2016-07-11,65,87.0,,0.87,56.55
2016-07-12,74,87.0,,0.87,64.38
2016-07-13,66,87.0,,0.87,57.42
2016-07-14,66,87.0,,0.87,57.42
2016-07-15,59,87.0,,0.87,51.33
2016-07-16,58,87.0,,0.87,50.46
2016-07-17,64,87.0,,0.87,55.68
2016-07-18,65,87.0,,0.87,56.55
2016-07-19,100,87.0,,0.87,87.0
2016-07-20,82,87.0,,0.87,71.34
2016-07-21,79,87.0,,0.87,68.73
2016-07-22,75,87.0,,0.87,65.25
2016-07-23,70,87.0,,0.87,60.9
2016-07-24,63,87.0,,0.87,54.81
2016-07-25,72,87.0,,0.87,62.64
2016-07-26,81,87.0,,0.87,70.47
2016-07-27,77,87.0,,0.87,66.99
2016-07-28,80,87.0,,0.87,69.6
2016-07-29,73,87.0,,0.87,63.51
2016-07-30,68,87.0,,0.87,59.16
2016-07-31,72,87.0,,0.87,62.64
2016-08-01,91,80.0,False,0.8,72.8
2016-08-02,100,80.0,,0.8,80.0
2016-08-03,91,80.0,,0.8,72.8
2016-08-04,87,80.0,,0.8,69.60000000000001
2016-08-05,75,80.0,,0.8,60.0
2016-08-06,63,80.0,,0.8,50.400000000000006
2016-08-07,65,80.0,,0.8,52.0
