date,SQ_unscaled,SQ_monthly,isPartial,scale,SQ
2016-05-01,87,62.0,False,0.62,53.94
2016-05-02,92,62.0,,0.62,57.04
2016-05-03,84,62.0,,0.62,52.08
2016-05-04,92,62.0,,0.62,57.04
2016-05-05,87,62.0,,0.62,53.94
2016-05-06,100,62.0,,0.62,62.0
2016-05-07,75,62.0,,0.62,46.5
2016-05-08,80,62.0,,0.62,49.6
2016-05-09,94,62.0,,0.62,58.28
2016-05-10,91,62.0,,0.62,56.42
2016-05-11,86,62.0,,0.62,53.32
2016-05-12,100,62.0,,0.62,62.0
2016-05-13,89,62.0,,0.62,55.18
2016-05-14,83,62.0,,0.62,51.46
2016-05-15,96,62.0,,0.62,59.519999999999996
2016-05-16,87,62.0,,0.62,53.94
2016-05-17,92,62.0,,0.62,57.04
2016-05-18,93,62.0,,0.62,57.66
2016-05-19,83,62.0,,0.62,51.46
2016-05-20,91,62.0,,0.62,56.42
2016-05-21,78,62.0,,0.62,48.36
2016-05-22,90,62.0,,0.62,55.8
2016-05-23,96,62.0,,0.62,59.519999999999996
2016-05-24,96,62.0,,0.62,59.519999999999996
2016-05-25,93,62.0,,0.62,57.66
2016-05-26,84,62.0,,0.62,52.08
2016-05-27,92,62.0,,0.62,57.04
2016-05-28,83,62.0,,0.62,51.46
2016-05-29,77,62.0,,0.62,47.74
2016-05-30,87,62.0,,0.62,53.94
2016-05-31,100,62.0,,0.62,62.0
2016-06-01,87,61.0,False,0.61,53.07
2016-06-02,93,61.0,,0.61,56.73
2016-06-03,86,61.0,,0.61,52.46
2016-06-04,75,61.0,,0.61,45.75
2016-06-05,72,61.0,,0.61,43.92
2016-06-06,96,61.0,,0.61,58.56
2016-06-07,100,61.0,,0.61,61.0
2016-06-08,82,61.0,,0.61,50.019999999999996
2016-06-09,83,61.0,,0.61,50.629999999999995
2016-06-10,84,61.0,,0.61,51.24
2016-06-11,73,61.0,,0.61,44.53
2016-06-12,74,61.0,,0.61,45.14
2016-06-13,80,61.0,,0.61,48.8
2016-06-14,81,61.0,,0.61,49.41
2016-06-15,73,61.0,,0.61,44.53
2016-06-16,80,61.0,,0.61,48.8
2016-06-17,76,61.0,,0.61,46.36
2016-06-18,70,61.0,,0.61,42.699999999999996
2016-06-19,71,61.0,,0.61,43.31
2016-06-20,85,61.0,,0.61,51.85
2016-06-21,88,61.0,,0.61,53.68
2016-06-22,86,61.0,,0.61,52.46
2016-06-23,82,61.0,,0.61,50.019999999999996
2016-06-24,82,61.0,,0.61,50.019999999999996
2016-06-25,78,61.0,,0.61,47.58
2016-06-26,77,61.0,,0.61,46.97
2016-06-27,77,61.0,,0.61,46.97
2016-06-28,87,61.0,,0.61,53.07
2016-06-29,77,61.0,,0.61,46.97
2016-06-30,84,61.0,,0.61,51.24
2016-07-01,89,58.0,False,0.58,51.62
2016-07-02,78,58.0,,0.58,45.239999999999995
2016-07-03,80,58.0,,0.58,46.4
2016-07-04,88,58.0,,0.58,51.04
2016-07-05,97,58.0,,0.58,56.26
2016-07-06,100,58.0,,0.58,57.99999999999999
2016-07-07,89,58.0,,0.58,51.62
2016-07-08,88,58.0,,0.58,51.04
2016-07-09,82,58.0,,0.58,47.559999999999995
2016-07-10,83,58.0,,0.58,48.13999999999999
2016-07-11,87,58.0,,0.58,50.459999999999994
2016-07-12,95,58.0,,0.58,55.099999999999994
2016-07-13,96,58.0,,0.58,55.67999999999999
2016-07-14,91,58.0,,0.58,52.779999999999994
2016-07-15,88,58.0,,0.58,51.04
2016-07-16,76,58.0,,0.58,44.08
2016-07-17,86,58.0,,0.58,49.879999999999995
2016-07-18,99,58.0,,0.58,57.419999999999995
2016-07-19,96,58.0,,0.58,55.67999999999999
2016-07-20,98,58.0,,0.58,56.839999999999996
2016-07-21,96,58.0,,0.58,55.67999999999999
2016-07-22,94,58.0,,0.58,54.519999999999996
2016-07-23,76,58.0,,0.58,44.08
2016-07-24,93,58.0,,0.58,53.94
2016-07-25,97,58.0,,0.58,56.26
2016-07-26,96,58.0,,0.58,55.67999999999999
2016-07-27,97,58.0,,0.58,56.26
2016-07-28,77,58.0,,0.58,44.66
2016-07-29,99,58.0,,0.58,57.419999999999995
2016-07-30,84,58.0,,0.58,48.72
2016-07-31,82,58.0,,0.58,47.559999999999995
2016-08-01,90,57.0,False,0.57,51.3
2016-08-02,92,57.0,,0.57,52.44
2016-08-03,100,57.0,,0.57,56.99999999999999
2016-08-04,95,57.0,,0.57,54.15
2016-08-05,92,57.0,,0.57,52.44
2016-08-06,76,57.0,,0.57,43.31999999999999
2016-08-07,77,57.0,,0.57,43.88999999999999
2016-08-08,84,57.0,,0.57,47.879999999999995
2016-08-09,84,57.0,,0.57,47.879999999999995
2016-08-10,75,57.0,,0.57,42.74999999999999
2016-08-11,86,57.0,,0.57,49.019999999999996
2016-08-12,78,57.0,,0.57,44.459999999999994
2016-08-13,71,57.0,,0.57,40.47
2016-08-14,69,57.0,,0.57,39.33
2016-08-15,84,57.0,,0.57,47.879999999999995
2016-08-16,90,57.0,,0.57,51.3
2016-08-17,74,57.0,,0.57,42.18
2016-08-18,82,57.0,,0.57,46.739999999999995
2016-08-19,73,57.0,,0.57,41.61
2016-08-20,72,57.0,,0.57,41.04
2016-08-21,78,57.0,,0.57,44.459999999999994
2016-08-22,86,57.0,,0.57,49.019999999999996
2016-08-23,84,57.0,,0.57,47.879999999999995
2016-08-24,87,57.0,,0.57,49.589999999999996
2016-08-25,81,57.0,,0.57,46.169999999999995
2016-08-26,79,57.0,,0.57,45.029999999999994
2016-08-27,78,57.0,,0.57,44.459999999999994
2016-08-28,86,57.0,,0.57,49.019999999999996
2016-08-29,94,57.0,,0.57,53.58
2016-08-30,87,57.0,,0.57,49.589999999999996
2016-08-31,83,57.0,,0.57,47.309999999999995
2016-09-01,80,55.0,False,0.55,44.0
2016-09-02,74,55.0,,0.55,40.7
2016-09-03,81,55.0,,0.55,44.550000000000004
2016-09-04,70,55.0,,0.55,38.5
2016-09-05,82,55.0,,0.55,45.1
2016-09-06,100,55.0,,0.55,55.00000000000001
2016-09-07,73,55.0,,0.55,40.150000000000006
2016-09-08,79,55.0,,0.55,43.45
2016-09-09,84,55.0,,0.55,46.2
2016-09-10,72,55.0,,0.55,39.6
2016-09-11,73,55.0,,0.55,40.150000000000006
2016-09-12,84,55.0,,0.55,46.2
2016-09-13,87,55.0,,0.55,47.85
2016-09-14,91,55.0,,0.55,50.050000000000004
2016-09-15,93,55.0,,0.55,51.150000000000006
2016-09-16,82,55.0,,0.55,45.1
2016-09-17,72,55.0,,0.55,39.6
2016-09-18,70,55.0,,0.55,38.5
2016-09-19,80,55.0,,0.55,44.0
2016-09-20,87,55.0,,0.55,47.85
2016-09-21,81,55.0,,0.55,44.550000000000004
2016-09-22,79,55.0,,0.55,43.45
2016-09-23,75,55.0,,0.55,41.25
2016-09-24,73,55.0,,0.55,40.150000000000006
2016-09-25,69,55.0,,0.55,37.95
2016-09-26,74,55.0,,0.55,40.7
2016-09-27,80,55.0,,0.55,44.0
2016-09-28,83,55.0,,0.55,45.650000000000006
2016-09-29,77,55.0,,0.55,42.35
2016-09-30,73,55.0,,0.55,40.150000000000006
2016-10-01,63,52.0,False,0.52,32.76
2016-10-02,70,52.0,,0.52,36.4
2016-10-03,81,52.0,,0.52,42.120000000000005
2016-10-04,100,52.0,,0.52,52.0
2016-10-05,76,52.0,,0.52,39.52
2016-10-06,80,52.0,,0.52,41.6
2016-10-07,78,52.0,,0.52,40.56
2016-10-08,68,52.0,,0.52,35.36
2016-10-09,74,52.0,,0.52,38.480000000000004
2016-10-10,74,52.0,,0.52,38.480000000000004
2016-10-11,87,52.0,,0.52,45.24
2016-10-12,82,52.0,,0.52,42.64
2016-10-13,81,52.0,,0.52,42.120000000000005
2016-10-14,80,52.0,,0.52,41.6
2016-10-15,70,52.0,,0.52,36.4
2016-10-16,71,52.0,,0.52,36.92
2016-10-17,77,52.0,,0.52,40.04
2016-10-18,86,52.0,,0.52,44.72
2016-10-19,79,52.0,,0.52,41.08
2016-10-20,76,52.0,,0.52,39.52
2016-10-21,70,52.0,,0.52,36.4
2016-10-22,76,52.0,,0.52,39.52
2016-10-23,69,52.0,,0.52,35.88
2016-10-24,92,52.0,,0.52,47.84
2016-10-25,89,52.0,,0.52,46.28
2016-10-26,82,52.0,,0.52,42.64
2016-10-27,84,52.0,,0.52,43.68
2016-10-28,77,52.0,,0.52,40.04
2016-10-29,71,52.0,,0.52,36.92
2016-10-30,75,52.0,,0.52,39.0
2016-10-31,72,52.0,,0.52,37.44
2016-11-01,94,51.0,False,0.51,47.94
2016-11-02,100,51.0,,0.51,51.0
2016-11-03,89,51.0,,0.51,45.39
2016-11-04,83,51.0,,0.51,42.33
2016-11-05,91,51.0,,0.51,46.410000000000004
2016-11-06,78,51.0,,0.51,39.78
2016-11-07,94,51.0,,0.51,47.94
2016-11-08,95,51.0,,0.51,48.45
2016-11-09,78,51.0,,0.51,39.78
2016-11-10,78,51.0,,0.51,39.78
2016-11-11,84,51.0,,0.51,42.84
2016-11-12,89,51.0,,0.51,45.39
2016-11-13,76,51.0,,0.51,38.76
2016-11-14,86,51.0,,0.51,43.86
2016-11-15,96,51.0,,0.51,48.96
2016-11-16,95,51.0,,0.51,48.45
2016-11-17,80,51.0,,0.51,40.8
2016-11-18,90,51.0,,0.51,45.9
2016-11-19,74,51.0,,0.51,37.74
2016-11-20,75,51.0,,0.51,38.25
2016-11-21,83,51.0,,0.51,42.33
2016-11-22,89,51.0,,0.51,45.39
2016-11-23,82,51.0,,0.51,41.82
2016-11-24,59,51.0,,0.51,30.09
2016-11-25,64,51.0,,0.51,32.64
2016-11-26,73,51.0,,0.51,37.230000000000004
2016-11-27,76,51.0,,0.51,38.76
2016-11-28,76,51.0,,0.51,38.76
2016-11-29,89,51.0,,0.51,45.39
2016-11-30,86,51.0,,0.51,43.86
2016-12-01,100,46.0,False,0.46,46.0
2016-12-02,81,46.0,,0.46,37.260000000000005
2016-12-03,90,46.0,,0.46,41.4
2016-12-04,83,46.0,,0.46,38.18
2016-12-05,91,46.0,,0.46,41.86
2016-12-06,95,46.0,,0.46,43.7
2016-12-07,99,46.0,,0.46,45.54
2016-12-08,94,46.0,,0.46,43.24
2016-12-09,87,46.0,,0.46,40.02
2016-12-10,89,46.0,,0.46,40.940000000000005
2016-12-11,72,46.0,,0.46,33.120000000000005
2016-12-12,87,46.0,,0.46,40.02
2016-12-13,90,46.0,,0.46,41.4
2016-12-14,80,46.0,,0.46,36.800000000000004
2016-12-15,85,46.0,,0.46,39.1
2016-12-16,77,46.0,,0.46,35.42
2016-12-17,75,46.0,,0.46,34.5
2016-12-18,73,46.0,,0.46,33.58
2016-12-19,89,46.0,,0.46,40.940000000000005
2016-12-20,83,46.0,,0.46,38.18
2016-12-21,84,46.0,,0.46,38.64
2016-12-22,87,46.0,,0.46,40.02
2016-12-23,69,46.0,,0.46,31.740000000000002
2016-12-24,65,46.0,,0.46,29.900000000000002
2016-12-25,56,46.0,,0.46,25.76
2016-12-26,81,46.0,,0.46,37.260000000000005
2016-12-27,76,46.0,,0.46,34.96
2016-12-28,100,46.0,,0.46,46.0
2016-12-29,98,46.0,,0.46,45.080000000000005
2016-12-30,89,46.0,,0.46,40.940000000000005
2016-12-31,68,46.0,,0.46,31.28
2017-01-01,65,52.0,False,0.52,33.800000000000004
2017-01-02,86,52.0,,0.52,44.72
2017-01-03,84,52.0,,0.52,43.68
2017-01-04,87,52.0,,0.52,45.24
2017-01-05,99,52.0,,0.52,51.480000000000004
2017-01-06,82,52.0,,0.52,42.64
2017-01-07,84,52.0,,0.52,43.68
2017-01-08,82,52.0,,0.52,42.64
2017-01-09,98,52.0,,0.52,50.96
2017-01-10,84,52.0,,0.52,43.68
2017-01-11,89,52.0,,0.52,46.28
2017-01-12,100,52.0,,0.52,52.0
2017-01-13,87,52.0,,0.52,45.24
2017-01-14,85,52.0,,0.52,44.2
2017-01-15,88,52.0,,0.52,45.760000000000005
2017-01-16,87,52.0,,0.52,45.24
2017-01-17,98,52.0,,0.52,50.96
2017-01-18,90,52.0,,0.52,46.800000000000004
2017-01-19,94,52.0,,0.52,48.88
2017-01-20,85,52.0,,0.52,44.2
2017-01-21,82,52.0,,0.52,42.64
2017-01-22,89,52.0,,0.52,46.28
2017-01-23,86,52.0,,0.52,44.72
2017-01-24,93,52.0,,0.52,48.36
2017-01-25,86,52.0,,0.52,44.72
2017-01-26,93,52.0,,0.52,48.36
2017-01-27,86,52.0,,0.52,44.72
2017-01-28,84,52.0,,0.52,43.68
2017-01-29,88,52.0,,0.52,45.760000000000005
2017-01-30,93,52.0,,0.52,48.36
2017-01-31,92,52.0,,0.52,47.84
2017-02-01,91,57.0,False,0.57,51.87
2017-02-02,77,57.0,,0.57,43.88999999999999
2017-02-03,81,57.0,,0.57,46.169999999999995
2017-02-04,87,57.0,,0.57,49.589999999999996
2017-02-05,71,57.0,,0.57,40.47
2017-02-06,77,57.0,,0.57,43.88999999999999
2017-02-07,89,57.0,,0.57,50.73
2017-02-08,85,57.0,,0.57,48.449999999999996
2017-02-09,88,57.0,,0.57,50.16
2017-02-10,80,57.0,,0.57,45.599999999999994
2017-02-11,80,57.0,,0.57,45.599999999999994
2017-02-12,79,57.0,,0.57,45.029999999999994
2017-02-13,89,57.0,,0.57,50.73
2017-02-14,92,57.0,,0.57,52.44
2017-02-15,77,57.0,,0.57,43.88999999999999
2017-02-16,80,57.0,,0.57,45.599999999999994
2017-02-17,81,57.0,,0.57,46.169999999999995
2017-02-18,90,57.0,,0.57,51.3
2017-02-19,89,57.0,,0.57,50.73
2017-02-20,85,57.0,,0.57,48.449999999999996
2017-02-21,98,57.0,,0.57,55.85999999999999
2017-02-22,96,57.0,,0.57,54.72
2017-02-23,97,57.0,,0.57,55.28999999999999
2017-02-24,88,57.0,,0.57,50.16
2017-02-25,95,57.0,,0.57,54.15
2017-02-26,86,57.0,,0.57,49.019999999999996
2017-02-27,100,57.0,,0.57,56.99999999999999
2017-02-28,92,57.0,,0.57,52.44
2017-03-01,93,61.0,False,0.61,56.73
2017-03-02,91,61.0,,0.61,55.51
2017-03-03,84,61.0,,0.61,51.24
2017-03-04,80,61.0,,0.61,48.8
2017-03-05,98,61.0,,0.61,59.78
2017-03-06,87,61.0,,0.61,53.07
2017-03-07,90,61.0,,0.61,54.9
2017-03-08,89,61.0,,0.61,54.29
2017-03-09,93,61.0,,0.61,56.73
2017-03-10,95,61.0,,0.61,57.949999999999996
2017-03-11,89,61.0,,0.61,54.29
2017-03-12,89,61.0,,0.61,54.29
2017-03-13,96,61.0,,0.61,58.56
2017-03-14,91,61.0,,0.61,55.51
2017-03-15,91,61.0,,0.61,55.51
2017-03-16,80,61.0,,0.61,48.8
2017-03-17,85,61.0,,0.61,51.85
2017-03-18,86,61.0,,0.61,52.46
2017-03-19,79,61.0,,0.61,48.19
2017-03-20,95,61.0,,0.61,57.949999999999996
2017-03-21,91,61.0,,0.61,55.51
