date,BIG_unscaled,BIG_monthly,isPartial,scale,BIG
2016-05-01,90,86.0,False,0.86,77.4
2016-05-02,78,86.0,,0.86,67.08
2016-05-03,78,86.0,,0.86,67.08
2016-05-04,75,86.0,,0.86,64.5
2016-05-05,78,86.0,,0.86,67.08
2016-05-06,81,86.0,,0.86,69.66
2016-05-07,90,86.0,,0.86,77.4
2016-05-08,89,86.0,,0.86,76.53999999999999
2016-05-09,79,86.0,,0.86,67.94
2016-05-10,81,86.0,,0.86,69.66
2016-05-11,79,86.0,,0.86,67.94
2016-05-12,81,86.0,,0.86,69.66
2016-05-13,81,86.0,,0.86,69.66
2016-05-14,92,86.0,,0.86,79.12
2016-05-15,93,86.0,,0.86,79.98
2016-05-16,80,86.0,,0.86,68.8
2016-05-17,80,86.0,,0.86,68.8
2016-05-18,79,86.0,,0.86,67.94
2016-05-19,78,86.0,,0.86,67.08
2016-05-20,81,86.0,,0.86,69.66
2016-05-21,95,86.0,,0.86,81.7
2016-05-22,97,86.0,,0.86,83.42
2016-05-23,82,86.0,,0.86,70.52
2016-05-24,78,86.0,,0.86,67.08
2016-05-25,84,86.0,,0.86,72.24
2016-05-26,86,86.0,,0.86,73.96
2016-05-27,88,86.0,,0.86,75.67999999999999
2016-05-28,95,86.0,,0.86,81.7
2016-05-29,100,86.0,,0.86,86.0
2016-05-30,98,86.0,,0.86,84.28
2016-05-31,84,86.0,,0.86,72.24
2016-06-01,81,90.0,False,0.9,72.9
2016-06-02,82,90.0,,0.9,73.8
2016-06-03,82,90.0,,0.9,73.8
2016-06-04,90,90.0,,0.9,81.0
2016-06-05,94,90.0,,0.9,84.60000000000001
2016-06-06,81,90.0,,0.9,72.9
2016-06-07,79,90.0,,0.9,71.10000000000001
2016-06-08,80,90.0,,0.9,72.0
2016-06-09,82,90.0,,0.9,73.8
2016-06-10,83,90.0,,0.9,74.7
2016-06-11,90,90.0,,0.9,81.0
2016-06-12,90,90.0,,0.9,81.0
2016-06-13,77,90.0,,0.9,69.3
2016-06-14,81,90.0,,0.9,72.9
2016-06-15,83,90.0,,0.9,74.7
2016-06-16,82,90.0,,0.9,73.8
2016-06-17,83,90.0,,0.9,74.7
2016-06-18,93,90.0,,0.9,83.7
2016-06-19,96,90.0,,0.9,86.4
2016-06-20,82,90.0,,0.9,73.8
2016-06-21,82,90.0,,0.9,73.8
2016-06-22,87,90.0,,0.9,78.3
2016-06-23,100,90.0,,0.9,90.0
2016-06-24,92,90.0,,0.9,82.8
2016-06-25,98,90.0,,0.9,88.2
2016-06-26,99,90.0,,0.9,89.10000000000001
2016-06-27,90,90.0,,0.9,81.0
2016-06-28,86,90.0,,0.9,77.4
2016-06-29,88,90.0,,0.9,79.2
2016-06-30,92,90.0,,0.9,82.8
2016-07-01,93,93.0,False,0.93,86.49000000000001
2016-07-02,94,93.0,,0.93,87.42
2016-07-03,98,93.0,,0.93,91.14
2016-07-04,100,93.0,,0.93,93.0
2016-07-05,85,93.0,,0.93,79.05
2016-07-06,81,93.0,,0.93,75.33
2016-07-07,85,93.0,,0.93,79.05
2016-07-08,85,93.0,,0.93,79.05
2016-07-09,93,93.0,,0.93,86.49000000000001
2016-07-10,93,93.0,,0.93,86.49000000000001
2016-07-11,84,93.0,,0.93,78.12
2016-07-12,79,93.0,,0.93,73.47
2016-07-13,81,93.0,,0.93,75.33
2016-07-14,81,93.0,,0.93,75.33
2016-07-15,90,93.0,,0.93,83.7
2016-07-16,92,93.0,,0.93,85.56
2016-07-17,94,93.0,,0.93,87.42
2016-07-18,87,93.0,,0.93,80.91000000000001
2016-07-19,80,93.0,,0.93,74.4
2016-07-20,83,93.0,,0.93,77.19
2016-07-21,87,93.0,,0.93,80.91000000000001
2016-07-22,93,93.0,,0.93,86.49000000000001
2016-07-23,100,93.0,,0.93,93.0
2016-07-24,100,93.0,,0.93,93.0
2016-07-25,89,93.0,,0.93,82.77000000000001
2016-07-26,84,93.0,,0.93,78.12
2016-07-27,82,93.0,,0.93,76.26
2016-07-28,87,93.0,,0.93,80.91000000000001
2016-07-29,99,93.0,,0.93,92.07000000000001
2016-07-30,95,93.0,,0.93,88.35000000000001
2016-07-31,96,93.0,,0.93,89.28
2016-08-01,92,87.0,False,0.87,80.04
2016-08-02,85,87.0,,0.87,73.95
2016-08-03,84,87.0,,0.87,73.08
2016-08-04,86,87.0,,0.87,74.82
2016-08-05,98,87.0,,0.87,85.26
2016-08-06,91,87.0,,0.87,79.17
2016-08-07,93,87.0,,0.87,80.91
2016-08-08,80,87.0,,0.87,69.6
2016-08-09,77,87.0,,0.87,66.99
2016-08-10,80,87.0,,0.87,69.6
2016-08-11,82,87.0,,0.87,71.34
2016-08-12,92,87.0,,0.87,80.04
2016-08-13,92,87.0,,0.87,80.04
2016-08-14,94,87.0,,0.87,81.78
2016-08-15,86,87.0,,0.87,74.82
2016-08-16,80,87.0,,0.87,69.6
2016-08-17,80,87.0,,0.87,69.6
2016-08-18,83,87.0,,0.87,72.21
2016-08-19,87,87.0,,0.87,75.69
2016-08-20,97,87.0,,0.87,84.39
2016-08-21,91,87.0,,0.87,79.17
2016-08-22,82,87.0,,0.87,71.34
2016-08-23,78,87.0,,0.87,67.86
2016-08-24,80,87.0,,0.87,69.6
2016-08-25,83,87.0,,0.87,72.21
2016-08-26,100,87.0,,0.87,87.0
2016-08-27,94,87.0,,0.87,81.78
2016-08-28,95,87.0,,0.87,82.65
2016-08-29,84,87.0,,0.87,73.08
2016-08-30,78,87.0,,0.87,67.86
2016-08-31,79,87.0,,0.87,68.73
2016-09-01,80,88.0,False,0.88,70.4
2016-09-02,90,88.0,,0.88,79.2
2016-09-03,98,88.0,,0.88,86.24
2016-09-04,100,88.0,,0.88,88.0
2016-09-05,98,88.0,,0.88,86.24
2016-09-06,78,88.0,,0.88,68.64
2016-09-07,74,88.0,,0.88,65.12
2016-09-08,79,88.0,,0.88,69.52
2016-09-09,89,88.0,,0.88,78.32000000000001
2016-09-10,96,88.0,,0.88,84.48
2016-09-11,88,88.0,,0.88,77.44
2016-09-12,81,88.0,,0.88,71.28
2016-09-13,78,88.0,,0.88,68.64
2016-09-14,84,88.0,,0.88,73.92
2016-09-15,83,88.0,,0.88,73.04
2016-09-16,80,88.0,,0.88,70.4
2016-09-17,99,88.0,,0.88,87.12
2016-09-18,93,88.0,,0.88,81.84
2016-09-19,80,88.0,,0.88,70.4
2016-09-20,82,88.0,,0.88,72.16
2016-09-21,78,88.0,,0.88,68.64
2016-09-22,92,88.0,,0.88,80.96
2016-09-23,79,88.0,,0.88,69.52
2016-09-24,90,88.0,,0.88,79.2
2016-09-25,86,88.0,,0.88,75.68
2016-09-26,76,88.0,,0.88,66.88
2016-09-27,72,88.0,,0.88,63.36
2016-09-28,76,88.0,,0.88,66.88
2016-09-29,74,88.0,,0.88,65.12
2016-09-30,78,88.0,,0.88,68.64
2016-10-01,100,82.0,False,0.82,82.0
2016-10-02,97,82.0,,0.82,79.53999999999999
2016-10-03,80,82.0,,0.82,65.6
2016-10-04,79,82.0,,0.82,64.78
2016-10-05,78,82.0,,0.82,63.959999999999994
2016-10-06,78,82.0,,0.82,63.959999999999994
2016-10-07,81,82.0,,0.82,66.42
2016-10-08,88,82.0,,0.82,72.16
2016-10-09,87,82.0,,0.82,71.33999999999999
2016-10-10,78,82.0,,0.82,63.959999999999994
2016-10-11,77,82.0,,0.82,63.13999999999999
2016-10-12,79,82.0,,0.82,64.78
2016-10-13,77,82.0,,0.82,63.13999999999999
2016-10-14,83,82.0,,0.82,68.06
2016-10-15,95,82.0,,0.82,77.89999999999999
2016-10-16,91,82.0,,0.82,74.61999999999999
2016-10-17,82,82.0,,0.82,67.24
2016-10-18,81,82.0,,0.82,66.42
2016-10-19,79,82.0,,0.82,64.78
2016-10-20,81,82.0,,0.82,66.42
2016-10-21,81,82.0,,0.82,66.42
2016-10-22,94,82.0,,0.82,77.08
2016-10-23,93,82.0,,0.82,76.25999999999999
2016-10-24,78,82.0,,0.82,63.959999999999994
2016-10-25,78,82.0,,0.82,63.959999999999994
2016-10-26,75,82.0,,0.82,61.49999999999999
2016-10-27,78,82.0,,0.82,63.959999999999994
2016-10-28,80,82.0,,0.82,65.6
2016-10-29,92,82.0,,0.82,75.44
2016-10-30,89,82.0,,0.82,72.97999999999999
2016-10-31,77,82.0,,0.82,63.13999999999999
2016-11-01,68,82.0,False,0.82,55.76
2016-11-02,69,82.0,,0.82,56.58
2016-11-03,74,82.0,,0.82,60.68
2016-11-04,74,82.0,,0.82,60.68
2016-11-05,83,82.0,,0.82,68.06
2016-11-06,83,82.0,,0.82,68.06
2016-11-07,67,82.0,,0.82,54.94
2016-11-08,66,82.0,,0.82,54.12
2016-11-09,50,82.0,,0.82,41.0
2016-11-10,69,82.0,,0.82,56.58
2016-11-11,71,82.0,,0.82,58.22
2016-11-12,84,82.0,,0.82,68.88
2016-11-13,89,82.0,,0.82,72.97999999999999
2016-11-14,73,82.0,,0.82,59.86
2016-11-15,73,82.0,,0.82,59.86
2016-11-16,75,82.0,,0.82,61.49999999999999
2016-11-17,74,82.0,,0.82,60.68
2016-11-18,73,82.0,,0.82,59.86
2016-11-19,86,82.0,,0.82,70.52
2016-11-20,87,82.0,,0.82,71.33999999999999
2016-11-21,75,82.0,,0.82,61.49999999999999
2016-11-22,76,82.0,,0.82,62.31999999999999
2016-11-23,79,82.0,,0.82,64.78
2016-11-24,87,82.0,,0.82,71.33999999999999
2016-11-25,91,82.0,,0.82,74.61999999999999
2016-11-26,100,82.0,,0.82,82.0
2016-11-27,99,82.0,,0.82,81.17999999999999
2016-11-28,75,82.0,,0.82,61.49999999999999
