date,NUGT_unscaled,NUGT_monthly,isPartial,scale,NUGT
2016-05-01,15,90.0,False,0.9,13.5
2016-05-02,80,90.0,,0.9,72.0
2016-05-03,50,90.0,,0.9,45.0
2016-05-04,70,90.0,,0.9,63.0
2016-05-05,68,90.0,,0.9,61.2
2016-05-06,76,90.0,,0.9,68.4
2016-05-07,6,90.0,,0.9,5.4
2016-05-08,8,90.0,,0.9,7.2
2016-05-09,60,90.0,,0.9,54.0
2016-05-10,88,90.0,,0.9,79.2
2016-05-11,75,90.0,,0.9,67.5
2016-05-12,68,90.0,,0.9,61.2
2016-05-13,60,90.0,,0.9,54.0
2016-05-14,3,90.0,,0.9,2.7
2016-05-15,3,90.0,,0.9,2.7
2016-05-16,56,90.0,,0.9,50.4
2016-05-17,45,90.0,,0.9,40.5
2016-05-18,69,90.0,,0.9,62.1
2016-05-19,100,90.0,,0.9,90.0
2016-05-20,70,90.0,,0.9,63.0
2016-05-21,20,90.0,,0.9,18.0
2016-05-22,7,90.0,,0.9,6.3
2016-05-23,54,90.0,,0.9,48.6
2016-05-24,67,90.0,,0.9,60.300000000000004
2016-05-25,78,90.0,,0.9,70.2
2016-05-26,64,90.0,,0.9,57.6
2016-05-27,55,90.0,,0.9,49.5
2016-05-28,6,90.0,,0.9,5.4
2016-05-29,6,90.0,,0.9,5.4
2016-05-30,8,90.0,,0.9,7.2
2016-05-31,57,90.0,,0.9,51.300000000000004
2016-06-01,38,98.0,False,0.98,37.24
2016-06-02,29,98.0,,0.98,28.419999999999998
2016-06-03,50,98.0,,0.98,49.0
2016-06-04,12,98.0,,0.98,11.76
2016-06-05,6,98.0,,0.98,5.88
2016-06-06,43,98.0,,0.98,42.14
2016-06-07,27,98.0,,0.98,26.46
2016-06-08,33,98.0,,0.98,32.339999999999996
2016-06-09,45,98.0,,0.98,44.1
2016-06-10,35,98.0,,0.98,34.3
2016-06-11,4,98.0,,0.98,3.92
2016-06-12,3,98.0,,0.98,2.94
2016-06-13,40,98.0,,0.98,39.2
2016-06-14,29,98.0,,0.98,28.419999999999998
2016-06-15,43,98.0,,0.98,42.14
2016-06-16,49,98.0,,0.98,48.019999999999996
2016-06-17,41,98.0,,0.98,40.18
