date,TGT_unscaled,TGT_monthly,isPartial,scale,TGT
2016-05-01,18,80.0,False,0.8,14.4
2016-05-02,26,80.0,,0.8,20.8
2016-05-03,32,80.0,,0.8,25.6
2016-05-04,26,80.0,,0.8,20.8
2016-05-05,28,80.0,,0.8,22.400000000000002
2016-05-06,16,80.0,,0.8,12.8
2016-05-07,15,80.0,,0.8,12.0
2016-05-08,7,80.0,,0.8,5.6000000000000005
2016-05-09,14,80.0,,0.8,11.200000000000001
2016-05-10,19,80.0,,0.8,15.200000000000001
2016-05-11,26,80.0,,0.8,20.8
2016-05-12,31,80.0,,0.8,24.8
2016-05-13,43,80.0,,0.8,34.4
2016-05-14,21,80.0,,0.8,16.8
2016-05-15,13,80.0,,0.8,10.4
2016-05-16,29,80.0,,0.8,23.200000000000003
2016-05-17,38,80.0,,0.8,30.400000000000002
2016-05-18,100,80.0,,0.8,80.0
2016-05-19,66,80.0,,0.8,52.800000000000004
2016-05-20,38,80.0,,0.8,30.400000000000002
2016-05-21,30,80.0,,0.8,24.0
2016-05-22,13,80.0,,0.8,10.4
2016-05-23,44,80.0,,0.8,35.2
2016-05-24,37,80.0,,0.8,29.6
2016-05-25,36,80.0,,0.8,28.8
2016-05-26,33,80.0,,0.8,26.400000000000002
2016-05-27,29,80.0,,0.8,23.200000000000003
2016-05-28,11,80.0,,0.8,8.8
2016-05-29,5,80.0,,0.8,4.0
2016-05-30,23,80.0,,0.8,18.400000000000002
2016-05-31,27,80.0,,0.8,21.6
2016-06-01,77,57.0,False,0.57,43.88999999999999
2016-06-02,100,57.0,,0.57,56.99999999999999
2016-06-03,80,57.0,,0.57,45.599999999999994
2016-06-04,63,57.0,,0.57,35.91
2016-06-05,14,57.0,,0.57,7.9799999999999995
2016-06-06,81,57.0,,0.57,46.169999999999995
2016-06-07,65,57.0,,0.57,37.05
2016-06-08,89,57.0,,0.57,50.73
2016-06-09,55,57.0,,0.57,31.349999999999998
2016-06-10,70,57.0,,0.57,39.9
2016-06-11,32,57.0,,0.57,18.24
2016-06-12,51,57.0,,0.57,29.069999999999997
2016-06-13,77,57.0,,0.57,43.88999999999999
2016-06-14,80,57.0,,0.57,45.599999999999994
2016-06-15,85,57.0,,0.57,48.449999999999996
2016-06-16,67,57.0,,0.57,38.19
2016-06-17,81,57.0,,0.57,46.169999999999995
2016-06-18,14,57.0,,0.57,7.9799999999999995
2016-06-19,29,57.0,,0.57,16.529999999999998
2016-06-20,79,57.0,,0.57,45.029999999999994
2016-06-21,35,57.0,,0.57,19.95
2016-06-22,63,57.0,,0.57,35.91
2016-06-23,43,57.0,,0.57,24.509999999999998
2016-06-24,84,57.0,,0.57,47.879999999999995
2016-06-25,57,57.0,,0.57,32.489999999999995
2016-06-26,43,57.0,,0.57,24.509999999999998
2016-06-27,54,57.0,,0.57,30.779999999999998
2016-06-28,71,57.0,,0.57,40.47
2016-06-29,52,57.0,,0.57,29.639999999999997
2016-06-30,73,57.0,,0.57,41.61
2016-07-01,58,38.0,False,0.38,22.04
2016-07-02,25,38.0,,0.38,9.5
2016-07-03,21,38.0,,0.38,7.98
2016-07-04,51,38.0,,0.38,19.38
2016-07-05,63,38.0,,0.38,23.94
2016-07-06,61,38.0,,0.38,23.18
2016-07-07,61,38.0,,0.38,23.18
2016-07-08,53,38.0,,0.38,20.14
2016-07-09,30,38.0,,0.38,11.4
2016-07-10,46,38.0,,0.38,17.48
2016-07-11,43,38.0,,0.38,16.34
2016-07-12,100,38.0,,0.38,38.0
2016-07-13,80,38.0,,0.38,30.4
2016-07-14,63,38.0,,0.38,23.94
2016-07-15,71,38.0,,0.38,26.98
2016-07-16,36,38.0,,0.38,13.68
2016-07-17,15,38.0,,0.38,5.7
2016-07-18,26,38.0,,0.38,9.88
2016-07-19,43,38.0,,0.38,16.34
2016-07-20,40,38.0,,0.38,15.2
2016-07-21,35,38.0,,0.38,13.3
2016-07-22,27,38.0,,0.38,10.26
2016-07-23,35,38.0,,0.38,13.3
2016-07-24,40,38.0,,0.38,15.2
2016-07-25,64,38.0,,0.38,24.32
2016-07-26,47,38.0,,0.38,17.86
2016-07-27,21,38.0,,0.38,7.98
2016-07-28,51,38.0,,0.38,19.38
2016-07-29,22,38.0,,0.38,8.36
2016-07-30,35,38.0,,0.38,13.3
2016-07-31,30,38.0,,0.38,11.4
2016-08-01,10,49.0,False,0.49,4.9
2016-08-02,16,49.0,,0.49,7.84
2016-08-03,25,49.0,,0.49,12.25
2016-08-04,11,49.0,,0.49,5.39
2016-08-05,24,49.0,,0.49,11.76
2016-08-06,9,49.0,,0.49,4.41
2016-08-07,7,49.0,,0.49,3.4299999999999997
2016-08-08,24,49.0,,0.49,11.76
2016-08-09,20,49.0,,0.49,9.8
2016-08-10,17,49.0,,0.49,8.33
2016-08-11,11,49.0,,0.49,5.39
2016-08-12,11,49.0,,0.49,5.39
2016-08-13,14,49.0,,0.49,6.859999999999999
2016-08-14,4,49.0,,0.49,1.96
2016-08-15,20,49.0,,0.49,9.8
2016-08-16,23,49.0,,0.49,11.27
2016-08-17,100,49.0,,0.49,49.0
2016-08-18,42,49.0,,0.49,20.58
2016-08-19,26,49.0,,0.49,12.74
2016-08-20,2,49.0,,0.49,0.98
2016-08-21,15,49.0,,0.49,7.35
2016-08-22,25,49.0,,0.49,12.25
2016-08-23,19,49.0,,0.49,9.31
2016-08-24,29,49.0,,0.49,14.209999999999999
2016-08-25,23,49.0,,0.49,11.27
2016-08-26,21,49.0,,0.49,10.29
2016-08-27,15,49.0,,0.49,7.35
2016-08-28,10,49.0,,0.49,4.9
2016-08-29,24,49.0,,0.49,11.76
2016-08-30,23,49.0,,0.49,11.27
2016-08-31,10,49.0,,0.49,4.9
2016-09-01,56,42.0,False,0.42,23.52
2016-09-02,58,42.0,,0.42,24.36
2016-09-03,13,42.0,,0.42,5.46
2016-09-04,63,42.0,,0.42,26.459999999999997
2016-09-05,45,42.0,,0.42,18.9
2016-09-06,90,42.0,,0.42,37.8
2016-09-07,71,42.0,,0.42,29.82
2016-09-08,100,42.0,,0.42,42.0
2016-09-09,80,42.0,,0.42,33.6
2016-09-10,60,42.0,,0.42,25.2
2016-09-11,45,42.0,,0.42,18.9
2016-09-12,76,42.0,,0.42,31.919999999999998
2016-09-13,77,42.0,,0.42,32.339999999999996
2016-09-14,78,42.0,,0.42,32.76
2016-09-15,95,42.0,,0.42,39.9
2016-09-16,63,42.0,,0.42,26.459999999999997
2016-09-17,46,42.0,,0.42,19.32
2016-09-18,44,42.0,,0.42,18.48
2016-09-19,65,42.0,,0.42,27.3
2016-09-20,60,42.0,,0.42,25.2
2016-09-21,77,42.0,,0.42,32.339999999999996
2016-09-22,56,42.0,,0.42,23.52
2016-09-23,86,42.0,,0.42,36.12
2016-09-24,67,42.0,,0.42,28.14
2016-09-25,39,42.0,,0.42,16.38
2016-09-26,77,42.0,,0.42,32.339999999999996
2016-09-27,77,42.0,,0.42,32.339999999999996
2016-09-28,83,42.0,,0.42,34.86
2016-09-29,100,42.0,,0.42,42.0
2016-09-30,98,42.0,,0.42,41.16
2016-10-01,50,37.0,False,0.37,18.5
2016-10-02,41,37.0,,0.37,15.17
2016-10-03,80,37.0,,0.37,29.6
2016-10-04,69,37.0,,0.37,25.53
2016-10-05,75,37.0,,0.37,27.75
2016-10-06,87,37.0,,0.37,32.19
2016-10-07,65,37.0,,0.37,24.05
2016-10-08,42,37.0,,0.37,15.54
2016-10-09,62,37.0,,0.37,22.94
2016-10-10,94,37.0,,0.37,34.78
2016-10-11,65,37.0,,0.37,24.05
2016-10-12,59,37.0,,0.37,21.83
2016-10-13,41,37.0,,0.37,15.17
2016-10-14,67,37.0,,0.37,24.79
2016-10-15,36,37.0,,0.37,13.32
2016-10-16,34,37.0,,0.37,12.58
2016-10-17,70,37.0,,0.37,25.9
2016-10-18,87,37.0,,0.37,32.19
2016-10-19,100,37.0,,0.37,37.0
2016-10-20,76,37.0,,0.37,28.12
2016-10-21,66,37.0,,0.37,24.419999999999998
2016-10-22,29,37.0,,0.37,10.73
2016-10-23,42,37.0,,0.37,15.54
2016-10-24,80,37.0,,0.37,29.6
2016-10-25,92,37.0,,0.37,34.04
2016-10-26,57,37.0,,0.37,21.09
2016-10-27,40,37.0,,0.37,14.8
2016-10-28,67,37.0,,0.37,24.79
2016-10-29,92,37.0,,0.37,34.04
2016-10-30,34,37.0,,0.37,12.58
2016-10-31,75,37.0,,0.37,27.75
2016-11-01,8,49.0,False,0.49,3.92
2016-11-02,16,49.0,,0.49,7.84
2016-11-03,20,49.0,,0.49,9.8
2016-11-04,26,49.0,,0.49,12.74
2016-11-05,11,49.0,,0.49,5.39
2016-11-06,12,49.0,,0.49,5.88
2016-11-07,26,49.0,,0.49,12.74
2016-11-08,19,49.0,,0.49,9.31
2016-11-09,25,49.0,,0.49,12.25
2016-11-10,31,49.0,,0.49,15.19
2016-11-11,20,49.0,,0.49,9.8
2016-11-12,7,49.0,,0.49,3.4299999999999997
2016-11-13,16,49.0,,0.49,7.84
2016-11-14,13,49.0,,0.49,6.37
2016-11-15,24,49.0,,0.49,11.76
2016-11-16,100,49.0,,0.49,49.0
