date,VZ_unscaled,VZ_monthly,isPartial,scale,VZ
2016-05-01,51,65.0,False,0.65,33.15
2016-05-02,97,65.0,,0.65,63.050000000000004
2016-05-03,69,65.0,,0.65,44.85
2016-05-04,95,65.0,,0.65,61.75
2016-05-05,80,65.0,,0.65,52.0
2016-05-06,73,65.0,,0.65,47.45
2016-05-07,42,65.0,,0.65,27.3
2016-05-08,45,65.0,,0.65,29.25
2016-05-09,72,65.0,,0.65,46.800000000000004
2016-05-10,79,65.0,,0.65,51.35
2016-05-11,79,65.0,,0.65,51.35
2016-05-12,66,65.0,,0.65,42.9
2016-05-13,86,65.0,,0.65,55.9
2016-05-14,37,65.0,,0.65,24.05
2016-05-15,42,65.0,,0.65,27.3
2016-05-16,57,65.0,,0.65,37.050000000000004
2016-05-17,74,65.0,,0.65,48.1
2016-05-18,73,65.0,,0.65,47.45
2016-05-19,64,65.0,,0.65,41.6
2016-05-20,97,65.0,,0.65,63.050000000000004
2016-05-21,48,65.0,,0.65,31.200000000000003
2016-05-22,52,65.0,,0.65,33.800000000000004
2016-05-23,93,65.0,,0.65,60.45
2016-05-24,89,65.0,,0.65,57.85
2016-05-25,100,65.0,,0.65,65.0
2016-05-26,85,65.0,,0.65,55.25
2016-05-27,91,65.0,,0.65,59.15
2016-05-28,52,65.0,,0.65,33.800000000000004
2016-05-29,32,65.0,,0.65,20.8
2016-05-30,49,65.0,,0.65,31.85
2016-05-31,75,65.0,,0.65,48.75
2016-06-01,57,68.0,False,0.68,38.760000000000005
2016-06-02,42,68.0,,0.68,28.560000000000002
2016-06-03,67,68.0,,0.68,45.56
2016-06-04,29,68.0,,0.68,19.720000000000002
2016-06-05,37,68.0,,0.68,25.16
2016-06-06,48,68.0,,0.68,32.64
2016-06-07,65,68.0,,0.68,44.2
2016-06-08,73,68.0,,0.68,49.64
2016-06-09,70,68.0,,0.68,47.6
2016-06-10,69,68.0,,0.68,46.92
2016-06-11,51,68.0,,0.68,34.68
2016-06-12,38,68.0,,0.68,25.840000000000003
2016-06-13,47,68.0,,0.68,31.96
2016-06-14,64,68.0,,0.68,43.52
2016-06-15,65,68.0,,0.68,44.2
2016-06-16,55,68.0,,0.68,37.400000000000006
2016-06-17,61,68.0,,0.68,41.480000000000004
2016-06-18,45,68.0,,0.68,30.6
2016-06-19,38,68.0,,0.68,25.840000000000003
2016-06-20,56,68.0,,0.68,38.080000000000005
2016-06-21,74,68.0,,0.68,50.32
2016-06-22,73,68.0,,0.68,49.64
2016-06-23,58,68.0,,0.68,39.440000000000005
2016-06-24,100,68.0,,0.68,68.0
2016-06-25,43,68.0,,0.68,29.240000000000002
2016-06-26,36,68.0,,0.68,24.48
2016-06-27,99,68.0,,0.68,67.32000000000001
2016-06-28,77,68.0,,0.68,52.36000000000001
2016-06-29,81,68.0,,0.68,55.080000000000005
2016-06-30,50,68.0,,0.68,34.0
2016-07-01,33,74.0,False,0.74,24.419999999999998
2016-07-02,19,74.0,,0.74,14.06
2016-07-03,18,74.0,,0.74,13.32
2016-07-04,14,74.0,,0.74,10.36
2016-07-05,42,74.0,,0.74,31.08
2016-07-06,56,74.0,,0.74,41.44
2016-07-07,43,74.0,,0.74,31.82
2016-07-08,46,74.0,,0.74,34.04
2016-07-09,23,74.0,,0.74,17.02
2016-07-10,17,74.0,,0.74,12.58
2016-07-11,50,74.0,,0.74,37.0
2016-07-12,36,74.0,,0.74,26.64
2016-07-13,36,74.0,,0.74,26.64
2016-07-14,48,74.0,,0.74,35.519999999999996
2016-07-15,29,74.0,,0.74,21.46
2016-07-16,17,74.0,,0.74,12.58
2016-07-17,18,74.0,,0.74,13.32
2016-07-18,30,74.0,,0.74,22.2
2016-07-19,39,74.0,,0.74,28.86
2016-07-20,41,74.0,,0.74,30.34
2016-07-21,35,74.0,,0.74,25.9
2016-07-22,36,74.0,,0.74,26.64
2016-07-23,39,74.0,,0.74,28.86
2016-07-24,37,74.0,,0.74,27.38
2016-07-25,100,74.0,,0.74,74.0
2016-07-26,68,74.0,,0.74,50.32
2016-07-27,44,74.0,,0.74,32.56
2016-07-28,43,74.0,,0.74,31.82
2016-07-29,42,74.0,,0.74,31.08
2016-07-30,22,74.0,,0.74,16.28
2016-07-31,19,74.0,,0.74,14.06
