date,OIL_unscaled,OIL_monthly,isPartial,scale,OIL
2016-05-01,94,79.0,False,0.79,74.26
2016-05-02,91,79.0,,0.79,71.89
2016-05-03,91,79.0,,0.79,71.89
2016-05-04,88,79.0,,0.79,69.52000000000001
2016-05-05,93,79.0,,0.79,73.47
2016-05-06,87,79.0,,0.79,68.73
2016-05-07,93,79.0,,0.79,73.47
2016-05-08,88,79.0,,0.79,69.52000000000001
2016-05-09,91,79.0,,0.79,71.89
2016-05-10,88,79.0,,0.79,69.52000000000001
2016-05-11,91,79.0,,0.79,71.89
2016-05-12,93,79.0,,0.79,73.47
2016-05-13,91,79.0,,0.79,71.89
2016-05-14,96,79.0,,0.79,75.84
2016-05-15,100,79.0,,0.79,79.0
2016-05-16,98,79.0,,0.79,77.42
2016-05-17,94,79.0,,0.79,74.26
2016-05-18,92,79.0,,0.79,72.68
2016-05-19,91,79.0,,0.79,71.89
2016-05-20,92,79.0,,0.79,72.68
2016-05-21,99,79.0,,0.79,78.21000000000001
2016-05-22,95,79.0,,0.79,75.05
2016-05-23,91,79.0,,0.79,71.89
2016-05-24,93,79.0,,0.79,73.47
2016-05-25,92,79.0,,0.79,72.68
2016-05-26,93,79.0,,0.79,73.47
2016-05-27,93,79.0,,0.79,73.47
2016-05-28,94,79.0,,0.79,74.26
2016-05-29,90,79.0,,0.79,71.10000000000001
2016-05-30,90,79.0,,0.79,71.10000000000001
2016-05-31,90,79.0,,0.79,71.10000000000001
2016-06-01,96,72.0,False,0.72,69.12
2016-06-02,93,72.0,,0.72,66.96
2016-06-03,95,72.0,,0.72,68.39999999999999
2016-06-04,100,72.0,,0.72,72.0
2016-06-05,96,72.0,,0.72,69.12
2016-06-06,97,72.0,,0.72,69.84
2016-06-07,98,72.0,,0.72,70.56
2016-06-08,94,72.0,,0.72,67.67999999999999
2016-06-09,96,72.0,,0.72,69.12
2016-06-10,96,72.0,,0.72,69.12
2016-06-11,99,72.0,,0.72,71.28
2016-06-12,91,72.0,,0.72,65.52
2016-06-13,96,72.0,,0.72,69.12
2016-06-14,87,72.0,,0.72,62.64
2016-06-15,94,72.0,,0.72,67.67999999999999
2016-06-16,91,72.0,,0.72,65.52
2016-06-17,91,72.0,,0.72,65.52
2016-06-18,98,72.0,,0.72,70.56
2016-06-19,89,72.0,,0.72,64.08
2016-06-20,91,72.0,,0.72,65.52
2016-06-21,98,72.0,,0.72,70.56
2016-06-22,95,72.0,,0.72,68.39999999999999
2016-06-23,92,72.0,,0.72,66.24
2016-06-24,99,72.0,,0.72,71.28
2016-06-25,99,72.0,,0.72,71.28
2016-06-26,97,72.0,,0.72,69.84
2016-06-27,94,72.0,,0.72,67.67999999999999
2016-06-28,94,72.0,,0.72,67.67999999999999
2016-06-29,97,72.0,,0.72,69.84
2016-06-30,94,72.0,,0.72,67.67999999999999
