date,HLNE_unscaled,HLNE_monthly,isPartial,scale,HLNE
2016-08-01,0,5.0,False,0.05,0.0
2016-08-02,0,5.0,,0.05,0.0
2016-08-03,0,5.0,,0.05,0.0
2016-08-04,0,5.0,,0.05,0.0
2016-08-05,0,5.0,,0.05,0.0
2016-08-06,0,5.0,,0.05,0.0
2016-08-07,0,5.0,,0.05,0.0
2016-08-08,0,5.0,,0.05,0.0
2016-08-09,0,5.0,,0.05,0.0
2016-08-10,95,5.0,,0.05,4.75
2016-08-11,0,5.0,,0.05,0.0
2016-08-12,0,5.0,,0.05,0.0
2016-08-13,0,5.0,,0.05,0.0
2016-08-14,0,5.0,,0.05,0.0
2016-08-15,0,5.0,,0.05,0.0
2016-08-16,0,5.0,,0.05,0.0
2016-08-17,0,5.0,,0.05,0.0
2016-08-18,0,5.0,,0.05,0.0
2016-08-19,100,5.0,,0.05,5.0
2016-08-20,0,5.0,,0.05,0.0
2016-08-21,0,5.0,,0.05,0.0
2016-08-22,0,5.0,,0.05,0.0
2016-08-23,0,5.0,,0.05,0.0
2016-08-24,0,5.0,,0.05,0.0
2016-08-25,0,5.0,,0.05,0.0
2016-08-26,0,5.0,,0.05,0.0
2016-08-27,0,5.0,,0.05,0.0
2016-08-28,0,5.0,,0.05,0.0
2016-08-29,0,5.0,,0.05,0.0
2016-08-30,0,5.0,,0.05,0.0
2016-08-31,0,5.0,,0.05,0.0
2016-09-01,0,3.0,False,0.03,0.0
2016-09-02,0,3.0,,0.03,0.0
2016-09-03,100,3.0,,0.03,3.0
2016-09-04,0,3.0,,0.03,0.0
2016-09-05,0,3.0,,0.03,0.0
2016-09-06,0,3.0,,0.03,0.0
2016-09-07,0,3.0,,0.03,0.0
2016-09-08,0,3.0,,0.03,0.0
2016-09-09,0,3.0,,0.03,0.0
2016-09-10,0,3.0,,0.03,0.0
2016-09-11,0,3.0,,0.03,0.0
2016-09-12,0,3.0,,0.03,0.0
2016-09-13,0,3.0,,0.03,0.0
2016-09-14,0,3.0,,0.03,0.0
2016-09-15,0,3.0,,0.03,0.0
2016-09-16,0,3.0,,0.03,0.0
2016-09-17,0,3.0,,0.03,0.0
2016-09-18,0,3.0,,0.03,0.0
2016-09-19,0,3.0,,0.03,0.0
2016-09-20,0,3.0,,0.03,0.0
2016-09-21,0,3.0,,0.03,0.0
2016-09-22,0,3.0,,0.03,0.0
2016-09-23,0,3.0,,0.03,0.0
2016-09-24,0,3.0,,0.03,0.0
2016-09-25,0,3.0,,0.03,0.0
2016-09-26,0,3.0,,0.03,0.0
2016-09-27,0,3.0,,0.03,0.0
2016-09-28,0,3.0,,0.03,0.0
2016-09-29,0,3.0,,0.03,0.0
2016-09-30,0,3.0,,0.03,0.0
2016-11-01,0,3.0,False,0.03,0.0
2016-11-02,0,3.0,,0.03,0.0
2016-11-03,0,3.0,,0.03,0.0
2016-11-04,0,3.0,,0.03,0.0
2016-11-05,0,3.0,,0.03,0.0
2016-11-06,0,3.0,,0.03,0.0
2016-11-07,0,3.0,,0.03,0.0
2016-11-08,0,3.0,,0.03,0.0
2016-11-09,0,3.0,,0.03,0.0
2016-11-10,0,3.0,,0.03,0.0
2016-11-11,0,3.0,,0.03,0.0
2016-11-12,0,3.0,,0.03,0.0
2016-11-13,0,3.0,,0.03,0.0
2016-11-14,0,3.0,,0.03,0.0
2016-11-15,0,3.0,,0.03,0.0
2016-11-16,0,3.0,,0.03,0.0
2016-11-17,0,3.0,,0.03,0.0
2016-11-18,0,3.0,,0.03,0.0
2016-11-19,0,3.0,,0.03,0.0
2016-11-20,0,3.0,,0.03,0.0
2016-11-21,0,3.0,,0.03,0.0
