date,INTC_unscaled,INTC_monthly,isPartial,scale,INTC
2016-09-13,31,33.0,,0.33,10.23
2016-09-14,44,33.0,,0.33,14.520000000000001
2016-09-15,48,33.0,,0.33,15.84
2016-09-16,100,33.0,,0.33,33.0
2016-09-17,17,33.0,,0.33,5.61
2016-09-18,12,33.0,,0.33,3.96
2016-09-19,51,33.0,,0.33,16.830000000000002
2016-09-20,50,33.0,,0.33,16.5
2016-09-21,36,33.0,,0.33,11.88
2016-09-22,44,33.0,,0.33,14.520000000000001
2016-09-23,38,33.0,,0.33,12.540000000000001
2016-09-24,17,33.0,,0.33,5.61
2016-09-25,9,33.0,,0.33,2.97
2016-09-26,24,33.0,,0.33,7.92
2016-09-27,41,33.0,,0.33,13.530000000000001
2016-09-28,35,33.0,,0.33,11.55
2016-09-29,26,33.0,,0.33,8.58
2016-09-30,41,33.0,,0.33,13.530000000000001
2016-10-01,3,35.0,False,0.35,1.0499999999999998
2016-10-02,4,35.0,,0.35,1.4
2016-10-03,26,35.0,,0.35,9.1
2016-10-04,20,35.0,,0.35,7.0
2016-10-05,26,35.0,,0.35,9.1
2016-10-06,26,35.0,,0.35,9.1
2016-10-07,24,35.0,,0.35,8.399999999999999
2016-10-08,4,35.0,,0.35,1.4
2016-10-09,8,35.0,,0.35,2.8
2016-10-10,26,35.0,,0.35,9.1
2016-10-11,27,35.0,,0.35,9.45
2016-10-12,29,35.0,,0.35,10.149999999999999
2016-10-13,24,35.0,,0.35,8.399999999999999
2016-10-14,27,35.0,,0.35,9.45
2016-10-15,7,35.0,,0.35,2.4499999999999997
2016-10-16,4,35.0,,0.35,1.4
2016-10-17,29,35.0,,0.35,10.149999999999999
2016-10-18,100,35.0,,0.35,35.0
2016-10-19,92,35.0,,0.35,32.199999999999996
2016-10-20,47,35.0,,0.35,16.45
2016-10-21,38,35.0,,0.35,13.299999999999999
2016-10-22,11,35.0,,0.35,3.8499999999999996
2016-10-23,10,35.0,,0.35,3.5
2016-10-24,24,35.0,,0.35,8.399999999999999
2016-10-25,34,35.0,,0.35,11.899999999999999
2016-10-26,32,35.0,,0.35,11.2
2016-10-27,27,35.0,,0.35,9.45
2016-10-28,29,35.0,,0.35,10.149999999999999
2016-10-29,10,35.0,,0.35,3.5
2016-10-30,6,35.0,,0.35,2.0999999999999996
2016-10-31,11,35.0,,0.35,3.8499999999999996
2016-11-01,48,26.0,False,0.26,12.48
2016-11-02,50,26.0,,0.26,13.0
2016-11-03,35,26.0,,0.26,9.1
2016-11-04,57,26.0,,0.26,14.82
2016-11-05,3,26.0,,0.26,0.78
2016-11-06,12,26.0,,0.26,3.12
2016-11-07,78,26.0,,0.26,20.28
2016-11-08,42,26.0,,0.26,10.92
2016-11-09,100,26.0,,0.26,26.0
2016-11-10,56,26.0,,0.26,14.56
2016-11-11,51,26.0,,0.26,13.26
2016-11-12,16,26.0,,0.26,4.16
2016-11-13,10,26.0,,0.26,2.6
2016-11-14,47,26.0,,0.26,12.22
2016-11-15,50,26.0,,0.26,13.0
2016-11-16,61,26.0,,0.26,15.860000000000001
2016-11-17,62,26.0,,0.26,16.12
2016-11-18,48,26.0,,0.26,12.48
2016-11-19,33,26.0,,0.26,8.58
2016-11-20,15,26.0,,0.26,3.9000000000000004
2016-11-21,57,26.0,,0.26,14.82
2016-11-22,64,26.0,,0.26,16.64
2016-11-23,34,26.0,,0.26,8.84
2016-11-24,20,26.0,,0.26,5.2
2016-11-25,33,26.0,,0.26,8.58
2016-11-26,5,26.0,,0.26,1.3
2016-11-27,15,26.0,,0.26,3.9000000000000004
2016-11-28,46,26.0,,0.26,11.96
2016-11-29,55,26.0,,0.26,14.3
2016-11-30,52,26.0,,0.26,13.52
2016-12-01,56,26.0,False,0.26,14.56
2016-12-02,48,26.0,,0.26,12.48
2016-12-03,10,26.0,,0.26,2.6
2016-12-04,14,26.0,,0.26,3.64
2016-12-05,59,26.0,,0.26,15.34
2016-12-06,50,26.0,,0.26,13.0
2016-12-07,45,26.0,,0.26,11.700000000000001
2016-12-08,51,26.0,,0.26,13.26
2016-12-09,45,26.0,,0.26,11.700000000000001
2016-12-10,31,26.0,,0.26,8.06
2016-12-11,24,26.0,,0.26,6.24
2016-12-12,53,26.0,,0.26,13.780000000000001
2016-12-13,100,26.0,,0.26,26.0
2016-12-14,59,26.0,,0.26,15.34
2016-12-15,61,26.0,,0.26,15.860000000000001
2016-12-16,63,26.0,,0.26,16.38
2016-12-17,22,26.0,,0.26,5.720000000000001
