date,TTD_unscaled,TTD_monthly,isPartial,scale,TTD
2016-05-01,28,17.0,False,0.17,4.760000000000001
2016-05-02,28,17.0,,0.17,4.760000000000001
2016-05-03,47,17.0,,0.17,7.99
2016-05-04,42,17.0,,0.17,7.140000000000001
2016-05-05,48,17.0,,0.17,8.16
2016-05-06,100,17.0,,0.17,17.0
2016-05-07,41,17.0,,0.17,6.970000000000001
2016-05-08,35,17.0,,0.17,5.95
2016-05-09,53,17.0,,0.17,9.01
2016-05-10,47,17.0,,0.17,7.99
2016-05-11,29,17.0,,0.17,4.930000000000001
2016-05-12,64,17.0,,0.17,10.88
2016-05-13,55,17.0,,0.17,9.350000000000001
2016-05-14,29,17.0,,0.17,4.930000000000001
2016-05-15,30,17.0,,0.17,5.1000000000000005
2016-05-16,49,17.0,,0.17,8.33
2016-05-17,57,17.0,,0.17,9.690000000000001
2016-05-18,62,17.0,,0.17,10.540000000000001
2016-05-19,44,17.0,,0.17,7.48
2016-05-20,30,17.0,,0.17,5.1000000000000005
2016-05-21,24,17.0,,0.17,4.08
2016-05-22,18,17.0,,0.17,3.06
2016-05-23,10,17.0,,0.17,1.7000000000000002
2016-05-24,39,17.0,,0.17,6.630000000000001
2016-05-25,74,17.0,,0.17,12.58
2016-05-26,15,17.0,,0.17,2.5500000000000003
2016-05-27,31,17.0,,0.17,5.2700000000000005
2016-05-28,18,17.0,,0.17,3.06
2016-05-29,43,17.0,,0.17,7.3100000000000005
2016-05-30,40,17.0,,0.17,6.800000000000001
2016-05-31,45,17.0,,0.17,7.65
2016-06-01,78,18.0,False,0.18,14.04
2016-06-02,41,18.0,,0.18,7.38
2016-06-03,100,18.0,,0.18,18.0
2016-06-04,27,18.0,,0.18,4.859999999999999
2016-06-05,32,18.0,,0.18,5.76
2016-06-06,60,18.0,,0.18,10.799999999999999
2016-06-07,55,18.0,,0.18,9.9
2016-06-08,32,18.0,,0.18,5.76
2016-06-09,52,18.0,,0.18,9.36
2016-06-10,68,18.0,,0.18,12.24
2016-06-11,11,18.0,,0.18,1.98
2016-06-12,11,18.0,,0.18,1.98
2016-06-13,23,18.0,,0.18,4.14
2016-06-14,50,18.0,,0.18,9.0
2016-06-15,19,18.0,,0.18,3.42
2016-06-16,33,18.0,,0.18,5.9399999999999995
2016-06-17,39,18.0,,0.18,7.02
2016-06-18,63,18.0,,0.18,11.34
2016-06-19,29,18.0,,0.18,5.22
2016-06-20,33,18.0,,0.18,5.9399999999999995
2016-06-21,38,18.0,,0.18,6.84
2016-06-22,52,18.0,,0.18,9.36
2016-06-23,9,18.0,,0.18,1.6199999999999999
2016-06-24,29,18.0,,0.18,5.22
2016-06-25,28,18.0,,0.18,5.04
2016-06-26,28,18.0,,0.18,5.04
2016-06-27,51,18.0,,0.18,9.18
2016-06-28,52,18.0,,0.18,9.36
2016-06-29,48,18.0,,0.18,8.64
2016-06-30,58,18.0,,0.18,10.44
2016-07-01,85,17.0,False,0.17,14.450000000000001
2016-07-02,89,17.0,,0.17,15.13
2016-07-03,17,17.0,,0.17,2.89
2016-07-04,73,17.0,,0.17,12.41
2016-07-05,58,17.0,,0.17,9.860000000000001
2016-07-06,48,17.0,,0.17,8.16
2016-07-07,96,17.0,,0.17,16.32
2016-07-08,56,17.0,,0.17,9.520000000000001
2016-07-09,72,17.0,,0.17,12.24
2016-07-10,40,17.0,,0.17,6.800000000000001
2016-07-11,55,17.0,,0.17,9.350000000000001
2016-07-12,83,17.0,,0.17,14.110000000000001
2016-07-13,28,17.0,,0.17,4.760000000000001
2016-07-14,100,17.0,,0.17,17.0
2016-07-15,42,17.0,,0.17,7.140000000000001
2016-07-16,40,17.0,,0.17,6.800000000000001
2016-07-17,49,17.0,,0.17,8.33
2016-07-18,83,17.0,,0.17,14.110000000000001
2016-07-19,82,17.0,,0.17,13.940000000000001
2016-07-20,21,17.0,,0.17,3.5700000000000003
2016-07-21,78,17.0,,0.17,13.260000000000002
2016-07-22,29,17.0,,0.17,4.930000000000001
2016-07-23,64,17.0,,0.17,10.88
2016-07-24,40,17.0,,0.17,6.800000000000001
2016-07-25,95,17.0,,0.17,16.150000000000002
2016-07-26,82,17.0,,0.17,13.940000000000001
