date,BNY_unscaled,BNY_monthly,isPartial,scale,BNY
2016-05-01,18,75.0,False,0.75,13.5
2016-05-02,80,75.0,,0.75,60.0
2016-05-03,86,75.0,,0.75,64.5
2016-05-04,65,75.0,,0.75,48.75
2016-05-05,83,75.0,,0.75,62.25
2016-05-06,73,75.0,,0.75,54.75
2016-05-07,15,75.0,,0.75,11.25
2016-05-08,30,75.0,,0.75,22.5
2016-05-09,67,75.0,,0.75,50.25
2016-05-10,86,75.0,,0.75,64.5
2016-05-11,45,75.0,,0.75,33.75
2016-05-12,90,75.0,,0.75,67.5
2016-05-13,67,75.0,,0.75,50.25
2016-05-14,41,75.0,,0.75,30.75
2016-05-15,41,75.0,,0.75,30.75
2016-05-16,80,75.0,,0.75,60.0
2016-05-17,87,75.0,,0.75,65.25
2016-05-18,85,75.0,,0.75,63.75
2016-05-19,84,75.0,,0.75,63.0
2016-05-20,100,75.0,,0.75,75.0
2016-05-21,34,75.0,,0.75,25.5
2016-05-22,33,75.0,,0.75,24.75
2016-05-23,87,75.0,,0.75,65.25
2016-05-24,89,75.0,,0.75,66.75
2016-05-25,72,75.0,,0.75,54.0
2016-05-26,93,75.0,,0.75,69.75
2016-05-27,86,75.0,,0.75,64.5
2016-05-28,15,75.0,,0.75,11.25
2016-05-29,32,75.0,,0.75,24.0
2016-05-30,18,75.0,,0.75,13.5
2016-05-31,28,75.0,,0.75,21.0
2016-06-01,100,83.0,False,0.83,83.0
2016-06-02,51,83.0,,0.83,42.33
2016-06-03,53,83.0,,0.83,43.989999999999995
2016-06-04,32,83.0,,0.83,26.56
2016-06-05,25,83.0,,0.83,20.75
2016-06-06,86,83.0,,0.83,71.38
2016-06-07,86,83.0,,0.83,71.38
2016-06-08,76,83.0,,0.83,63.08
2016-06-09,72,83.0,,0.83,59.76
2016-06-10,54,83.0,,0.83,44.82
2016-06-11,16,83.0,,0.83,13.28
2016-06-12,10,83.0,,0.83,8.299999999999999
2016-06-13,54,83.0,,0.83,44.82
