date,FREE_unscaled,FREE_monthly,isPartial,scale,FREE
2016-05-01,99,94.0,False,0.94,93.05999999999999
2016-05-02,88,94.0,,0.94,82.72
2016-05-03,87,94.0,,0.94,81.78
2016-05-04,84,94.0,,0.94,78.96
2016-05-05,85,94.0,,0.94,79.89999999999999
2016-05-06,84,94.0,,0.94,78.96
2016-05-07,95,94.0,,0.94,89.3
2016-05-08,97,94.0,,0.94,91.17999999999999
2016-05-09,83,94.0,,0.94,78.02
2016-05-10,84,94.0,,0.94,78.96
2016-05-11,84,94.0,,0.94,78.96
2016-05-12,85,94.0,,0.94,79.89999999999999
2016-05-13,85,94.0,,0.94,79.89999999999999
2016-05-14,92,94.0,,0.94,86.47999999999999
2016-05-15,100,94.0,,0.94,94.0
2016-05-16,87,94.0,,0.94,81.78
2016-05-17,87,94.0,,0.94,81.78
2016-05-18,85,94.0,,0.94,79.89999999999999
2016-05-19,83,94.0,,0.94,78.02
2016-05-20,83,94.0,,0.94,78.02
2016-05-21,91,94.0,,0.94,85.53999999999999
2016-05-22,93,94.0,,0.94,87.42
2016-05-23,84,94.0,,0.94,78.96
2016-05-24,85,94.0,,0.94,79.89999999999999
2016-05-25,82,94.0,,0.94,77.08
2016-05-26,83,94.0,,0.94,78.02
2016-05-27,87,94.0,,0.94,81.78
2016-05-28,91,94.0,,0.94,85.53999999999999
2016-05-29,94,94.0,,0.94,88.36
2016-05-30,94,94.0,,0.94,88.36
2016-05-31,87,94.0,,0.94,81.78
2016-06-01,88,94.0,False,0.94,82.72
2016-06-02,85,94.0,,0.94,79.89999999999999
2016-06-03,91,94.0,,0.94,85.53999999999999
2016-06-04,94,94.0,,0.94,88.36
2016-06-05,95,94.0,,0.94,89.3
2016-06-06,88,94.0,,0.94,82.72
2016-06-07,85,94.0,,0.94,79.89999999999999
2016-06-08,85,94.0,,0.94,79.89999999999999
2016-06-09,89,94.0,,0.94,83.66
2016-06-10,88,94.0,,0.94,82.72
2016-06-11,93,94.0,,0.94,87.42
2016-06-12,90,94.0,,0.94,84.6
2016-06-13,83,94.0,,0.94,78.02
2016-06-14,87,94.0,,0.94,81.78
2016-06-15,84,94.0,,0.94,78.96
2016-06-16,87,94.0,,0.94,81.78
2016-06-17,85,94.0,,0.94,79.89999999999999
2016-06-18,93,94.0,,0.94,87.42
2016-06-19,93,94.0,,0.94,87.42
2016-06-20,90,94.0,,0.94,84.6
2016-06-21,93,94.0,,0.94,87.42
2016-06-22,93,94.0,,0.94,87.42
2016-06-23,91,94.0,,0.94,85.53999999999999
2016-06-24,90,94.0,,0.94,84.6
2016-06-25,100,94.0,,0.94,94.0
2016-06-26,99,94.0,,0.94,93.05999999999999
2016-06-27,91,94.0,,0.94,85.53999999999999
2016-06-28,91,94.0,,0.94,85.53999999999999
2016-06-29,95,94.0,,0.94,89.3
2016-06-30,92,94.0,,0.94,86.47999999999999
2016-07-01,96,100.0,False,1.0,96.0
2016-07-02,99,100.0,,1.0,99.0
2016-07-03,100,100.0,,1.0,100.0
2016-07-04,100,100.0,,1.0,100.0
2016-07-05,90,100.0,,1.0,90.0
2016-07-06,89,100.0,,1.0,89.0
