date,GT_unscaled,GT_monthly,isPartial,scale,GT
2016-05-01,94,90.0,False,0.9,84.60000000000001
2016-05-02,81,90.0,,0.9,72.9
2016-05-03,83,90.0,,0.9,74.7
2016-05-04,79,90.0,,0.9,71.10000000000001
2016-05-05,79,90.0,,0.9,71.10000000000001
2016-05-06,89,90.0,,0.9,80.10000000000001
2016-05-07,100,90.0,,0.9,90.0
2016-05-08,96,90.0,,0.9,86.4
2016-05-09,90,90.0,,0.9,81.0
2016-05-10,85,90.0,,0.9,76.5
2016-05-11,84,90.0,,0.9,75.60000000000001
2016-05-12,83,90.0,,0.9,74.7
2016-05-13,87,90.0,,0.9,78.3
2016-05-14,99,90.0,,0.9,89.10000000000001
2016-05-15,97,90.0,,0.9,87.3
2016-05-16,90,90.0,,0.9,81.0
2016-05-17,88,90.0,,0.9,79.2
2016-05-18,85,90.0,,0.9,76.5
2016-05-19,91,90.0,,0.9,81.9
2016-05-20,91,90.0,,0.9,81.9
2016-05-21,97,90.0,,0.9,87.3
2016-05-22,96,90.0,,0.9,86.4
2016-05-23,83,90.0,,0.9,74.7
2016-05-24,94,90.0,,0.9,84.60000000000001
2016-05-25,83,90.0,,0.9,74.7
2016-05-26,84,90.0,,0.9,75.60000000000001
2016-05-27,88,90.0,,0.9,79.2
2016-05-28,100,90.0,,0.9,90.0
2016-05-29,94,90.0,,0.9,84.60000000000001
2016-05-30,95,90.0,,0.9,85.5
2016-05-31,87,90.0,,0.9,78.3
2016-06-01,69,85.0,False,0.85,58.65
2016-06-02,69,85.0,,0.85,58.65
2016-06-03,73,85.0,,0.85,62.05
2016-06-04,82,85.0,,0.85,69.7
2016-06-05,82,85.0,,0.85,69.7
2016-06-06,72,85.0,,0.85,61.199999999999996
2016-06-07,73,85.0,,0.85,62.05
2016-06-08,73,85.0,,0.85,62.05
2016-06-09,75,85.0,,0.85,63.75
2016-06-10,74,85.0,,0.85,62.9
2016-06-11,75,85.0,,0.85,63.75
2016-06-12,82,85.0,,0.85,69.7
2016-06-13,74,85.0,,0.85,62.9
2016-06-14,73,85.0,,0.85,62.05
