date,SA_unscaled,SA_monthly,isPartial,scale,SA
2016-05-01,90,87.0,False,0.87,78.3
2016-05-02,87,87.0,,0.87,75.69
2016-05-03,91,87.0,,0.87,79.17
2016-05-04,95,87.0,,0.87,82.65
2016-05-05,98,87.0,,0.87,85.26
2016-05-06,90,87.0,,0.87,78.3
2016-05-07,87,87.0,,0.87,75.69
2016-05-08,80,87.0,,0.87,69.6
2016-05-09,100,87.0,,0.87,87.0
2016-05-10,85,87.0,,0.87,73.95
2016-05-11,96,87.0,,0.87,83.52
2016-05-12,89,87.0,,0.87,77.42999999999999
2016-05-13,86,87.0,,0.87,74.82
2016-05-14,79,87.0,,0.87,68.73
2016-05-15,85,87.0,,0.87,73.95
2016-05-16,92,87.0,,0.87,80.04
2016-05-17,83,87.0,,0.87,72.21
2016-05-18,84,87.0,,0.87,73.08
2016-05-19,91,87.0,,0.87,79.17
2016-05-20,73,87.0,,0.87,63.51
2016-05-21,83,87.0,,0.87,72.21
2016-05-22,75,87.0,,0.87,65.25
2016-05-23,92,87.0,,0.87,80.04
2016-05-24,83,87.0,,0.87,72.21
2016-05-25,90,87.0,,0.87,78.3
2016-05-26,86,87.0,,0.87,74.82
2016-05-27,84,87.0,,0.87,73.08
2016-05-28,87,87.0,,0.87,75.69
2016-05-29,84,87.0,,0.87,73.08
2016-05-30,81,87.0,,0.87,70.47
2016-05-31,88,87.0,,0.87,76.56
2016-06-01,92,84.0,False,0.84,77.28
2016-06-02,86,84.0,,0.84,72.24
2016-06-03,85,84.0,,0.84,71.39999999999999
2016-06-04,89,84.0,,0.84,74.75999999999999
2016-06-05,80,84.0,,0.84,67.2
2016-06-06,87,84.0,,0.84,73.08
2016-06-07,88,84.0,,0.84,73.92
2016-06-08,91,84.0,,0.84,76.44
2016-06-09,86,84.0,,0.84,72.24
2016-06-10,84,84.0,,0.84,70.56
2016-06-11,80,84.0,,0.84,67.2
2016-06-12,93,84.0,,0.84,78.11999999999999
2016-06-13,88,84.0,,0.84,73.92
2016-06-14,90,84.0,,0.84,75.6
2016-06-15,91,84.0,,0.84,76.44
2016-06-16,92,84.0,,0.84,77.28
2016-06-17,91,84.0,,0.84,76.44
2016-06-18,89,84.0,,0.84,74.75999999999999
2016-06-19,91,84.0,,0.84,76.44
2016-06-20,96,84.0,,0.84,80.64
2016-06-21,100,84.0,,0.84,84.0
2016-06-22,95,84.0,,0.84,79.8
2016-06-23,89,84.0,,0.84,74.75999999999999
2016-06-24,95,84.0,,0.84,79.8
2016-06-25,83,84.0,,0.84,69.72
2016-06-26,81,84.0,,0.84,68.03999999999999
2016-06-27,92,84.0,,0.84,77.28
2016-06-28,93,84.0,,0.84,78.11999999999999
2016-06-29,93,84.0,,0.84,78.11999999999999
2016-06-30,93,84.0,,0.84,78.11999999999999
2016-07-01,84,86.0,False,0.86,72.24
2016-07-02,79,86.0,,0.86,67.94
2016-07-03,77,86.0,,0.86,66.22
2016-07-04,91,86.0,,0.86,78.26
2016-07-05,83,86.0,,0.86,71.38
2016-07-06,87,86.0,,0.86,74.82
2016-07-07,86,86.0,,0.86,73.96
2016-07-08,81,86.0,,0.86,69.66
2016-07-09,74,86.0,,0.86,63.64
2016-07-10,86,86.0,,0.86,73.96
2016-07-11,85,86.0,,0.86,73.1
2016-07-12,86,86.0,,0.86,73.96
2016-07-13,98,86.0,,0.86,84.28
2016-07-14,88,86.0,,0.86,75.67999999999999
2016-07-15,85,86.0,,0.86,73.1
2016-07-16,76,86.0,,0.86,65.36
2016-07-17,96,86.0,,0.86,82.56
2016-07-18,100,86.0,,0.86,86.0
2016-07-19,87,86.0,,0.86,74.82
2016-07-20,91,86.0,,0.86,78.26
2016-07-21,88,86.0,,0.86,75.67999999999999
2016-07-22,89,86.0,,0.86,76.53999999999999
2016-07-23,73,86.0,,0.86,62.78
2016-07-24,69,86.0,,0.86,59.339999999999996
2016-07-25,79,86.0,,0.86,67.94
2016-07-26,87,86.0,,0.86,74.82
2016-07-27,91,86.0,,0.86,78.26
2016-07-28,92,86.0,,0.86,79.12
2016-07-29,88,86.0,,0.86,75.67999999999999
2016-07-30,81,86.0,,0.86,69.66
2016-07-31,77,86.0,,0.86,66.22
2016-08-01,94,80.0,False,0.8,75.2
2016-08-02,96,80.0,,0.8,76.80000000000001
2016-08-03,96,80.0,,0.8,76.80000000000001
2016-08-04,88,80.0,,0.8,70.4
2016-08-05,94,80.0,,0.8,75.2
2016-08-06,86,80.0,,0.8,68.8
2016-08-07,81,80.0,,0.8,64.8
2016-08-08,97,80.0,,0.8,77.60000000000001
2016-08-09,94,80.0,,0.8,75.2
2016-08-10,100,80.0,,0.8,80.0
2016-08-11,92,80.0,,0.8,73.60000000000001
2016-08-12,80,80.0,,0.8,64.0
2016-08-13,81,80.0,,0.8,64.8
2016-08-14,71,80.0,,0.8,56.800000000000004
2016-08-15,87,80.0,,0.8,69.60000000000001
2016-08-16,85,80.0,,0.8,68.0
2016-08-17,90,80.0,,0.8,72.0
2016-08-18,81,80.0,,0.8,64.8
2016-08-19,88,80.0,,0.8,70.4
2016-08-20,93,80.0,,0.8,74.4
2016-08-21,78,80.0,,0.8,62.400000000000006
2016-08-22,86,80.0,,0.8,68.8
2016-08-23,93,80.0,,0.8,74.4
2016-08-24,93,80.0,,0.8,74.4
2016-08-25,95,80.0,,0.8,76.0
2016-08-26,81,80.0,,0.8,64.8
2016-08-27,83,80.0,,0.8,66.4
2016-08-28,79,80.0,,0.8,63.2
2016-08-29,84,80.0,,0.8,67.2
2016-08-30,93,80.0,,0.8,74.4
2016-08-31,85,80.0,,0.8,68.0
2016-09-01,84,80.0,False,0.8,67.2
2016-09-02,87,80.0,,0.8,69.60000000000001
