date,FL_unscaled,FL_monthly,isPartial,scale,FL
2016-05-01,82,91.0,False,0.91,74.62
2016-05-02,94,91.0,,0.91,85.54
2016-05-03,92,91.0,,0.91,83.72
2016-05-04,92,91.0,,0.91,83.72
2016-05-05,91,91.0,,0.91,82.81
2016-05-06,89,91.0,,0.91,80.99000000000001
2016-05-07,83,91.0,,0.91,75.53
2016-05-08,78,91.0,,0.91,70.98
2016-05-09,89,91.0,,0.91,80.99000000000001
2016-05-10,91,91.0,,0.91,82.81
2016-05-11,93,91.0,,0.91,84.63000000000001
2016-05-12,92,91.0,,0.91,83.72
2016-05-13,93,91.0,,0.91,84.63000000000001
2016-05-14,89,91.0,,0.91,80.99000000000001
2016-05-15,84,91.0,,0.91,76.44
2016-05-16,96,91.0,,0.91,87.36
2016-05-17,94,91.0,,0.91,85.54
2016-05-18,95,91.0,,0.91,86.45
2016-05-19,92,91.0,,0.91,83.72
2016-05-20,91,91.0,,0.91,82.81
2016-05-21,88,91.0,,0.91,80.08
2016-05-22,83,91.0,,0.91,75.53
2016-05-23,92,91.0,,0.91,83.72
2016-05-24,92,91.0,,0.91,83.72
2016-05-25,95,91.0,,0.91,86.45
2016-05-26,96,91.0,,0.91,87.36
2016-05-27,93,91.0,,0.91,84.63000000000001
2016-05-28,92,91.0,,0.91,83.72
2016-05-29,91,91.0,,0.91,82.81
2016-05-30,90,91.0,,0.91,81.9
2016-05-31,100,91.0,,0.91,91.0
2016-06-01,93,94.0,False,0.94,87.42
2016-06-02,90,94.0,,0.94,84.6
2016-06-03,91,94.0,,0.94,85.53999999999999
2016-06-04,85,94.0,,0.94,79.89999999999999
2016-06-05,83,94.0,,0.94,78.02
2016-06-06,100,94.0,,0.94,94.0
2016-06-07,97,94.0,,0.94,91.17999999999999
2016-06-08,91,94.0,,0.94,85.53999999999999
2016-06-09,91,94.0,,0.94,85.53999999999999
2016-06-10,92,94.0,,0.94,86.47999999999999
2016-06-11,84,94.0,,0.94,78.96
2016-06-12,92,94.0,,0.94,86.47999999999999
2016-06-13,97,94.0,,0.94,91.17999999999999
2016-06-14,91,94.0,,0.94,85.53999999999999
2016-06-15,94,94.0,,0.94,88.36
2016-06-16,91,94.0,,0.94,85.53999999999999
2016-06-17,89,94.0,,0.94,83.66
2016-06-18,89,94.0,,0.94,83.66
2016-06-19,78,94.0,,0.94,73.32
2016-06-20,92,94.0,,0.94,86.47999999999999
2016-06-21,91,94.0,,0.94,85.53999999999999
2016-06-22,91,94.0,,0.94,85.53999999999999
2016-06-23,91,94.0,,0.94,85.53999999999999
2016-06-24,89,94.0,,0.94,83.66
2016-06-25,88,94.0,,0.94,82.72
2016-06-26,84,94.0,,0.94,78.96
2016-06-27,93,94.0,,0.94,87.42
2016-06-28,95,94.0,,0.94,89.3
2016-06-29,91,94.0,,0.94,85.53999999999999
2016-06-30,95,94.0,,0.94,89.3
2016-07-01,97,92.0,False,0.92,89.24000000000001
2016-07-02,91,92.0,,0.92,83.72
2016-07-03,90,92.0,,0.92,82.8
2016-07-04,89,92.0,,0.92,81.88000000000001
2016-07-05,100,92.0,,0.92,92.0
2016-07-06,97,92.0,,0.92,89.24000000000001
2016-07-07,98,92.0,,0.92,90.16000000000001
2016-07-08,91,92.0,,0.92,83.72
2016-07-09,90,92.0,,0.92,82.8
2016-07-10,86,92.0,,0.92,79.12
2016-07-11,96,92.0,,0.92,88.32000000000001
2016-07-12,95,92.0,,0.92,87.4
2016-07-13,94,92.0,,0.92,86.48
2016-07-14,92,92.0,,0.92,84.64
2016-07-15,91,92.0,,0.92,83.72
2016-07-16,89,92.0,,0.92,81.88000000000001
2016-07-17,84,92.0,,0.92,77.28
2016-07-18,97,92.0,,0.92,89.24000000000001
2016-07-19,94,92.0,,0.92,86.48
2016-07-20,93,92.0,,0.92,85.56
2016-07-21,95,92.0,,0.92,87.4
2016-07-22,95,92.0,,0.92,87.4
2016-07-23,87,92.0,,0.92,80.04
2016-07-24,83,92.0,,0.92,76.36
2016-07-25,99,92.0,,0.92,91.08
2016-07-26,93,92.0,,0.92,85.56
2016-07-27,91,92.0,,0.92,83.72
2016-07-28,96,92.0,,0.92,88.32000000000001
2016-07-29,93,92.0,,0.92,85.56
2016-07-30,86,92.0,,0.92,79.12
2016-07-31,81,92.0,,0.92,74.52000000000001
2016-08-01,100,86.0,False,0.86,86.0
2016-08-02,98,86.0,,0.86,84.28
2016-08-03,100,86.0,,0.86,86.0
2016-08-04,99,86.0,,0.86,85.14
2016-08-05,98,86.0,,0.86,84.28
2016-08-06,90,86.0,,0.86,77.4
2016-08-07,81,86.0,,0.86,69.66
2016-08-08,99,86.0,,0.86,85.14
2016-08-09,94,86.0,,0.86,80.84
2016-08-10,93,86.0,,0.86,79.98
2016-08-11,97,86.0,,0.86,83.42
2016-08-12,92,86.0,,0.86,79.12
2016-08-13,81,86.0,,0.86,69.66
2016-08-14,79,86.0,,0.86,67.94
2016-08-15,91,86.0,,0.86,78.26
2016-08-16,93,86.0,,0.86,79.98
2016-08-17,90,86.0,,0.86,77.4
2016-08-18,90,86.0,,0.86,77.4
2016-08-19,90,86.0,,0.86,77.4
2016-08-20,82,86.0,,0.86,70.52
2016-08-21,76,86.0,,0.86,65.36
2016-08-22,95,86.0,,0.86,81.7
2016-08-23,90,86.0,,0.86,77.4
2016-08-24,91,86.0,,0.86,78.26
2016-08-25,91,86.0,,0.86,78.26
2016-08-26,91,86.0,,0.86,78.26
2016-08-27,87,86.0,,0.86,74.82
2016-08-28,81,86.0,,0.86,69.66
2016-08-29,93,86.0,,0.86,79.98
2016-08-30,94,86.0,,0.86,80.84
2016-08-31,96,86.0,,0.86,82.56
2016-09-01,94,82.0,False,0.82,77.08
2016-09-02,100,82.0,,0.82,82.0
2016-09-03,82,82.0,,0.82,67.24
2016-09-04,79,82.0,,0.82,64.78
2016-09-05,74,82.0,,0.82,60.68
2016-09-06,84,82.0,,0.82,68.88
2016-09-07,80,82.0,,0.82,65.6
2016-09-08,78,82.0,,0.82,63.959999999999994
2016-09-09,84,82.0,,0.82,68.88
2016-09-10,80,82.0,,0.82,65.6
2016-09-11,67,82.0,,0.82,54.94
2016-09-12,80,82.0,,0.82,65.6
2016-09-13,81,82.0,,0.82,66.42
2016-09-14,80,82.0,,0.82,65.6
2016-09-15,81,82.0,,0.82,66.42
2016-09-16,82,82.0,,0.82,67.24
2016-09-17,77,82.0,,0.82,63.13999999999999
2016-09-18,68,82.0,,0.82,55.76
2016-09-19,83,82.0,,0.82,68.06
2016-09-20,79,82.0,,0.82,64.78
2016-09-21,78,82.0,,0.82,63.959999999999994
2016-09-22,78,82.0,,0.82,63.959999999999994
2016-09-23,80,82.0,,0.82,65.6
2016-09-24,77,82.0,,0.82,63.13999999999999
2016-09-25,70,82.0,,0.82,57.4
2016-09-26,83,82.0,,0.82,68.06
2016-09-27,77,82.0,,0.82,63.13999999999999
