date,WWE_unscaled,WWE_monthly,isPartial,scale,WWE
2016-05-01,55,88.0,False,0.88,48.4
2016-05-02,100,88.0,,0.88,88.0
2016-05-03,46,88.0,,0.88,40.48
2016-05-04,32,88.0,,0.88,28.16
2016-05-05,31,88.0,,0.88,27.28
2016-05-06,38,88.0,,0.88,33.44
2016-05-07,39,88.0,,0.88,34.32
2016-05-08,38,88.0,,0.88,33.44
2016-05-09,32,88.0,,0.88,28.16
2016-05-10,43,88.0,,0.88,37.84
2016-05-11,32,88.0,,0.88,28.16
2016-05-12,32,88.0,,0.88,28.16
2016-05-13,35,88.0,,0.88,30.8
2016-05-14,36,88.0,,0.88,31.68
2016-05-15,39,88.0,,0.88,34.32
2016-05-16,33,88.0,,0.88,29.04
2016-05-17,42,88.0,,0.88,36.96
2016-05-18,31,88.0,,0.88,27.28
2016-05-19,29,88.0,,0.88,25.52
2016-05-20,31,88.0,,0.88,27.28
2016-05-21,37,88.0,,0.88,32.56
2016-05-22,52,88.0,,0.88,45.76
2016-05-23,83,88.0,,0.88,73.04
2016-05-24,50,88.0,,0.88,44.0
2016-05-25,36,88.0,,0.88,31.68
2016-05-26,36,88.0,,0.88,31.68
2016-05-27,39,88.0,,0.88,34.32
2016-05-28,37,88.0,,0.88,32.56
2016-05-29,37,88.0,,0.88,32.56
2016-05-30,41,88.0,,0.88,36.08
2016-05-31,51,88.0,,0.88,44.88
2016-06-01,34,83.0,False,0.83,28.22
2016-06-02,33,83.0,,0.83,27.389999999999997
2016-06-03,34,83.0,,0.83,28.22
2016-06-04,33,83.0,,0.83,27.389999999999997
2016-06-05,39,83.0,,0.83,32.37
2016-06-06,34,83.0,,0.83,28.22
2016-06-07,42,83.0,,0.83,34.86
2016-06-08,32,83.0,,0.83,26.56
2016-06-09,34,83.0,,0.83,28.22
2016-06-10,34,83.0,,0.83,28.22
2016-06-11,34,83.0,,0.83,28.22
2016-06-12,36,83.0,,0.83,29.88
2016-06-13,36,83.0,,0.83,29.88
2016-06-14,41,83.0,,0.83,34.03
2016-06-15,33,83.0,,0.83,27.389999999999997
2016-06-16,31,83.0,,0.83,25.73
2016-06-17,35,83.0,,0.83,29.049999999999997
2016-06-18,37,83.0,,0.83,30.709999999999997
2016-06-19,52,83.0,,0.83,43.16
2016-06-20,100,83.0,,0.83,83.0
2016-06-21,63,83.0,,0.83,52.29
2016-06-22,42,83.0,,0.83,34.86
2016-06-23,36,83.0,,0.83,29.88
2016-06-24,37,83.0,,0.83,30.709999999999997
2016-06-25,37,83.0,,0.83,30.709999999999997
2016-06-26,37,83.0,,0.83,30.709999999999997
2016-06-27,35,83.0,,0.83,29.049999999999997
2016-06-28,49,83.0,,0.83,40.669999999999995
2016-06-29,35,83.0,,0.83,29.049999999999997
2016-06-30,35,83.0,,0.83,29.049999999999997
2016-07-01,30,100.0,False,1.0,30.0
2016-07-02,29,100.0,,1.0,29.0
2016-07-03,31,100.0,,1.0,31.0
2016-07-04,32,100.0,,1.0,32.0
2016-07-05,37,100.0,,1.0,37.0
2016-07-06,30,100.0,,1.0,30.0
2016-07-07,28,100.0,,1.0,28.0
2016-07-08,30,100.0,,1.0,30.0
2016-07-09,30,100.0,,1.0,30.0
2016-07-10,36,100.0,,1.0,36.0
2016-07-11,31,100.0,,1.0,31.0
2016-07-12,39,100.0,,1.0,39.0
2016-07-13,29,100.0,,1.0,29.0
2016-07-14,30,100.0,,1.0,30.0
2016-07-15,32,100.0,,1.0,32.0
2016-07-16,32,100.0,,1.0,32.0
2016-07-17,36,100.0,,1.0,36.0
2016-07-18,36,100.0,,1.0,36.0
2016-07-19,55,100.0,,1.0,55.0
2016-07-20,100,100.0,,1.0,100.0
2016-07-21,38,100.0,,1.0,38.0
2016-07-22,34,100.0,,1.0,34.0
2016-07-23,35,100.0,,1.0,35.0
2016-07-24,47,100.0,,1.0,47.0
2016-07-25,90,100.0,,1.0,90.0
2016-07-26,62,100.0,,1.0,62.0
2016-07-27,44,100.0,,1.0,44.0
2016-07-28,33,100.0,,1.0,33.0
2016-07-29,31,100.0,,1.0,31.0
2016-07-30,34,100.0,,1.0,34.0
2016-07-31,33,100.0,,1.0,33.0
2016-08-01,29,93.0,False,0.93,26.970000000000002
2016-08-02,42,93.0,,0.93,39.06
2016-08-03,36,93.0,,0.93,33.480000000000004
2016-08-04,28,93.0,,0.93,26.040000000000003
2016-08-05,27,93.0,,0.93,25.110000000000003
2016-08-06,28,93.0,,0.93,26.040000000000003
2016-08-07,29,93.0,,0.93,26.970000000000002
2016-08-08,29,93.0,,0.93,26.970000000000002
2016-08-09,37,93.0,,0.93,34.410000000000004
2016-08-10,32,93.0,,0.93,29.76
2016-08-11,27,93.0,,0.93,25.110000000000003
2016-08-12,25,93.0,,0.93,23.25
2016-08-13,27,93.0,,0.93,25.110000000000003
2016-08-14,29,93.0,,0.93,26.970000000000002
2016-08-15,28,93.0,,0.93,26.040000000000003
2016-08-16,38,93.0,,0.93,35.34
2016-08-17,36,93.0,,0.93,33.480000000000004
2016-08-18,35,93.0,,0.93,32.550000000000004
2016-08-19,33,93.0,,0.93,30.69
2016-08-20,38,93.0,,0.93,35.34
2016-08-21,55,93.0,,0.93,51.150000000000006
2016-08-22,100,93.0,,0.93,93.0
2016-08-23,50,93.0,,0.93,46.5
2016-08-24,40,93.0,,0.93,37.2
2016-08-25,31,93.0,,0.93,28.830000000000002
2016-08-26,29,93.0,,0.93,26.970000000000002
2016-08-27,33,93.0,,0.93,30.69
2016-08-28,35,93.0,,0.93,32.550000000000004
2016-08-29,29,93.0,,0.93,26.970000000000002
2016-08-30,42,93.0,,0.93,39.06
2016-08-31,34,93.0,,0.93,31.62
2016-09-01,55,79.0,False,0.79,43.45
2016-09-02,54,79.0,,0.79,42.660000000000004
2016-09-03,62,79.0,,0.79,48.980000000000004
2016-09-04,64,79.0,,0.79,50.56
2016-09-05,67,79.0,,0.79,52.93
2016-09-06,77,79.0,,0.79,60.830000000000005
2016-09-07,62,79.0,,0.79,48.980000000000004
2016-09-08,52,79.0,,0.79,41.08
2016-09-09,56,79.0,,0.79,44.24
