date,IP_unscaled,IP_monthly,isPartial,scale,IP
2016-05-01,79,97.0,False,0.97,76.63
2016-05-02,92,97.0,,0.97,89.24
2016-05-03,93,97.0,,0.97,90.21
2016-05-04,94,97.0,,0.97,91.17999999999999
2016-05-05,91,97.0,,0.97,88.27
2016-05-06,89,97.0,,0.97,86.33
2016-05-07,75,97.0,,0.97,72.75
2016-05-08,68,97.0,,0.97,65.96
2016-05-09,94,97.0,,0.97,91.17999999999999
2016-05-10,97,97.0,,0.97,94.09
2016-05-11,92,97.0,,0.97,89.24
2016-05-12,96,97.0,,0.97,93.12
2016-05-13,95,97.0,,0.97,92.14999999999999
2016-05-14,77,97.0,,0.97,74.69
2016-05-15,81,97.0,,0.97,78.57
2016-05-16,93,97.0,,0.97,90.21
2016-05-17,94,97.0,,0.97,91.17999999999999
2016-05-18,95,97.0,,0.97,92.14999999999999
2016-05-19,98,97.0,,0.97,95.06
2016-05-20,99,97.0,,0.97,96.03
2016-05-21,79,97.0,,0.97,76.63
2016-05-22,74,97.0,,0.97,71.78
2016-05-23,99,97.0,,0.97,96.03
2016-05-24,100,97.0,,0.97,97.0
2016-05-25,100,97.0,,0.97,97.0
2016-05-26,98,97.0,,0.97,95.06
2016-05-27,89,97.0,,0.97,86.33
2016-05-28,73,97.0,,0.97,70.81
2016-05-29,74,97.0,,0.97,71.78
2016-05-30,76,97.0,,0.97,73.72
2016-05-31,94,97.0,,0.97,91.17999999999999
2016-06-01,92,100.0,False,1.0,92.0
2016-06-02,96,100.0,,1.0,96.0
2016-06-03,84,100.0,,1.0,84.0
2016-06-04,67,100.0,,1.0,67.0
2016-06-05,70,100.0,,1.0,70.0
2016-06-06,89,100.0,,1.0,89.0
2016-06-07,93,100.0,,1.0,93.0
2016-06-08,93,100.0,,1.0,93.0
2016-06-09,90,100.0,,1.0,90.0
2016-06-10,86,100.0,,1.0,86.0
2016-06-11,64,100.0,,1.0,64.0
2016-06-12,65,100.0,,1.0,65.0
2016-06-13,86,100.0,,1.0,86.0
2016-06-14,93,100.0,,1.0,93.0
2016-06-15,92,100.0,,1.0,92.0
2016-06-16,97,100.0,,1.0,97.0
2016-06-17,90,100.0,,1.0,90.0
2016-06-18,72,100.0,,1.0,72.0
2016-06-19,70,100.0,,1.0,70.0
2016-06-20,96,100.0,,1.0,96.0
2016-06-21,98,100.0,,1.0,98.0
2016-06-22,96,100.0,,1.0,96.0
2016-06-23,99,100.0,,1.0,99.0
2016-06-24,91,100.0,,1.0,91.0
2016-06-25,79,100.0,,1.0,79.0
2016-06-26,74,100.0,,1.0,74.0
2016-06-27,92,100.0,,1.0,92.0
2016-06-28,99,100.0,,1.0,99.0
2016-06-29,99,100.0,,1.0,99.0
2016-06-30,100,100.0,,1.0,100.0
2016-07-01,94,95.0,False,0.95,89.3
2016-07-02,72,95.0,,0.95,68.39999999999999
2016-07-03,75,95.0,,0.95,71.25
2016-07-04,77,95.0,,0.95,73.14999999999999
2016-07-05,91,95.0,,0.95,86.45
2016-07-06,97,95.0,,0.95,92.14999999999999
2016-07-07,100,95.0,,0.95,95.0
2016-07-08,91,95.0,,0.95,86.45
2016-07-09,72,95.0,,0.95,68.39999999999999
2016-07-10,73,95.0,,0.95,69.35
2016-07-11,84,95.0,,0.95,79.8
2016-07-12,94,95.0,,0.95,89.3
2016-07-13,96,95.0,,0.95,91.19999999999999
2016-07-14,93,95.0,,0.95,88.35
2016-07-15,88,95.0,,0.95,83.6
2016-07-16,72,95.0,,0.95,68.39999999999999
2016-07-17,71,95.0,,0.95,67.45
2016-07-18,92,95.0,,0.95,87.39999999999999
2016-07-19,89,95.0,,0.95,84.55
2016-07-20,99,95.0,,0.95,94.05
2016-07-21,91,95.0,,0.95,86.45
2016-07-22,92,95.0,,0.95,87.39999999999999
2016-07-23,73,95.0,,0.95,69.35
2016-07-24,68,95.0,,0.95,64.6
2016-07-25,98,95.0,,0.95,93.1
2016-07-26,100,95.0,,0.95,95.0
2016-07-27,90,95.0,,0.95,85.5
2016-07-28,95,95.0,,0.95,90.25
2016-07-29,87,95.0,,0.95,82.64999999999999
2016-07-30,71,95.0,,0.95,67.45
2016-07-31,69,95.0,,0.95,65.55
2016-08-01,92,92.0,False,0.92,84.64
2016-08-02,100,92.0,,0.92,92.0
2016-08-03,98,92.0,,0.92,90.16000000000001
2016-08-04,93,92.0,,0.92,85.56
