date,JD_unscaled,JD_monthly,isPartial,scale,JD
2016-05-01,78,73.0,False,0.73,56.94
2016-05-02,80,73.0,,0.73,58.4
2016-05-03,89,73.0,,0.73,64.97
2016-05-04,81,73.0,,0.73,59.129999999999995
2016-05-05,83,73.0,,0.73,60.589999999999996
2016-05-06,88,73.0,,0.73,64.24
2016-05-07,90,73.0,,0.73,65.7
2016-05-08,69,73.0,,0.73,50.37
2016-05-09,96,73.0,,0.73,70.08
2016-05-10,92,73.0,,0.73,67.16
2016-05-11,91,73.0,,0.73,66.42999999999999
2016-05-12,90,73.0,,0.73,65.7
2016-05-13,92,73.0,,0.73,67.16
2016-05-14,79,73.0,,0.73,57.67
2016-05-15,85,73.0,,0.73,62.05
2016-05-16,95,73.0,,0.73,69.35
2016-05-17,89,73.0,,0.73,64.97
2016-05-18,89,73.0,,0.73,64.97
2016-05-19,85,73.0,,0.73,62.05
2016-05-20,95,73.0,,0.73,69.35
2016-05-21,82,73.0,,0.73,59.86
2016-05-22,73,73.0,,0.73,53.29
2016-05-23,85,73.0,,0.73,62.05
2016-05-24,91,73.0,,0.73,66.42999999999999
2016-05-25,88,73.0,,0.73,64.24
2016-05-26,87,73.0,,0.73,63.51
2016-05-27,80,73.0,,0.73,58.4
2016-05-28,70,73.0,,0.73,51.1
2016-05-29,64,73.0,,0.73,46.72
2016-05-30,79,73.0,,0.73,57.67
2016-05-31,100,73.0,,0.73,73.0
2016-06-01,84,72.0,False,0.72,60.48
2016-06-02,91,72.0,,0.72,65.52
2016-06-03,81,72.0,,0.72,58.32
2016-06-04,74,72.0,,0.72,53.28
2016-06-05,70,72.0,,0.72,50.4
2016-06-06,81,72.0,,0.72,58.32
2016-06-07,76,72.0,,0.72,54.72
2016-06-08,81,72.0,,0.72,58.32
2016-06-09,77,72.0,,0.72,55.44
2016-06-10,85,72.0,,0.72,61.199999999999996
2016-06-11,75,72.0,,0.72,54.0
2016-06-12,55,72.0,,0.72,39.6
2016-06-13,75,72.0,,0.72,54.0
2016-06-14,87,72.0,,0.72,62.64
2016-06-15,81,72.0,,0.72,58.32
2016-06-16,79,72.0,,0.72,56.879999999999995
2016-06-17,100,72.0,,0.72,72.0
2016-06-18,74,72.0,,0.72,53.28
2016-06-19,73,72.0,,0.72,52.559999999999995
2016-06-20,93,72.0,,0.72,66.96
2016-06-21,92,72.0,,0.72,66.24
2016-06-22,86,72.0,,0.72,61.919999999999995
