date,MUST_unscaled,MUST_monthly,isPartial,scale,MUST
2016-05-01,75,77.0,False,0.77,57.75
2016-05-02,84,77.0,,0.77,64.68
2016-05-03,87,77.0,,0.77,66.99
2016-05-04,85,77.0,,0.77,65.45
2016-05-05,88,77.0,,0.77,67.76
2016-05-06,72,77.0,,0.77,55.44
2016-05-07,64,77.0,,0.77,49.28
2016-05-08,71,77.0,,0.77,54.67
2016-05-09,88,77.0,,0.77,67.76
2016-05-10,81,77.0,,0.77,62.370000000000005
2016-05-11,84,77.0,,0.77,64.68
2016-05-12,80,77.0,,0.77,61.6
2016-05-13,78,77.0,,0.77,60.06
2016-05-14,61,77.0,,0.77,46.97
2016-05-15,64,77.0,,0.77,49.28
2016-05-16,82,77.0,,0.77,63.14
2016-05-17,80,77.0,,0.77,61.6
2016-05-18,80,77.0,,0.77,61.6
2016-05-19,77,77.0,,0.77,59.29
2016-05-20,81,77.0,,0.77,62.370000000000005
2016-05-21,58,77.0,,0.77,44.660000000000004
2016-05-22,69,77.0,,0.77,53.13
2016-05-23,100,77.0,,0.77,77.0
2016-05-24,85,77.0,,0.77,65.45
2016-05-25,79,77.0,,0.77,60.83
2016-05-26,78,77.0,,0.77,60.06
2016-05-27,66,77.0,,0.77,50.82
2016-05-28,57,77.0,,0.77,43.89
2016-05-29,70,77.0,,0.77,53.9
2016-05-30,71,77.0,,0.77,54.67
2016-05-31,74,77.0,,0.77,56.980000000000004
2016-06-01,100,70.0,False,0.7,70.0
2016-06-02,93,70.0,,0.7,65.1
2016-06-03,88,70.0,,0.7,61.599999999999994
2016-06-04,77,70.0,,0.7,53.9
2016-06-05,87,70.0,,0.7,60.9
2016-06-06,91,70.0,,0.7,63.699999999999996
2016-06-07,98,70.0,,0.7,68.6
2016-06-08,100,70.0,,0.7,70.0
2016-06-09,94,70.0,,0.7,65.8
2016-06-10,88,70.0,,0.7,61.599999999999994
2016-06-11,78,70.0,,0.7,54.599999999999994
2016-06-12,92,70.0,,0.7,64.39999999999999
2016-06-13,90,70.0,,0.7,62.99999999999999
2016-06-14,88,70.0,,0.7,61.599999999999994
2016-06-15,93,70.0,,0.7,65.1
2016-06-16,90,70.0,,0.7,62.99999999999999
2016-06-17,83,70.0,,0.7,58.099999999999994
2016-06-18,83,70.0,,0.7,58.099999999999994
2016-06-19,87,70.0,,0.7,60.9
2016-06-20,92,70.0,,0.7,64.39999999999999
2016-06-21,93,70.0,,0.7,65.1
2016-06-22,90,70.0,,0.7,62.99999999999999
2016-06-23,88,70.0,,0.7,61.599999999999994
2016-06-24,82,70.0,,0.7,57.4
2016-06-25,78,70.0,,0.7,54.599999999999994
2016-06-26,84,70.0,,0.7,58.8
2016-06-27,89,70.0,,0.7,62.3
2016-06-28,96,70.0,,0.7,67.19999999999999
2016-06-29,92,70.0,,0.7,64.39999999999999
2016-06-30,88,70.0,,0.7,61.599999999999994
2016-07-01,94,63.0,False,0.63,59.22
2016-07-02,88,63.0,,0.63,55.44
2016-07-03,79,63.0,,0.63,49.77
2016-07-04,83,63.0,,0.63,52.29
2016-07-05,91,63.0,,0.63,57.33
2016-07-06,88,63.0,,0.63,55.44
2016-07-07,96,63.0,,0.63,60.480000000000004
2016-07-08,94,63.0,,0.63,59.22
2016-07-09,77,63.0,,0.63,48.51
2016-07-10,90,63.0,,0.63,56.7
2016-07-11,96,63.0,,0.63,60.480000000000004
2016-07-12,100,63.0,,0.63,63.0
2016-07-13,93,63.0,,0.63,58.59
2016-07-14,92,63.0,,0.63,57.96
2016-07-15,83,63.0,,0.63,52.29
2016-07-16,73,63.0,,0.63,45.99
2016-07-17,82,63.0,,0.63,51.660000000000004
2016-07-18,95,63.0,,0.63,59.85
2016-07-19,92,63.0,,0.63,57.96
2016-07-20,98,63.0,,0.63,61.74
2016-07-21,90,63.0,,0.63,56.7
2016-07-22,86,63.0,,0.63,54.18
2016-07-23,82,63.0,,0.63,51.660000000000004
2016-07-24,90,63.0,,0.63,56.7
2016-07-25,87,63.0,,0.63,54.81
2016-07-26,92,63.0,,0.63,57.96
2016-07-27,90,63.0,,0.63,56.7
2016-07-28,84,63.0,,0.63,52.92
2016-07-29,88,63.0,,0.63,55.44
2016-07-30,79,63.0,,0.63,49.77
2016-07-31,87,63.0,,0.63,54.81
2016-08-01,82,63.0,False,0.63,51.660000000000004
2016-08-02,83,63.0,,0.63,52.29
2016-08-03,84,63.0,,0.63,52.92
2016-08-04,83,63.0,,0.63,52.29
2016-08-05,84,63.0,,0.63,52.92
2016-08-06,69,63.0,,0.63,43.47
2016-08-07,74,63.0,,0.63,46.62
2016-08-08,79,63.0,,0.63,49.77
2016-08-09,79,63.0,,0.63,49.77
2016-08-10,82,63.0,,0.63,51.660000000000004
2016-08-11,76,63.0,,0.63,47.88
2016-08-12,71,63.0,,0.63,44.73
2016-08-13,65,63.0,,0.63,40.95
2016-08-14,71,63.0,,0.63,44.73
2016-08-15,78,63.0,,0.63,49.14
2016-08-16,77,63.0,,0.63,48.51
2016-08-17,78,63.0,,0.63,49.14
2016-08-18,85,63.0,,0.63,53.55
2016-08-19,75,63.0,,0.63,47.25
2016-08-20,70,63.0,,0.63,44.1
2016-08-21,75,63.0,,0.63,47.25
2016-08-22,81,63.0,,0.63,51.03
2016-08-23,87,63.0,,0.63,54.81
2016-08-24,92,63.0,,0.63,57.96
2016-08-25,91,63.0,,0.63,57.33
2016-08-26,86,63.0,,0.63,54.18
2016-08-27,84,63.0,,0.63,52.92
2016-08-28,89,63.0,,0.63,56.07
2016-08-29,97,63.0,,0.63,61.11
2016-08-30,100,63.0,,0.63,63.0
2016-08-31,99,63.0,,0.63,62.37
2016-09-01,79,78.0,False,0.78,61.620000000000005
2016-09-02,82,78.0,,0.78,63.96
2016-09-03,67,78.0,,0.78,52.260000000000005
2016-09-04,76,78.0,,0.78,59.28
2016-09-05,80,78.0,,0.78,62.400000000000006
2016-09-06,87,78.0,,0.78,67.86
2016-09-07,96,78.0,,0.78,74.88
2016-09-08,88,78.0,,0.78,68.64
2016-09-09,86,78.0,,0.78,67.08
2016-09-10,73,78.0,,0.78,56.940000000000005
2016-09-11,76,78.0,,0.78,59.28
2016-09-12,93,78.0,,0.78,72.54
2016-09-13,96,78.0,,0.78,74.88
2016-09-14,97,78.0,,0.78,75.66
2016-09-15,93,78.0,,0.78,72.54
2016-09-16,88,78.0,,0.78,68.64
2016-09-17,71,78.0,,0.78,55.38
2016-09-18,80,78.0,,0.78,62.400000000000006
2016-09-19,98,78.0,,0.78,76.44
2016-09-20,98,78.0,,0.78,76.44
2016-09-21,97,78.0,,0.78,75.66
2016-09-22,92,78.0,,0.78,71.76
2016-09-23,89,78.0,,0.78,69.42
2016-09-24,69,78.0,,0.78,53.82
2016-09-25,81,78.0,,0.78,63.18
2016-09-26,97,78.0,,0.78,75.66
2016-09-27,96,78.0,,0.78,74.88
2016-09-28,100,78.0,,0.78,78.0
2016-09-29,96,78.0,,0.78,74.88
2016-09-30,85,78.0,,0.78,66.3
2016-10-01,71,80.0,False,0.8,56.800000000000004
2016-10-02,70,80.0,,0.8,56.0
2016-10-03,87,80.0,,0.8,69.60000000000001
2016-10-04,89,80.0,,0.8,71.2
