date,CALL_unscaled,CALL_monthly,isPartial,scale,CALL
2016-05-01,73,80.0,False,0.8,58.400000000000006
2016-05-02,95,80.0,,0.8,76.0
2016-05-03,100,80.0,,0.8,80.0
2016-05-04,91,80.0,,0.8,72.8
2016-05-05,89,80.0,,0.8,71.2
2016-05-06,88,80.0,,0.8,70.4
2016-05-07,79,80.0,,0.8,63.2
2016-05-08,73,80.0,,0.8,58.400000000000006
2016-05-09,84,80.0,,0.8,67.2
2016-05-10,86,80.0,,0.8,68.8
2016-05-11,86,80.0,,0.8,68.8
2016-05-12,83,80.0,,0.8,66.4
2016-05-13,84,80.0,,0.8,67.2
2016-05-14,71,80.0,,0.8,56.800000000000004
2016-05-15,65,80.0,,0.8,52.0
2016-05-16,84,80.0,,0.8,67.2
2016-05-17,86,80.0,,0.8,68.8
2016-05-18,86,80.0,,0.8,68.8
2016-05-19,86,80.0,,0.8,68.8
2016-05-20,81,80.0,,0.8,64.8
2016-05-21,74,80.0,,0.8,59.2
2016-05-22,65,80.0,,0.8,52.0
2016-05-23,82,80.0,,0.8,65.60000000000001
2016-05-24,87,80.0,,0.8,69.60000000000001
2016-05-25,86,80.0,,0.8,68.8
2016-05-26,85,80.0,,0.8,68.0
2016-05-27,83,80.0,,0.8,66.4
2016-05-28,67,80.0,,0.8,53.6
2016-05-29,61,80.0,,0.8,48.800000000000004
2016-05-30,65,80.0,,0.8,52.0
2016-05-31,85,80.0,,0.8,68.0
2016-06-01,98,76.0,False,0.76,74.48
2016-06-02,99,76.0,,0.76,75.24
2016-06-03,99,76.0,,0.76,75.24
2016-06-04,81,76.0,,0.76,61.56
2016-06-05,74,76.0,,0.76,56.24
2016-06-06,95,76.0,,0.76,72.2
2016-06-07,97,76.0,,0.76,73.72
2016-06-08,92,76.0,,0.76,69.92
2016-06-09,94,76.0,,0.76,71.44
2016-06-10,96,76.0,,0.76,72.96000000000001
2016-06-11,76,76.0,,0.76,57.76
2016-06-12,70,76.0,,0.76,53.2
2016-06-13,97,76.0,,0.76,73.72
2016-06-14,100,76.0,,0.76,76.0
2016-06-15,96,76.0,,0.76,72.96000000000001
2016-06-16,96,76.0,,0.76,72.96000000000001
2016-06-17,95,76.0,,0.76,72.2
2016-06-18,73,76.0,,0.76,55.480000000000004
2016-06-19,70,76.0,,0.76,53.2
2016-06-20,95,76.0,,0.76,72.2
2016-06-21,96,76.0,,0.76,72.96000000000001
2016-06-22,93,76.0,,0.76,70.68
2016-06-23,90,76.0,,0.76,68.4
2016-06-24,89,76.0,,0.76,67.64
