date,MCD_unscaled,MCD_monthly,isPartial,scale,MCD
2016-05-01,63,74.0,False,0.74,46.62
2016-05-02,54,74.0,,0.74,39.96
2016-05-03,72,74.0,,0.74,53.28
2016-05-04,74,74.0,,0.74,54.76
2016-05-05,42,74.0,,0.74,31.08
2016-05-06,58,74.0,,0.74,42.92
2016-05-07,44,74.0,,0.74,32.56
2016-05-08,32,74.0,,0.74,23.68
2016-05-09,71,74.0,,0.74,52.54
2016-05-10,73,74.0,,0.74,54.019999999999996
2016-05-11,55,74.0,,0.74,40.7
2016-05-12,61,74.0,,0.74,45.14
2016-05-13,68,74.0,,0.74,50.32
2016-05-14,36,74.0,,0.74,26.64
2016-05-15,45,74.0,,0.74,33.3
2016-05-16,63,74.0,,0.74,46.62
2016-05-17,100,74.0,,0.74,74.0
2016-05-18,44,74.0,,0.74,32.56
2016-05-19,61,74.0,,0.74,45.14
2016-05-20,65,74.0,,0.74,48.1
2016-05-21,47,74.0,,0.74,34.78
2016-05-22,54,74.0,,0.74,39.96
2016-05-23,68,74.0,,0.74,50.32
2016-05-24,66,74.0,,0.74,48.839999999999996
2016-05-25,70,74.0,,0.74,51.8
2016-05-26,64,74.0,,0.74,47.36
2016-05-27,68,74.0,,0.74,50.32
2016-05-28,65,74.0,,0.74,48.1
2016-05-29,47,74.0,,0.74,34.78
2016-05-30,42,74.0,,0.74,31.08
2016-05-31,50,74.0,,0.74,37.0
2016-06-01,62,68.0,False,0.68,42.160000000000004
2016-06-02,75,68.0,,0.68,51.00000000000001
2016-06-03,65,68.0,,0.68,44.2
2016-06-04,65,68.0,,0.68,44.2
2016-06-05,61,68.0,,0.68,41.480000000000004
2016-06-06,73,68.0,,0.68,49.64
2016-06-07,69,68.0,,0.68,46.92
2016-06-08,75,68.0,,0.68,51.00000000000001
2016-06-09,62,68.0,,0.68,42.160000000000004
2016-06-10,64,68.0,,0.68,43.52
2016-06-11,53,68.0,,0.68,36.04
2016-06-12,66,68.0,,0.68,44.88
2016-06-13,63,68.0,,0.68,42.84
2016-06-14,79,68.0,,0.68,53.720000000000006
2016-06-15,56,68.0,,0.68,38.080000000000005
2016-06-16,74,68.0,,0.68,50.32
2016-06-17,77,68.0,,0.68,52.36000000000001
2016-06-18,62,68.0,,0.68,42.160000000000004
2016-06-19,20,68.0,,0.68,13.600000000000001
2016-06-20,88,68.0,,0.68,59.84
2016-06-21,77,68.0,,0.68,52.36000000000001
2016-06-22,57,68.0,,0.68,38.760000000000005
2016-06-23,65,68.0,,0.68,44.2
2016-06-24,100,68.0,,0.68,68.0
2016-06-25,48,68.0,,0.68,32.64
2016-06-26,46,68.0,,0.68,31.28
2016-06-27,84,68.0,,0.68,57.120000000000005
2016-06-28,74,68.0,,0.68,50.32
2016-06-29,80,68.0,,0.68,54.400000000000006
2016-06-30,69,68.0,,0.68,46.92
2016-07-01,49,69.0,False,0.69,33.809999999999995
2016-07-02,42,69.0,,0.69,28.979999999999997
2016-07-03,19,69.0,,0.69,13.11
2016-07-04,34,69.0,,0.69,23.459999999999997
2016-07-05,50,69.0,,0.69,34.5
2016-07-06,58,69.0,,0.69,40.019999999999996
