date,DE_unscaled,DE_monthly,isPartial,scale,DE
2016-05-01,59,87.0,False,0.87,51.33
2016-05-02,57,87.0,,0.87,49.589999999999996
2016-05-03,61,87.0,,0.87,53.07
2016-05-04,65,87.0,,0.87,56.55
2016-05-05,100,87.0,,0.87,87.0
2016-05-06,69,87.0,,0.87,60.03
2016-05-07,61,87.0,,0.87,53.07
2016-05-08,77,87.0,,0.87,66.99
2016-05-09,55,87.0,,0.87,47.85
2016-05-10,66,87.0,,0.87,57.42
2016-05-11,55,87.0,,0.87,47.85
2016-05-12,57,87.0,,0.87,49.589999999999996
2016-05-13,57,87.0,,0.87,49.589999999999996
2016-05-14,57,87.0,,0.87,49.589999999999996
2016-05-15,58,87.0,,0.87,50.46
2016-05-16,56,87.0,,0.87,48.72
2016-05-17,55,87.0,,0.87,47.85
2016-05-18,57,87.0,,0.87,49.589999999999996
2016-05-19,57,87.0,,0.87,49.589999999999996
2016-05-20,54,87.0,,0.87,46.98
2016-05-21,59,87.0,,0.87,51.33
2016-05-22,58,87.0,,0.87,50.46
2016-05-23,55,87.0,,0.87,47.85
2016-05-24,54,87.0,,0.87,46.98
2016-05-25,55,87.0,,0.87,47.85
2016-05-26,55,87.0,,0.87,47.85
2016-05-27,56,87.0,,0.87,48.72
2016-05-28,61,87.0,,0.87,53.07
2016-05-29,60,87.0,,0.87,52.2
2016-05-30,61,87.0,,0.87,53.07
2016-05-31,55,87.0,,0.87,47.85
2016-06-01,90,76.0,False,0.76,68.4
2016-06-02,92,76.0,,0.76,69.92
2016-06-03,90,76.0,,0.76,68.4
2016-06-04,91,76.0,,0.76,69.16
2016-06-05,93,76.0,,0.76,70.68
2016-06-06,89,76.0,,0.76,67.64
2016-06-07,89,76.0,,0.76,67.64
2016-06-08,93,76.0,,0.76,70.68
2016-06-09,88,76.0,,0.76,66.88
2016-06-10,91,76.0,,0.76,69.16
2016-06-11,90,76.0,,0.76,68.4
2016-06-12,95,76.0,,0.76,72.2
2016-06-13,89,76.0,,0.76,67.64
2016-06-14,91,76.0,,0.76,69.16
2016-06-15,91,76.0,,0.76,69.16
2016-06-16,93,76.0,,0.76,70.68
2016-06-17,87,76.0,,0.76,66.12
2016-06-18,92,76.0,,0.76,69.92
2016-06-19,100,76.0,,0.76,76.0
2016-06-20,85,76.0,,0.76,64.6
2016-06-21,90,76.0,,0.76,68.4
2016-06-22,92,76.0,,0.76,69.92
2016-06-23,89,76.0,,0.76,67.64
2016-06-24,88,76.0,,0.76,66.88
2016-06-25,88,76.0,,0.76,66.88
2016-06-26,91,76.0,,0.76,69.16
2016-06-27,88,76.0,,0.76,66.88
2016-06-28,91,76.0,,0.76,69.16
2016-06-29,93,76.0,,0.76,70.68
2016-06-30,90,76.0,,0.76,68.4
2016-07-01,89,79.0,False,0.79,70.31
2016-07-02,94,79.0,,0.79,74.26
2016-07-03,95,79.0,,0.79,75.05
