date,GM_unscaled,GM_monthly,isPartial,scale,GM
2016-05-01,67,72.0,False,0.72,48.239999999999995
2016-05-02,99,72.0,,0.72,71.28
2016-05-03,92,72.0,,0.72,66.24
2016-05-04,89,72.0,,0.72,64.08
2016-05-05,93,72.0,,0.72,66.96
2016-05-06,91,72.0,,0.72,65.52
2016-05-07,69,72.0,,0.72,49.68
2016-05-08,62,72.0,,0.72,44.64
2016-05-09,100,72.0,,0.72,72.0
2016-05-10,91,72.0,,0.72,65.52
2016-05-11,89,72.0,,0.72,64.08
2016-05-12,87,72.0,,0.72,62.64
2016-05-13,89,72.0,,0.72,64.08
2016-05-14,69,72.0,,0.72,49.68
2016-05-15,71,72.0,,0.72,51.12
2016-05-16,91,72.0,,0.72,65.52
2016-05-17,90,72.0,,0.72,64.8
2016-05-18,87,72.0,,0.72,62.64
2016-05-19,88,72.0,,0.72,63.36
2016-05-20,89,72.0,,0.72,64.08
2016-05-21,70,72.0,,0.72,50.4
2016-05-22,66,72.0,,0.72,47.519999999999996
2016-05-23,92,72.0,,0.72,66.24
2016-05-24,87,72.0,,0.72,62.64
2016-05-25,88,72.0,,0.72,63.36
2016-05-26,86,72.0,,0.72,61.919999999999995
2016-05-27,84,72.0,,0.72,60.48
2016-05-28,69,72.0,,0.72,49.68
2016-05-29,59,72.0,,0.72,42.48
2016-05-30,66,72.0,,0.72,47.519999999999996
2016-05-31,89,72.0,,0.72,64.08
2016-06-01,99,68.0,False,0.68,67.32000000000001
2016-06-02,94,68.0,,0.68,63.92
2016-06-03,92,68.0,,0.68,62.56
2016-06-04,73,68.0,,0.68,49.64
2016-06-05,73,68.0,,0.68,49.64
2016-06-06,95,68.0,,0.68,64.60000000000001
2016-06-07,90,68.0,,0.68,61.2
2016-06-08,89,68.0,,0.68,60.52
2016-06-09,87,68.0,,0.68,59.160000000000004
2016-06-10,93,68.0,,0.68,63.24
2016-06-11,72,68.0,,0.68,48.96
2016-06-12,68,68.0,,0.68,46.24
2016-06-13,91,68.0,,0.68,61.88
2016-06-14,87,68.0,,0.68,59.160000000000004
2016-06-15,90,68.0,,0.68,61.2
2016-06-16,93,68.0,,0.68,63.24
2016-06-17,88,68.0,,0.68,59.84
2016-06-18,66,68.0,,0.68,44.88
2016-06-19,60,68.0,,0.68,40.800000000000004
2016-06-20,92,68.0,,0.68,62.56
2016-06-21,100,68.0,,0.68,68.0
2016-06-22,90,68.0,,0.68,61.2
2016-06-23,97,68.0,,0.68,65.96000000000001
2016-06-24,85,68.0,,0.68,57.800000000000004
2016-06-25,77,68.0,,0.68,52.36000000000001
2016-06-26,66,68.0,,0.68,44.88
2016-06-27,91,68.0,,0.68,61.88
2016-06-28,95,68.0,,0.68,64.60000000000001
2016-06-29,89,68.0,,0.68,60.52
2016-06-30,94,68.0,,0.68,63.92
2016-07-01,94,67.0,False,0.67,62.980000000000004
2016-07-02,76,67.0,,0.67,50.92
2016-07-03,67,67.0,,0.67,44.89
2016-07-04,67,67.0,,0.67,44.89
2016-07-05,93,67.0,,0.67,62.31
2016-07-06,90,67.0,,0.67,60.300000000000004
2016-07-07,88,67.0,,0.67,58.96
2016-07-08,87,67.0,,0.67,58.290000000000006
2016-07-09,72,67.0,,0.67,48.24
2016-07-10,61,67.0,,0.67,40.870000000000005
2016-07-11,86,67.0,,0.67,57.620000000000005
2016-07-12,99,67.0,,0.67,66.33
2016-07-13,97,67.0,,0.67,64.99000000000001
2016-07-14,85,67.0,,0.67,56.95
2016-07-15,91,67.0,,0.67,60.970000000000006
2016-07-16,70,67.0,,0.67,46.900000000000006
2016-07-17,64,67.0,,0.67,42.88
2016-07-18,100,67.0,,0.67,67.0
2016-07-19,95,67.0,,0.67,63.650000000000006
2016-07-20,89,67.0,,0.67,59.63
2016-07-21,98,67.0,,0.67,65.66000000000001
2016-07-22,90,67.0,,0.67,60.300000000000004
2016-07-23,70,67.0,,0.67,46.900000000000006
2016-07-24,66,67.0,,0.67,44.220000000000006
2016-07-25,96,67.0,,0.67,64.32000000000001
2016-07-26,88,67.0,,0.67,58.96
2016-07-27,88,67.0,,0.67,58.96
2016-07-28,87,67.0,,0.67,58.290000000000006
2016-07-29,87,67.0,,0.67,58.290000000000006
2016-07-30,74,67.0,,0.67,49.580000000000005
2016-07-31,61,67.0,,0.67,40.870000000000005
2016-08-01,100,66.0,False,0.66,66.0
2016-08-02,98,66.0,,0.66,64.68
2016-08-03,98,66.0,,0.66,64.68
2016-08-04,90,66.0,,0.66,59.400000000000006
2016-08-05,94,66.0,,0.66,62.040000000000006
2016-08-06,74,66.0,,0.66,48.84
2016-08-07,67,66.0,,0.66,44.22
2016-08-08,92,66.0,,0.66,60.720000000000006
2016-08-09,93,66.0,,0.66,61.38
2016-08-10,93,66.0,,0.66,61.38
2016-08-11,91,66.0,,0.66,60.06
2016-08-12,89,66.0,,0.66,58.74
2016-08-13,70,66.0,,0.66,46.2
2016-08-14,67,66.0,,0.66,44.22
2016-08-15,98,66.0,,0.66,64.68
2016-08-16,94,66.0,,0.66,62.040000000000006
2016-08-17,84,66.0,,0.66,55.440000000000005
2016-08-18,97,66.0,,0.66,64.02
2016-08-19,94,66.0,,0.66,62.040000000000006
2016-08-20,77,66.0,,0.66,50.82
2016-08-21,73,66.0,,0.66,48.18
2016-08-22,94,66.0,,0.66,62.040000000000006
2016-08-23,98,66.0,,0.66,64.68
2016-08-24,94,66.0,,0.66,62.040000000000006
2016-08-25,94,66.0,,0.66,62.040000000000006
2016-08-26,95,66.0,,0.66,62.7
2016-08-27,71,66.0,,0.66,46.86
2016-08-28,66,66.0,,0.66,43.56
2016-08-29,99,66.0,,0.66,65.34
2016-08-30,98,66.0,,0.66,64.68
