date,GPL_unscaled,GPL_monthly,isPartial,scale,GPL
2016-05-01,64,83.0,False,0.83,53.12
2016-05-02,84,83.0,,0.83,69.72
2016-05-03,89,83.0,,0.83,73.86999999999999
2016-05-04,84,83.0,,0.83,69.72
2016-05-05,83,83.0,,0.83,68.89
2016-05-06,48,83.0,,0.83,39.839999999999996
2016-05-07,22,83.0,,0.83,18.259999999999998
2016-05-08,11,83.0,,0.83,9.129999999999999
2016-05-09,100,83.0,,0.83,83.0
2016-05-10,45,83.0,,0.83,37.35
2016-05-11,68,83.0,,0.83,56.44
2016-05-12,89,83.0,,0.83,73.86999999999999
2016-05-13,81,83.0,,0.83,67.22999999999999
2016-05-14,34,83.0,,0.83,28.22
2016-05-15,11,83.0,,0.83,9.129999999999999
2016-05-16,42,83.0,,0.83,34.86
2016-05-17,72,83.0,,0.83,59.76
2016-05-18,46,83.0,,0.83,38.18
2016-05-19,51,83.0,,0.83,42.33
2016-05-20,43,83.0,,0.83,35.69
2016-05-21,29,83.0,,0.83,24.07
2016-05-22,17,83.0,,0.83,14.11
2016-05-23,65,83.0,,0.83,53.949999999999996
2016-05-24,65,83.0,,0.83,53.949999999999996
2016-05-25,52,83.0,,0.83,43.16
2016-05-26,82,83.0,,0.83,68.06
2016-05-27,65,83.0,,0.83,53.949999999999996
2016-05-28,52,83.0,,0.83,43.16
2016-05-29,83,83.0,,0.83,68.89
2016-05-30,27,83.0,,0.83,22.41
2016-05-31,57,83.0,,0.83,47.309999999999995
2016-06-01,39,66.0,False,0.66,25.740000000000002
2016-06-02,56,66.0,,0.66,36.96
2016-06-03,35,66.0,,0.66,23.1
2016-06-04,39,66.0,,0.66,25.740000000000002
2016-06-05,33,66.0,,0.66,21.78
2016-06-06,84,66.0,,0.66,55.440000000000005
2016-06-07,55,66.0,,0.66,36.300000000000004
2016-06-08,45,66.0,,0.66,29.700000000000003
2016-06-09,81,66.0,,0.66,53.46
2016-06-10,53,66.0,,0.66,34.980000000000004
2016-06-11,26,66.0,,0.66,17.16
2016-06-12,34,66.0,,0.66,22.44
2016-06-13,73,66.0,,0.66,48.18
2016-06-14,44,66.0,,0.66,29.040000000000003
2016-06-15,62,66.0,,0.66,40.92
2016-06-16,51,66.0,,0.66,33.660000000000004
2016-06-17,29,66.0,,0.66,19.14
2016-06-18,62,66.0,,0.66,40.92
2016-06-19,28,66.0,,0.66,18.48
2016-06-20,46,66.0,,0.66,30.360000000000003
2016-06-21,86,66.0,,0.66,56.760000000000005
2016-06-22,86,66.0,,0.66,56.760000000000005
2016-06-23,34,66.0,,0.66,22.44
2016-06-24,41,66.0,,0.66,27.060000000000002
2016-06-25,0,66.0,,0.66,0.0
2016-06-26,76,66.0,,0.66,50.160000000000004
2016-06-27,73,66.0,,0.66,48.18
2016-06-28,57,66.0,,0.66,37.620000000000005
2016-06-29,23,66.0,,0.66,15.180000000000001
2016-06-30,100,66.0,,0.66,66.0
2016-07-01,75,75.0,False,0.75,56.25
2016-07-02,25,75.0,,0.75,18.75
2016-07-03,19,75.0,,0.75,14.25
2016-07-04,31,75.0,,0.75,23.25
2016-07-05,82,75.0,,0.75,61.5
2016-07-06,83,75.0,,0.75,62.25
2016-07-07,84,75.0,,0.75,63.0
2016-07-08,95,75.0,,0.75,71.25
2016-07-09,18,75.0,,0.75,13.5
2016-07-10,49,75.0,,0.75,36.75
2016-07-11,63,75.0,,0.75,47.25
2016-07-12,73,75.0,,0.75,54.75
2016-07-13,70,75.0,,0.75,52.5
2016-07-14,35,75.0,,0.75,26.25
2016-07-15,59,75.0,,0.75,44.25
2016-07-16,61,75.0,,0.75,45.75
2016-07-17,25,75.0,,0.75,18.75
2016-07-18,100,75.0,,0.75,75.0
2016-07-19,67,75.0,,0.75,50.25
2016-07-20,53,75.0,,0.75,39.75
2016-07-21,48,75.0,,0.75,36.0
2016-07-22,43,75.0,,0.75,32.25
2016-07-23,36,75.0,,0.75,27.0
2016-07-24,43,75.0,,0.75,32.25
2016-07-25,72,75.0,,0.75,54.0
2016-07-26,72,75.0,,0.75,54.0
2016-07-27,41,75.0,,0.75,30.75
2016-07-28,67,75.0,,0.75,50.25
2016-07-29,42,75.0,,0.75,31.5
2016-07-30,48,75.0,,0.75,36.0
2016-07-31,24,75.0,,0.75,18.0
2016-08-01,67,65.0,False,0.65,43.550000000000004
2016-08-02,96,65.0,,0.65,62.400000000000006
2016-08-03,63,65.0,,0.65,40.95
2016-08-04,82,65.0,,0.65,53.300000000000004
2016-08-05,50,65.0,,0.65,32.5
2016-08-06,21,65.0,,0.65,13.65
2016-08-07,28,65.0,,0.65,18.2
2016-08-08,46,65.0,,0.65,29.900000000000002
2016-08-09,100,65.0,,0.65,65.0
2016-08-10,24,65.0,,0.65,15.600000000000001
2016-08-11,68,65.0,,0.65,44.2
2016-08-12,61,65.0,,0.65,39.65
2016-08-13,21,65.0,,0.65,13.65
2016-08-14,7,65.0,,0.65,4.55
2016-08-15,48,65.0,,0.65,31.200000000000003
2016-08-16,36,65.0,,0.65,23.400000000000002
2016-08-17,91,65.0,,0.65,59.15
2016-08-18,87,65.0,,0.65,56.550000000000004
2016-08-19,63,65.0,,0.65,40.95
2016-08-20,14,65.0,,0.65,9.1
2016-08-21,29,65.0,,0.65,18.85
2016-08-22,36,65.0,,0.65,23.400000000000002
