date,ZM_unscaled,ZM_monthly,isPartial,scale,ZM
2016-09-15,25,4.0,,0.04,1.0
2016-09-16,43,4.0,,0.04,1.72
2016-09-17,59,4.0,,0.04,2.36
2016-09-18,19,4.0,,0.04,0.76
2016-09-19,49,4.0,,0.04,1.96
2016-09-20,83,4.0,,0.04,3.3200000000000003
2016-09-21,42,4.0,,0.04,1.68
2016-09-22,51,4.0,,0.04,2.04
2016-09-23,95,4.0,,0.04,3.8000000000000003
2016-09-24,30,4.0,,0.04,1.2
2016-09-25,29,4.0,,0.04,1.16
2016-09-26,42,4.0,,0.04,1.68
2016-09-27,33,4.0,,0.04,1.32
2016-09-28,100,4.0,,0.04,4.0
2016-09-29,33,4.0,,0.04,1.32
2016-09-30,9,4.0,,0.04,0.36
2016-10-01,45,4.0,False,0.04,1.8
2016-10-02,87,4.0,,0.04,3.48
2016-10-03,55,4.0,,0.04,2.2
2016-10-04,37,4.0,,0.04,1.48
2016-10-05,45,4.0,,0.04,1.8
2016-10-06,55,4.0,,0.04,2.2
2016-10-07,56,4.0,,0.04,2.24
2016-10-08,78,4.0,,0.04,3.12
2016-10-09,87,4.0,,0.04,3.48
2016-10-10,37,4.0,,0.04,1.48
2016-10-11,37,4.0,,0.04,1.48
2016-10-12,56,4.0,,0.04,2.24
2016-10-13,47,4.0,,0.04,1.8800000000000001
2016-10-14,19,4.0,,0.04,0.76
2016-10-15,46,4.0,,0.04,1.84
2016-10-16,33,4.0,,0.04,1.32
2016-10-17,55,4.0,,0.04,2.2
2016-10-18,46,4.0,,0.04,1.84
2016-10-19,37,4.0,,0.04,1.48
2016-10-20,28,4.0,,0.04,1.12
2016-10-21,38,4.0,,0.04,1.52
2016-10-22,58,4.0,,0.04,2.32
2016-10-23,100,4.0,,0.04,4.0
2016-10-24,55,4.0,,0.04,2.2
2016-10-25,82,4.0,,0.04,3.2800000000000002
2016-10-26,100,4.0,,0.04,4.0
2016-10-27,64,4.0,,0.04,2.56
2016-10-28,29,4.0,,0.04,1.16
2016-10-29,11,4.0,,0.04,0.44
2016-10-30,55,4.0,,0.04,2.2
2016-10-31,83,4.0,,0.04,3.3200000000000003
