date,AN_unscaled,AN_monthly,isPartial,scale,AN
2016-05-01,82,68.0,False,0.68,55.760000000000005
2016-05-02,99,68.0,,0.68,67.32000000000001
2016-05-03,100,68.0,,0.68,68.0
2016-05-04,98,68.0,,0.68,66.64
2016-05-05,96,68.0,,0.68,65.28
2016-05-06,89,68.0,,0.68,60.52
2016-05-07,68,68.0,,0.68,46.24
2016-05-08,75,68.0,,0.68,51.00000000000001
2016-05-09,97,68.0,,0.68,65.96000000000001
2016-05-10,95,68.0,,0.68,64.60000000000001
2016-05-11,95,68.0,,0.68,64.60000000000001
2016-05-12,93,68.0,,0.68,63.24
2016-05-13,84,68.0,,0.68,57.120000000000005
2016-05-14,69,68.0,,0.68,46.92
2016-05-15,79,68.0,,0.68,53.720000000000006
2016-05-16,94,68.0,,0.68,63.92
2016-05-17,92,68.0,,0.68,62.56
2016-05-18,90,68.0,,0.68,61.2
2016-05-19,93,68.0,,0.68,63.24
2016-05-20,85,68.0,,0.68,57.800000000000004
2016-05-21,70,68.0,,0.68,47.6
2016-05-22,74,68.0,,0.68,50.32
2016-05-23,91,68.0,,0.68,61.88
2016-05-24,90,68.0,,0.68,61.2
2016-05-25,89,68.0,,0.68,60.52
2016-05-26,85,68.0,,0.68,57.800000000000004
2016-05-27,81,68.0,,0.68,55.080000000000005
2016-05-28,67,68.0,,0.68,45.56
2016-05-29,69,68.0,,0.68,46.92
2016-05-30,73,68.0,,0.68,49.64
2016-05-31,83,68.0,,0.68,56.440000000000005
2016-06-01,98,61.0,False,0.61,59.78
2016-06-02,96,61.0,,0.61,58.56
2016-06-03,90,61.0,,0.61,54.9
2016-06-04,80,61.0,,0.61,48.8
2016-06-05,86,61.0,,0.61,52.46
2016-06-06,98,61.0,,0.61,59.78
2016-06-07,95,61.0,,0.61,57.949999999999996
2016-06-08,96,61.0,,0.61,58.56
2016-06-09,95,61.0,,0.61,57.949999999999996
2016-06-10,91,61.0,,0.61,55.51
2016-06-11,78,61.0,,0.61,47.58
