date,ED_unscaled,ED_monthly,isPartial,scale,ED
2016-05-01,76,61.0,False,0.61,46.36
2016-05-02,89,61.0,,0.61,54.29
2016-05-03,89,61.0,,0.61,54.29
2016-05-04,97,61.0,,0.61,59.17
2016-05-05,100,61.0,,0.61,61.0
2016-05-06,84,61.0,,0.61,51.24
2016-05-07,72,61.0,,0.61,43.92
2016-05-08,69,61.0,,0.61,42.089999999999996
2016-05-09,87,61.0,,0.61,53.07
2016-05-10,90,61.0,,0.61,54.9
2016-05-11,92,61.0,,0.61,56.12
2016-05-12,97,61.0,,0.61,59.17
2016-05-13,82,61.0,,0.61,50.019999999999996
2016-05-14,76,61.0,,0.61,46.36
2016-05-15,73,61.0,,0.61,44.53
2016-05-16,86,61.0,,0.61,52.46
2016-05-17,86,61.0,,0.61,52.46
2016-05-18,87,61.0,,0.61,53.07
2016-05-19,88,61.0,,0.61,53.68
2016-05-20,84,61.0,,0.61,51.24
2016-05-21,90,61.0,,0.61,54.9
2016-05-22,75,61.0,,0.61,45.75
2016-05-23,89,61.0,,0.61,54.29
2016-05-24,86,61.0,,0.61,52.46
2016-05-25,83,61.0,,0.61,50.629999999999995
2016-05-26,82,61.0,,0.61,50.019999999999996
2016-05-27,75,61.0,,0.61,45.75
2016-05-28,65,61.0,,0.61,39.65
2016-05-29,59,61.0,,0.61,35.99
2016-05-30,69,61.0,,0.61,42.089999999999996
2016-05-31,83,61.0,,0.61,50.629999999999995
2016-06-01,80,58.0,False,0.58,46.4
2016-06-02,75,58.0,,0.58,43.5
2016-06-03,76,58.0,,0.58,44.08
2016-06-04,67,58.0,,0.58,38.86
2016-06-05,70,58.0,,0.58,40.599999999999994
2016-06-06,78,58.0,,0.58,45.239999999999995
2016-06-07,78,58.0,,0.58,45.239999999999995
2016-06-08,78,58.0,,0.58,45.239999999999995
2016-06-09,100,58.0,,0.58,57.99999999999999
2016-06-10,91,58.0,,0.58,52.779999999999994
2016-06-11,82,58.0,,0.58,47.559999999999995
2016-06-12,78,58.0,,0.58,45.239999999999995
2016-06-13,91,58.0,,0.58,52.779999999999994
2016-06-14,87,58.0,,0.58,50.459999999999994
2016-06-15,84,58.0,,0.58,48.72
2016-06-16,85,58.0,,0.58,49.3
2016-06-17,81,58.0,,0.58,46.98
2016-06-18,71,58.0,,0.58,41.18
2016-06-19,67,58.0,,0.58,38.86
2016-06-20,79,58.0,,0.58,45.82
2016-06-21,76,58.0,,0.58,44.08
2016-06-22,77,58.0,,0.58,44.66
2016-06-23,69,58.0,,0.58,40.019999999999996
2016-06-24,67,58.0,,0.58,38.86
2016-06-25,67,58.0,,0.58,38.86
2016-06-26,68,58.0,,0.58,39.44
2016-06-27,73,58.0,,0.58,42.339999999999996
2016-06-28,76,58.0,,0.58,44.08
2016-06-29,76,58.0,,0.58,44.08
2016-06-30,73,58.0,,0.58,42.339999999999996
2016-07-01,73,52.0,False,0.52,37.96
2016-07-02,70,52.0,,0.52,36.4
2016-07-03,64,52.0,,0.52,33.28
2016-07-04,63,52.0,,0.52,32.76
2016-07-05,85,52.0,,0.52,44.2
2016-07-06,89,52.0,,0.52,46.28
2016-07-07,83,52.0,,0.52,43.160000000000004
2016-07-08,74,52.0,,0.52,38.480000000000004
2016-07-09,65,52.0,,0.52,33.800000000000004
2016-07-10,72,52.0,,0.52,37.44
2016-07-11,75,52.0,,0.52,39.0
2016-07-12,78,52.0,,0.52,40.56
2016-07-13,79,52.0,,0.52,41.08
2016-07-14,78,52.0,,0.52,40.56
2016-07-15,76,52.0,,0.52,39.52
2016-07-16,64,52.0,,0.52,33.28
2016-07-17,70,52.0,,0.52,36.4
2016-07-18,81,52.0,,0.52,42.120000000000005
2016-07-19,81,52.0,,0.52,42.120000000000005
2016-07-20,83,52.0,,0.52,43.160000000000004
2016-07-21,78,52.0,,0.52,40.56
