date,BAC_unscaled,BAC_monthly,isPartial,scale,BAC
2016-05-01,60,73.0,False,0.73,43.8
2016-05-02,87,73.0,,0.73,63.51
2016-05-03,93,73.0,,0.73,67.89
2016-05-04,78,73.0,,0.73,56.94
2016-05-05,91,73.0,,0.73,66.42999999999999
2016-05-06,91,73.0,,0.73,66.42999999999999
2016-05-07,62,73.0,,0.73,45.26
2016-05-08,64,73.0,,0.73,46.72
2016-05-09,84,73.0,,0.73,61.32
2016-05-10,81,73.0,,0.73,59.129999999999995
2016-05-11,91,73.0,,0.73,66.42999999999999
2016-05-12,85,73.0,,0.73,62.05
2016-05-13,83,73.0,,0.73,60.589999999999996
2016-05-14,53,73.0,,0.73,38.69
2016-05-15,58,73.0,,0.73,42.339999999999996
2016-05-16,92,73.0,,0.73,67.16
2016-05-17,88,73.0,,0.73,64.24
2016-05-18,95,73.0,,0.73,69.35
2016-05-19,90,73.0,,0.73,65.7
2016-05-20,91,73.0,,0.73,66.42999999999999
2016-05-21,65,73.0,,0.73,47.449999999999996
2016-05-22,61,73.0,,0.73,44.53
2016-05-23,99,73.0,,0.73,72.27
2016-05-24,100,73.0,,0.73,73.0
2016-05-25,98,73.0,,0.73,71.53999999999999
2016-05-26,80,73.0,,0.73,58.4
2016-05-27,85,73.0,,0.73,62.05
2016-05-28,64,73.0,,0.73,46.72
2016-05-29,58,73.0,,0.73,42.339999999999996
2016-05-30,69,73.0,,0.73,50.37
2016-05-31,97,73.0,,0.73,70.81
2016-06-01,73,79.0,False,0.79,57.67
2016-06-02,58,79.0,,0.79,45.82
2016-06-03,74,79.0,,0.79,58.46
2016-06-04,39,79.0,,0.79,30.810000000000002
2016-06-05,43,79.0,,0.79,33.97
2016-06-06,68,79.0,,0.79,53.72
2016-06-07,63,79.0,,0.79,49.77
2016-06-08,67,79.0,,0.79,52.93
2016-06-09,53,79.0,,0.79,41.870000000000005
2016-06-10,61,79.0,,0.79,48.190000000000005
2016-06-11,46,79.0,,0.79,36.34
2016-06-12,38,79.0,,0.79,30.020000000000003
2016-06-13,58,79.0,,0.79,45.82
2016-06-14,56,79.0,,0.79,44.24
2016-06-15,67,79.0,,0.79,52.93
2016-06-16,63,79.0,,0.79,49.77
2016-06-17,64,79.0,,0.79,50.56
2016-06-18,43,79.0,,0.79,33.97
2016-06-19,40,79.0,,0.79,31.6
2016-06-20,65,79.0,,0.79,51.35
2016-06-21,63,79.0,,0.79,49.77
2016-06-22,69,79.0,,0.79,54.510000000000005
2016-06-23,77,79.0,,0.79,60.830000000000005
2016-06-24,100,79.0,,0.79,79.0
2016-06-25,50,79.0,,0.79,39.5
2016-06-26,46,79.0,,0.79,36.34
2016-06-27,88,79.0,,0.79,69.52000000000001
2016-06-28,94,79.0,,0.79,74.26
2016-06-29,88,79.0,,0.79,69.52000000000001
2016-06-30,98,79.0,,0.79,77.42
2016-07-01,80,81.0,False,0.81,64.80000000000001
2016-07-02,39,81.0,,0.81,31.590000000000003
2016-07-03,45,81.0,,0.81,36.45
2016-07-04,51,81.0,,0.81,41.31
2016-07-05,92,81.0,,0.81,74.52000000000001
2016-07-06,75,81.0,,0.81,60.75000000000001
2016-07-07,65,81.0,,0.81,52.650000000000006
2016-07-08,60,81.0,,0.81,48.6
2016-07-09,39,81.0,,0.81,31.590000000000003
2016-07-10,40,81.0,,0.81,32.400000000000006
2016-07-11,72,81.0,,0.81,58.32000000000001
2016-07-12,88,81.0,,0.81,71.28
2016-07-13,86,81.0,,0.81,69.66000000000001
2016-07-14,72,81.0,,0.81,58.32000000000001
2016-07-15,75,81.0,,0.81,60.75000000000001
2016-07-16,39,81.0,,0.81,31.590000000000003
2016-07-17,47,81.0,,0.81,38.07
2016-07-18,100,81.0,,0.81,81.0
2016-07-19,80,81.0,,0.81,64.80000000000001
2016-07-20,73,81.0,,0.81,59.13
2016-07-21,72,81.0,,0.81,58.32000000000001
2016-07-22,63,81.0,,0.81,51.03
2016-07-23,41,81.0,,0.81,33.21
2016-07-24,40,81.0,,0.81,32.400000000000006
2016-07-25,74,81.0,,0.81,59.940000000000005
2016-07-26,60,81.0,,0.81,48.6
2016-07-27,79,81.0,,0.81,63.99
2016-07-28,61,81.0,,0.81,49.410000000000004
2016-07-29,54,81.0,,0.81,43.74
2016-07-30,45,81.0,,0.81,36.45
2016-07-31,48,81.0,,0.81,38.88
2016-08-01,91,80.0,False,0.8,72.8
2016-08-02,96,80.0,,0.8,76.80000000000001
2016-08-03,90,80.0,,0.8,72.0
2016-08-04,89,80.0,,0.8,71.2
2016-08-05,98,80.0,,0.8,78.4
2016-08-06,57,80.0,,0.8,45.6
2016-08-07,48,80.0,,0.8,38.400000000000006
2016-08-08,91,80.0,,0.8,72.8
2016-08-09,84,80.0,,0.8,67.2
2016-08-10,82,80.0,,0.8,65.60000000000001
2016-08-11,80,80.0,,0.8,64.0
2016-08-12,94,80.0,,0.8,75.2
2016-08-13,59,80.0,,0.8,47.2
2016-08-14,63,80.0,,0.8,50.400000000000006
