,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,MD_unscaled,MD_monthly,isPartial,scale,MD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-24,1,0.0037247956403269754,0.0,MD,67.41999816894531,68.29000091552734,66.7699966430664,68.25,68.25,468700,94,96.0,,0.96,90.24,,
1,2016-05-25,1,0.0037247956403269754,0.0,MD,68.52999877929688,68.80999755859375,67.9000015258789,68.05000305175781,68.05000305175781,332100,92,96.0,,0.96,88.32,0.5199966430664062,0.0076145355995766995
2,2016-05-31,1,0.0037247956403269754,0.0,MD,68.29000091552734,68.69000244140625,68.05999755859375,68.44999694824219,68.44999694824219,524700,99,96.0,,0.96,95.04,-0.1199951171875,-0.001743861669015745
3,2016-06-01,1,0.0037247956403269754,0.0,MD,68.11000061035156,68.11000061035156,66.9800033569336,67.98999786376953,67.98999786376953,658100,95,98.0,False,0.98,93.1,-0.5800018310546875,-0.008443759068860746
4,2016-06-02,1,0.0037247956403269754,0.0,MD,67.93000030517578,68.44000244140625,67.63999938964844,68.30999755859375,68.30999755859375,660200,95,98.0,,0.98,93.1,0.3300018310546875,0.004845130349397264
5,2016-06-03,1,0.0037247956403269754,0.0,MD,68.30999755859375,68.30999755859375,67.19000244140625,67.5,67.5,345500,93,98.0,,0.98,91.14,-0.1300048828125,-0.001899545268482461
6,2016-06-10,1,0.0037247956403269754,0.0,MD,69.41000366210938,69.51000213623047,68.52999877929688,68.87000274658203,68.87000274658203,558500,91,98.0,,0.98,89.17999999999999,1.2000045776367188,0.017567041729249055
7,2016-06-15,1,0.0037247956403269754,0.0,MD,69.4800033569336,69.87999725341797,69.06999969482422,69.12000274658203,69.12000274658203,416200,92,98.0,,0.98,90.16,0.3699951171875,0.0053229047017198106
8,2016-06-16,1,0.0037247956403269754,0.0,MD,68.5,69.4000015258789,67.9000015258789,69.37000274658203,69.37000274658203,443300,92,98.0,,0.98,90.16,-0.4799957275390625,-0.0068688572753998756
9,2016-06-23,1,0.0037247956403269754,0.0,MD,72.20999908447266,72.83000183105469,72.05999755859375,72.80000305175781,72.80000305175781,586900,93,98.0,,0.98,91.14,3.4300003051757812,0.04942363443460085
10,2016-07-11,1,0.0037247956403269754,0.0,MD,76.05000305175781,76.83999633789062,76.05000305175781,76.11000061035156,76.11000061035156,394300,95,99.0,,0.99,94.05,4.0099945068359375,0.05505965132526036
11,2016-07-13,2,0.006449591280653951,0.7315288953913679,MD,76.2300033569336,76.95999908447266,75.73999786376953,76.12000274658203,76.12000274658203,329700,93,99.0,,0.99,92.07,0.12000274658203125,0.001561722440151403
12,2016-07-14,1,0.0037247956403269754,-0.4224757076468103,MD,76.38999938964844,76.94999694824219,75.45999908447266,75.95999908447266,75.95999908447266,442300,91,99.0,,0.99,90.09,-0.01000213623046875,-0.0001299653891561059
13,2016-07-18,1,0.0037247956403269754,-0.4224757076468103,MD,75.0999984741211,75.41999816894531,74.62999725341797,74.87999725341797,74.87999725341797,401200,97,99.0,,0.99,96.03,-1.529998779296875,-0.019883025860624515
14,2016-07-22,1,0.0037247956403269754,0.0,MD,75.95999908447266,76.04000091552734,75.2699966430664,75.91000366210938,75.91000366210938,230600,82,99.0,,0.99,81.17999999999999,0.6200027465820312,0.008220667749065491
15,2016-07-26,2,0.006449591280653951,0.7315288953913679,MD,74.9800033569336,75.41999816894531,74.72000122070312,75.30999755859375,75.30999755859375,359300,93,99.0,,0.99,92.07,-0.6200027465820312,-0.00815363938870528
16,2016-08-12,1,0.0037247956403269754,-0.4224757076468103,MD,65.52999877929688,65.88999938964844,65.52999877929688,65.75,65.75,502000,82,99.0,,0.99,81.17999999999999,-9.529998779296875,-0.12635904283568278
17,2016-08-23,2,0.006449591280653951,0.7315288953913679,MD,65.08000183105469,65.66000366210938,64.61000061035156,64.87999725341797,64.87999725341797,423700,84,99.0,,0.99,83.16,-0.2299957275390625,-0.0034906014519586748
18,2016-08-29,1,0.0037247956403269754,-0.4224757076468103,MD,62.88999938964844,65.19999694824219,62.630001068115234,65.18000030517578,65.18000030517578,1138500,84,99.0,,0.99,83.16,-0.4600067138671875,-0.007005889250850661
19,2016-08-30,2,0.006449591280653951,0.7315288953913679,MD,65.0999984741211,66.4000015258789,65.0999984741211,65.88999938964844,65.88999938964844,914100,85,99.0,,0.99,84.15,1.2000045776367188,0.01840497904607763
20,2016-09-01,3,0.009174386920980927,0.4224757076468104,MD,65.58999633789062,65.73999786376953,63.7400016784668,64.4800033569336,64.4800033569336,547900,95,90.0,False,0.9,85.5,-0.660003662109375,-0.00993981395997623
21,2016-09-02,1,0.0037247956403269754,-0.594000594000594,MD,64.87000274658203,66.72000122070312,64.44000244140625,66.56999969482422,66.56999969482422,789400,94,90.0,,0.9,84.60000000000001,0.9800033569335938,0.014907261770291225
22,2016-09-06,9,0.02552316076294278,5.852231163130944,MD,66.4000015258789,67.02999877929688,65.88999938964844,66.88999938964844,66.88999938964844,674800,100,90.0,,0.9,90.0,0.30999755859375,0.004646246296793555
23,2016-09-08,1,0.0037247956403269754,-0.8540621330201772,MD,67.08999633789062,67.61000061035156,67.04000091552734,67.29000091552734,67.29000091552734,511900,94,90.0,,0.9,84.60000000000001,0.5800018310546875,0.008652869485562764
24,2016-09-12,4,0.0118991825613079,2.1945866861741035,MD,65.63999938964844,67.08000183105469,65.37000274658203,66.98999786376953,66.98999786376953,324600,98,90.0,,0.9,88.2,-0.529998779296875,-0.00783905893377157
25,2016-09-13,2,0.006449591280653951,-0.4579803068468056,MD,66.38999938964844,66.83000183105469,66.11000061035156,66.5999984741211,66.5999984741211,524600,96,90.0,,0.9,86.4,-0.25,-0.0037268931600454858
26,2016-09-16,5,0.014623978201634878,1.2674271229404312,MD,65.08000183105469,65.44999694824219,64.62999725341797,65.05999755859375,65.05999755859375,1023700,93,90.0,,0.9,83.7,-1.3800048828125,-0.020649481445491058
27,2016-09-19,41,0.112716621253406,6.707657909446618,MD,65.43000030517578,65.66999816894531,64.4800033569336,64.72000122070312,64.72000122070312,608600,97,90.0,,0.9,87.3,0.220001220703125,0.0033613633454727676
28,2016-09-21,3,0.009174386920980927,-0.9186066188024271,MD,64.61000061035156,65.36000061035156,64.47000122070312,65.29000091552734,65.29000091552734,448500,94,90.0,,0.9,84.60000000000001,-0.30999755859375,-0.004720535514501467
