,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,NFLX_unscaled,NFLX_monthly,isPartial,scale,NFLX,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,1,0.0017788161993769471,0.0,NFLX,90.41000366210938,93.22000122070312,89.88999938964844,93.11000061035156,93.11000061035156,12547000,65,24.0,,0.24,15.6,,
1,2016-05-03,3,0.003336448598130841,0.8756567425569175,NFLX,92.08000183105467,93.25,91.3000030517578,91.54000091552734,91.54000091552734,10593900,68,24.0,,0.24,16.32,0.029998779296875,0.0003218062529934951
2,2016-05-04,1,0.0017788161993769471,-0.4668534080298785,NFLX,91.0,92.16000366210938,90.3499984741211,90.79000091552734,90.79000091552734,7394700,48,24.0,,0.24,11.52,-1.089996337890625,-0.011688968770945052
3,2016-05-13,3,0.003336448598130841,0.8756567425569175,NFLX,87.38999938964844,88.58999633789062,86.26000213623047,87.87999725341797,87.87999725341797,11571400,52,24.0,,0.24,12.48,-3.57000732421875,-0.03873705710025399
4,2016-05-16,2,0.0025576323987538943,-0.23342670401493926,NFLX,87.55999755859375,90.0,86.1500015258789,89.12000274658203,89.12000274658203,11247800,60,24.0,,0.24,14.4,1.410003662109375,0.0159160596048733
5,2016-05-17,4,0.004115264797507788,0.6090133982947621,NFLX,89.0,90.87000274658205,88.16999816894531,88.62999725341797,88.62999725341797,11571300,56,24.0,,0.24,13.44,0.8700027465820455,0.009666697184244954
6,2016-05-18,13,0.01112461059190031,1.7032551097653292,NFLX,88.25,91.72000122070312,88.25,90.5,90.5,13911800,60,24.0,,0.24,14.4,0.8499984741210795,0.009354005154941447
7,2016-05-23,2,0.0025576323987538943,-0.7700924110893307,NFLX,92.9800033569336,95.29000091552734,92.8499984741211,94.88999938964844,94.88999938964844,13992300,72,24.0,,0.24,17.28,3.5699996948242188,0.03892280470247522
8,2016-05-24,7,0.006451713395638629,1.5225334957369059,NFLX,95.9800033569336,99.13999938964844,95.75,97.88999938964844,97.88999938964844,21246000,90,24.0,,0.24,21.6,3.8499984741210938,0.040402963974510264
9,2016-05-25,12,0.010345794392523363,0.6035731530661514,NFLX,99.0,100.30999755859376,98.3000030517578,100.1999969482422,100.1999969482422,15142900,100,24.0,,0.24,24.0,1.1699981689453267,0.011801474441682114
10,2016-05-26,5,0.004894080996884735,-0.5269497139415839,NFLX,103.20999908447266,104.0,101.37999725341795,102.80999755859376,102.80999755859376,17824700,92,24.0,,0.24,22.08,3.690002441406236,0.036785988747041864
11,2016-05-27,5,0.004894080996884735,0.0,NFLX,102.44000244140624,103.5,101.44000244140624,103.3000030517578,103.3000030517578,9092100,92,24.0,,0.24,22.08,-0.5,-0.004807692307692291
