,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,DOW_unscaled,DOW_monthly,isPartial,scale,DOW,Stock_Price_Change,Stock_Price_Change_Percent
0,2019-03-20,6,0.021,0.9090909090909094,DOW,52.75,53.5,49.5,49.79999923706055,42.35880661010742,2350800,88,16.0,,0.16,14.08,,
1,2019-03-21,6,0.021,0.0,DOW,49.9900016784668,50.0,48.20000076293945,48.97999954223633,41.66132354736328,1764700,85,16.0,,0.16,13.6,-3.5,-0.06542056074766356
2,2019-03-22,9,0.031,0.47619047619047605,DOW,48.79999923706055,49.95000076293945,48.15999984741211,48.59999847412109,41.33810424804688,844700,100,16.0,,0.16,16.0,-0.049999237060546875,-0.0009999847412109908
3,2019-03-25,3,0.011,0.4347826086956521,DOW,48.59999847412109,49.400001525878906,48.0,49.150001525878906,41.80593490600586,440900,94,16.0,,0.16,15.04,-0.5499992370605469,-0.01101099556876528
4,2019-03-26,8,0.02766666666666667,1.5151515151515156,DOW,49.0,49.75,48.18000030517578,48.84999847412109,41.55075454711914,504700,95,16.0,,0.16,15.2,0.34999847412109375,0.007084989135835107
5,2019-03-27,3,0.011,-0.6024096385542169,DOW,49.0,50.77999877929688,49.0,50.09999847412109,42.61397552490234,1788600,93,16.0,,0.16,14.88,1.029998779296882,0.020703493051193567
6,2019-03-28,4,0.014333333333333333,0.3030303030303032,DOW,50.900001525878906,51.0,49.915000915527344,50.84999847412109,43.25191879272461,585400,88,16.0,,0.16,14.08,0.2200012207031179,0.00433243847955378
7,2019-03-29,2,0.007666666666666667,-0.4651162790697674,DOW,49.52000045776367,52.47999954223633,49.18000030517578,51.630001068115234,43.91536712646485,1769000,84,16.0,,0.16,13.44,1.4799995422363281,0.029019598867378926
8,2019-04-01,3,0.011,0.4347826086956521,DOW,52.29999923706055,54.38999938964844,51.25,53.5,45.50594329833984,19663400,90,16.0,False,0.16,14.4,1.9099998474121094,0.03639481448308568
9,2019-04-02,7,0.024333333333333335,1.2121212121212124,DOW,55.119998931884766,57.38999938964844,54.29999923706055,56.25,47.84503555297852,17414200,100,16.0,,0.16,16.0,3.0,0.05515719863330171
10,2019-04-03,3,0.011,-0.5479452054794521,DOW,57.08000183105469,57.20000076293945,55.5099983215332,56.880001068115234,48.380897521972656,15066200,94,16.0,,0.16,15.04,-0.18999862670898438,-0.0033106574094728947
11,2019-04-04,4,0.014333333333333333,0.3030303030303032,DOW,57.20000076293945,60.52000045776367,57.09999847412109,59.709999084472656,50.78803634643555,13309200,93,16.0,,0.16,14.88,3.3199996948242188,0.058041951932547686
