,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,GET_unscaled,GET_monthly,isPartial,scale,GET,Stock_Price_Change,Stock_Price_Change_Percent
0,2021-10-18,39,0.035498308906426156,0.09000588500017304,GET,3.2699999809265137,4.320000171661377,2.940000057220459,4.320000171661377,4.320000171661377,25900,94,73.0,,0.73,68.62,,
1,2021-10-19,-5,0.025577226606538897,-0.2794804204909962,GET,3.990000009536743,3.990000009536743,3.0199999809265137,3.299999952316284,3.299999952316284,99100,98,73.0,,0.73,71.53999999999999,-0.3300001621246338,-0.07638892338231618
2,2021-10-20,24,0.032116121758737314,0.2556530171463831,GET,3.5899999141693115,4.289999961853027,2.9200000762939453,3.0,3.0,50800,95,73.0,,0.73,69.35,0.2999999523162842,0.07518795779429466
3,2021-10-21,5,0.027832018038331456,-0.13339417980131274,GET,3.400000095367432,3.400000095367432,2.220000028610229,2.220000028610229,2.220000028610229,185600,96,73.0,,0.73,70.08,-0.8899998664855953,-0.20745917818170978
4,2021-10-22,1,0.02693010146561443,-0.03240571960951111,GET,2.630000114440918,2.950000047683716,1.7999999523162842,1.9900000095367432,1.9900000095367432,277800,95,73.0,,0.73,69.35,-0.45000004768371626,-0.13235295148869264
5,2021-10-25,22,0.031665163472378806,0.17582785615606822,GET,1.9900000095367432,2.180000066757202,1.9900000095367432,2.0850000381469727,2.0850000381469727,276500,97,73.0,,0.73,70.81,-0.7699999809265137,-0.26101693846788343
6,2021-10-26,22,0.031665163472378806,0.0,GET,2.0,2.039999961853028,1.840000033378601,1.8899999856948853,1.8899999856948853,271500,94,73.0,,0.73,68.62,-0.14000010490417436,-0.06422022964083096
7,2021-10-27,39,0.035498308906426156,0.12105244419126282,GET,1.9299999475479128,2.049999952316284,1.7899999618530271,1.8200000524520876,1.8200000524520876,227400,95,73.0,,0.73,69.35,0.009999990463256392,0.004901956201103452
8,2021-10-28,11,0.02918489289740699,-0.17785117667608852,GET,1.830000042915344,1.870000004768372,1.649999976158142,1.6799999475479126,1.6799999475479126,235900,94,73.0,,0.73,68.62,-0.17999994754791215,-0.08780485450476772
9,2021-10-29,21,0.031439684329199545,0.07725885579634562,GET,1.6799999475479126,1.7000000476837158,1.5700000524520874,1.600000023841858,1.600000023841858,252800,92,73.0,,0.73,67.16,-0.1699999570846562,-0.09090906772789731
10,2021-11-01,67,0.041811724915445325,-0.015920609228646354,GET,1.6200000047683716,1.6399999856948853,1.5399999618530271,1.5499999523162842,1.5499999523162842,196600,90,76.0,False,0.76,68.4,-0.060000061988830566,-0.03529415312110251
11,2021-11-02,38,0.0352728297632469,-0.15638903119691538,GET,1.600000023841858,1.7000000476837158,1.5299999713897705,1.5299999713897705,1.5299999713897705,336900,92,76.0,,0.76,69.92,0.060000061988830566,0.036585403970846864
12,2021-11-03,1,0.02693010146561443,-0.23651996036692557,GET,1.5800000429153442,1.7000000476837158,1.5199999809265137,1.6100000143051147,1.6100000143051147,333100,91,76.0,,0.76,69.16,0.0,0.0
13,2021-11-04,58,0.03978241262683202,0.47724703813789926,GET,1.6299999952316284,1.7300000190734863,1.5800000429153442,1.6799999475479126,1.6799999475479126,253400,94,76.0,,0.76,71.44,0.029999971389770508,0.01764704149899643
14,2021-11-05,21,0.031439684329199545,-0.20970895797319145,GET,2.220000028610229,2.220000028610229,2.220000028610229,2.220000028610229,2.220000028610229,0,91,76.0,,0.76,69.16,0.4900000095367427,0.28323699660949475
15,2021-11-08,1,0.02693010146561443,0.0,GET,1.7599999904632568,1.7599999904632568,1.649999976158142,1.75,1.75,182800,92,76.0,,0.76,69.92,-0.4600000381469722,-0.20720722172014694
16,2021-11-09,1,0.02693010146561443,0.0,GET,1.7699999809265137,1.7899999618530271,1.7000000476837158,1.7400000095367432,1.7400000095367432,115400,91,76.0,,0.76,69.16,0.029999971389770286,0.017045438382004674
17,2021-11-10,12,0.029410372040586247,0.0921003056055596,GET,1.75,1.7610000371932983,1.5499999523162842,1.5499999523162842,1.5499999523162842,244700,93,76.0,,0.76,70.68,-0.028999924659728782,-0.016201075574162394
18,2021-11-11,33,0.03414543404735062,0.1609997316671139,GET,1.690000057220459,1.7699999809265137,1.690000057220459,1.75,1.75,152300,98,76.0,,0.76,74.48,0.008999943733215332,0.005110700478780039
