,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,LUV_unscaled,LUV_monthly,isPartial,scale,LUV,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,3,0.009202567760342367,0.04031607805192716,LUV,42.79999923706055,42.810001373291016,41.38999938964844,41.65999984741211,39.88203430175781,7609600,34,44.0,,0.44,14.96,,
1,2016-07-12,1,0.008489300998573465,-0.20131525969668518,LUV,41.63999938964844,45.0,41.630001068115234,42.84000015258789,41.11028671264648,8662000,45,64.0,,0.64,28.8,2.1899986267089844,0.05115623817931758
2,2016-07-15,3,0.009202567760342367,0.08401949252226526,LUV,43.119998931884766,43.56999969482422,42.70000076293945,43.15999984741211,41.41737747192383,5868500,51,64.0,,0.64,32.64,-1.4300003051757812,-0.031777784559461786
3,2016-07-20,1,0.008489300998573465,-0.11192359349350856,LUV,43.02000045776367,43.02999877929688,41.93999862670898,42.02999877929688,40.33299255371094,8225100,54,64.0,,0.64,34.56,-0.5400009155273366,-0.012393870078256763
4,2016-07-21,20,0.015265335235378031,0.7981851789615193,LUV,39.08000183105469,39.27000045776367,37.220001220703125,37.31999969482422,35.81317138671875,33749100,68,64.0,,0.64,43.52,-3.7599983215332102,-0.08738086052055072
5,2016-07-22,9,0.011342368045649073,-0.2569853284739744,LUV,37.90999984741211,38.04999923706055,37.0099983215332,37.83000183105469,36.30257034301758,18313200,74,64.0,,0.64,47.36,-1.220001220703125,-0.03106700296617726
6,2016-07-27,2,0.008845934379457916,-0.22009810086781545,LUV,37.59000015258789,37.790000915527344,37.20000076293945,37.47999954223633,35.96670150756836,8619800,56,64.0,,0.64,35.84,-0.2599983215332031,-0.006833070348131964
7,2016-07-29,0,0.008132667617689016,-0.0806321561038541,LUV,37.4900016784668,37.880001068115234,37.0099983215332,37.0099983215332,35.515682220458984,6760800,64,64.0,,0.64,40.96,0.09000015258789062,0.002381586409300862
8,2016-08-02,1,0.008489300998573465,0.04385195579722834,LUV,36.84999847412109,36.93999862670898,35.41999816894531,35.540000915527344,34.105037689208984,9579900,66,70.0,,0.7,46.2,-0.9400024414062571,-0.024815269664748896
9,2016-08-04,11,0.012055634807417975,0.4200974626113261,LUV,36.209999084472656,36.810001373291016,36.09000015258789,36.41999816894531,34.949493408203125,7366200,55,70.0,,0.7,38.5,-0.12999725341796164,-0.0035191461356463005
10,2016-08-05,2,0.008845934379457916,-0.266240681576145,LUV,36.79999923706055,37.869998931884766,36.77000045776367,37.84999847412109,36.3217658996582,9160400,62,70.0,,0.7,43.4,1.05999755859375,0.028796455285189815
11,2016-08-08,5,0.00991583452211127,0.12094823415578149,LUV,37.77000045776367,38.02999877929688,37.27000045776367,37.45000076293945,35.93791961669922,5918400,53,70.0,,0.7,37.1,0.15999984741211648,0.004224976285315041
