,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TWO_unscaled,TWO_monthly,isPartial,scale,TWO,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,7,0.009989726027397259,0.2726876090750434,TWO,12.858312606811523,12.907452583312988,12.727272987365724,12.743653297424316,6.55934476852417,1856775,96,82.0,,0.82,78.72,,
1,2016-05-04,2,0.007849315068493151,-0.21426122728830976,TWO,12.530713081359863,12.760032653808594,12.51433277130127,12.743653297424316,6.55934476852417,2897799,97,82.0,,0.82,79.53999999999999,-0.14741992950439453,-0.011421303200833122
2,2016-05-27,7,0.009989726027397259,0.2726876090750434,TWO,14.00491428375244,14.070433616638184,13.890254020690918,13.939393997192385,7.17480993270874,820573,80,82.0,,0.82,65.6,1.3104009628295898,0.10269573741556726
3,2016-06-01,7,0.009989726027397259,0.0,TWO,13.857494354248049,13.939393997192385,13.808354377746582,13.923013687133787,7.166378498077393,1457508,96,73.0,False,0.73,70.08,-0.131039619445799,-0.009313118772036
4,2016-07-07,4,0.008705479452054795,0.17305029995385346,TWO,14.054054260253906,14.070433616638184,13.791974067687988,13.82473373413086,7.359216690063477,1414712,94,68.0,,0.68,63.92,0.131039619445799,0.009400668312567362
5,2016-07-21,44,0.02582876712328767,1.9669551534225018,TWO,14.2014741897583,14.26699447631836,14.152334213256836,14.234233856201172,7.577205181121826,715262,91,68.0,,0.68,61.88,0.19656085968017578,0.013969779825956818
6,2016-07-26,3,0.008277397260273971,-0.6795279766640149,TWO,14.283373832702637,14.332513809204102,14.217853546142578,14.234233856201172,7.577205181121826,779486,92,68.0,,0.68,62.56,0.06551933288574219,0.0045923710837973974
7,2016-07-27,3,0.008277397260273971,0.0,TWO,14.217853546142578,14.283373832702637,14.103194236755373,14.250614166259766,7.585924625396728,776190,97,68.0,,0.68,65.96000000000001,-0.049139976501464844,-0.0034285664856578135
8,2016-08-09,114,0.0557945205479452,5.7405875051717015,TWO,14.578214645385742,14.6437349319458,14.545454978942873,14.6437349319458,7.795191764831543,1341635,68,72.0,,0.72,48.96,0.36036109924316406,0.025229410324477897
9,2016-08-10,8,0.010417808219178083,-0.8132825926835257,TWO,14.61097526550293,14.774774551391602,14.594594955444336,14.774774551391602,7.864946365356445,1617703,68,72.0,,0.72,48.96,0.13103961944580078,0.008948510749121397
10,2016-08-17,2,0.007849315068493151,-0.24654832347140032,TWO,14.61097526550293,14.725634574890137,14.529074668884276,14.70925521850586,7.8300700187683105,1230585,69,72.0,,0.72,49.68,-0.049139976501464844,-0.00332593748422616
11,2016-09-19,1,0.007421232876712328,-0.25711347274597185,TWO,14.29975414276123,14.5126953125,14.29975414276123,14.39803409576416,7.66439962387085,1365750,78,93.0,,0.93,72.54,-0.21293926239013672,-0.014460447276970823
12,2016-09-27,11,0.011702054794520547,0.5768343331795107,TWO,14.578214645385742,14.61097526550293,14.49631404876709,14.529074668884276,7.734156608581543,1067459,85,93.0,,0.93,79.05,0.09827995300292969,0.006771998645784372
13,2016-10-03,4,0.008705479452054795,-0.25607257828504526,TWO,13.972153663635254,14.00491428375244,13.677313804626465,13.677313804626465,7.518793106079102,2228813,88,85.0,,0.85,74.8,-0.6060609817504901,-0.04147984448248454
14,2016-10-20,7,0.009989726027397259,0.14752163650668737,TWO,13.742834091186523,13.808354377746582,13.69369411468506,13.775593757629396,7.572821140289307,928754,91,85.0,,0.85,77.35,-0.1965599060058576,-0.014035066693260156
15,2016-11-21,5,0.009133561643835615,-0.08570449091532395,TWO,13.628173828125,13.759214401245115,13.628173828125,13.710074424743652,7.53680419921875,892856,86,81.0,,0.81,69.66000000000001,-0.04913997650146662,-0.0035587134539840637
16,2016-11-22,2,0.007849315068493151,-0.14060742407199078,TWO,13.775593757629396,13.955774307250977,13.72645378112793,13.923013687133787,7.65386152267456,1155127,83,81.0,,0.81,67.23,0.19655990600586115,0.01428569250204248
17,2016-12-29,7,0.009989726027397259,0.2726876090750434,TWO,14.234233856201172,14.46355438232422,14.185093879699709,14.414414405822754,8.19068717956543,848473,64,80.0,,0.8,51.2,0.507780075073244,0.036384944603855995
18,2017-01-12,10,0.011273972602739726,0.12855673637298604,TWO,14.49631404876709,14.5126953125,14.39803409576416,14.430793762207031,8.199993133544922,847008,88,83.0,,0.83,73.03999999999999,0.049140930175779474,0.0033975694270445
19,2017-01-26,1,0.007421232876712328,-0.25711347274597185,TWO,14.217853546142578,14.348894119262695,14.217853546142578,14.316134452819824,8.134840965270996,1802196,95,83.0,,0.83,78.85,-0.1638011932373047,-0.01128675202711793
20,2017-02-24,8,0.010417808219178083,0.4037840332256577,TWO,15.249794960021973,15.282554626464844,15.13513469696045,15.23341464996338,8.656065940856934,1397557,94,88.0,,0.88,82.72,0.9336605072021484,0.06506846447133197
21,2017-03-14,1,0.007421232876712328,-0.28763971071663386,TWO,15.151515007019045,15.167895317077637,15.053235054016112,15.069615364074709,8.56299114227295,1445054,84,88.0,,0.88,73.92,-0.11465930938720703,-0.007502627158201047
22,2017-03-15,1,0.007421232876712328,0.0,TWO,15.151515007019045,15.62653636932373,15.118755340576172,15.577396392822266,8.851526260375977,2346701,87,88.0,,0.88,76.56,0.45864105224609375,0.03023761983178419
23,2017-04-11,13,0.01255821917808219,0.692201199815413,TWO,15.85585594177246,16.134315490722656,15.82309627532959,16.019655227661133,9.39609718322754,1912635,97,84.0,,0.84,81.48,0.5077791213989258,0.03249466864555739
24,2017-05-04,13,0.01255821917808219,0.0,TWO,16.34725570678711,16.380016326904297,15.904995918273926,16.15069580078125,9.4729585647583,2670754,97,83.0,,0.83,80.50999999999999,0.24570083618164062,0.015228463601255404
25,2017-06-06,1,0.007421232876712328,-0.4090537223888737,TWO,16.576576232910156,16.59295654296875,16.461915969848633,16.478296279907227,9.665106773376465,1117032,97,73.0,,0.73,70.81,0.21294021606445312,0.013000000232887166
26,2017-06-13,1,0.007421232876712328,0.0,TWO,16.560197830200195,16.723997116088867,16.511056900024414,16.625717163085938,9.75157642364502,1519779,92,73.0,,0.73,67.16,0.1310405731201172,0.007897361315976292
27,2017-06-27,9,0.010845890410958903,0.4614674665436085,TWO,17.100736618041992,17.100736618041992,16.69123649597168,16.69123649597168,9.790005683898926,2648532,94,73.0,,0.73,68.62,0.376739501953125,0.022526881542612287
28,2017-07-18,14,0.012986301369863014,0.1973476476160405,TWO,16.117935180664062,16.117935180664062,15.72481632232666,15.741195678710938,9.52966022491455,2484430,99,70.0,,0.7,69.3,-0.9828014373779297,-0.05747129257233474
29,2017-07-20,1,0.007421232876712328,-0.42853375527426163,TWO,15.970516204833984,16.085176467895508,15.904995918273926,15.986895561218262,9.67840576171875,1021000,96,70.0,,0.7,67.19999999999999,-0.03275871276855469,-0.002032438547578619
30,2017-07-25,1,0.007421232876712328,0.0,TWO,15.92137622833252,16.068796157836914,15.806715965270996,15.872236251831056,9.60899257659912,1816848,98,70.0,,0.7,68.6,-0.01638031005859375,-0.0010183481723863297
31,2017-08-02,8,0.010417808219178083,0.4037840332256577,TWO,16.281736373901367,16.380016326904297,16.216215133666992,16.314495086669922,9.876734733581545,1583881,84,71.0,,0.71,59.64,0.3112201690673828,0.019367982891213442
32,2017-08-18,9,0.010845890410958903,0.0410913872452332,TWO,16.527437210083008,16.625717163085938,16.461915969848633,16.576576232910156,10.035395622253418,1573747,82,71.0,,0.71,58.22,0.24570083618164062,0.015000036097526648
33,2017-09-13,1,0.007421232876712328,-0.3157562361856646,TWO,16.44553565979004,16.49467658996582,16.34725570678711,16.44553565979004,9.956066131591797,1331256,96,81.0,,0.81,77.76,-0.1310405731201172,-0.007881799734393846
34,2017-10-18,2,0.007849315068493151,0.0,TWO,16.625717163085938,16.674856185913086,16.576576232910156,16.59295654296875,10.366376876831056,1076128,96,86.0,,0.86,82.56,0.18017959594726562,0.010923499770639555
35,2017-10-24,2,0.007849315068493151,0.0,TWO,16.380016326904297,16.461915969848633,16.314495086669922,16.314495086669922,10.192410469055176,1334492,100,86.0,,0.86,86.0,-0.21294021606445312,-0.012770138086368954
36,2017-11-15,1,0.007421232876712328,-0.054537521815008816,TWO,15.489999771118164,15.979999542236328,15.399999618530272,15.40999984741211,9.627330780029297,1536100,99,83.0,,0.83,82.17,-0.4819164276123047,-0.029274625656878217
37,2017-11-17,11,0.011702054794520547,0.5768343331795107,TWO,15.600000381469728,15.760000228881836,15.600000381469728,15.75,9.839744567871094,1612500,91,83.0,,0.83,75.53,-0.2199993133544922,-0.013767166436583267
38,2017-11-22,22,0.01641095890410959,0.40239976587649995,TWO,16.110000610351562,16.270000457763672,16.110000610351562,16.200000762939453,10.120880126953123,2225900,70,83.0,,0.83,58.1,0.5100002288818359,0.03236042014436058
39,2017-12-05,7,0.009989726027397259,0.3461005999077065,TWO,16.18000030517578,16.229999542236328,16.100000381469727,16.15999984741211,10.0958890914917,2531500,97,77.0,,0.77,74.69,-0.04000091552734375,-0.0024585688015918983
40,2018-01-11,3,0.008277397260273971,-0.1714089818306479,TWO,15.6899995803833,15.899999618530272,15.670000076293944,15.850000381469728,10.188096046447754,2046300,89,80.0,,0.8,71.2,-0.32999992370605646,-0.020332713063070496
41,2018-01-19,3,0.008277397260273971,0.0,TWO,15.600000381469728,15.699999809265137,15.529999732971191,15.699999809265137,10.091675758361816,1699000,91,80.0,,0.8,72.8,-0.19999980926513494,-0.01257860465808125
42,2018-02-07,1,0.007421232876712328,-0.10343400910219269,TWO,14.369999885559082,14.68000030517578,14.350000381469728,14.470000267028809,9.30105686187744,3081900,91,88.0,,0.88,80.08,-1.0199995040893572,-0.06496812206885627
43,2018-02-08,1,0.007421232876712328,0.0,TWO,14.529999732971191,14.880000114440918,14.449999809265137,14.5600004196167,9.358904838562012,5371900,91,88.0,,0.88,80.08,0.1999998092651385,0.013623964925574494
44,2018-02-09,2,0.007849315068493151,0.05768343331795123,TWO,14.6899995803833,14.84000015258789,14.5,14.770000457763672,9.493889808654783,4681200,87,88.0,,0.88,76.56,-0.039999961853027344,-0.002688169458695655
45,2018-02-12,2,0.007849315068493151,0.0,TWO,14.84000015258789,15.010000228881836,14.640000343322754,15.0,9.641729354858398,2933500,89,88.0,,0.88,78.32000000000001,0.1700000762939453,0.011455530629782329
46,2018-03-02,1,0.007421232876712328,-0.054537521815008816,TWO,14.649999618530272,14.920000076293944,14.600000381469728,14.890000343322754,9.571022987365724,1492300,90,85.0,,0.85,76.5,-0.0900001525878924,-0.005996012739208134
47,2018-03-06,0,0.0069931506849315065,-0.057683433317951116,TWO,15.0600004196167,15.260000228881836,14.93000030517578,15.18000030517578,9.75743007659912,1747100,99,85.0,,0.85,84.14999999999999,0.3400001525878924,0.022788213863893514
48,2018-03-09,1,0.007421232876712328,0.061214495592556206,TWO,15.300000190734863,15.369999885559082,15.079999923706056,15.329999923706056,9.85384750366211,1365300,91,85.0,,0.85,77.35,0.1099996566772461,0.007208365336001554
49,2018-03-23,1,0.007421232876712328,0.0,TWO,15.479999542236328,15.550000190734863,15.289999961853027,15.300000190734863,9.834564208984377,1248900,89,85.0,,0.85,75.64999999999999,0.18000030517578125,0.011711145511777099
50,2018-03-28,0,0.0069931506849315065,-0.6620324395895398,TWO,15.529999732971191,15.68000030517578,15.43000030517578,15.630000114440918,10.046680450439451,2559700,91,85.0,,0.85,77.35,0.1300001144409162,0.00836013587436324
51,2018-04-12,62,0.033534246575342465,3.7952987267384914,TWO,15.640000343322754,15.65999984741211,15.460000038146973,15.600000381469728,10.338274955749512,2784400,92,89.0,,0.89,81.88,-0.0200004577636701,-0.0012755393733677733
52,2018-04-25,36,0.022404109589041096,-0.33190359477124187,TWO,15.720000267028809,15.84000015258789,15.640000343322754,15.789999961853027,10.464191436767578,1122500,97,89.0,,0.89,86.33,0.18000030517578125,0.011494272473158818
53,2018-05-01,79,0.04081164383561644,0.5543237250554323,TWO,15.25,15.279999732971191,15.130000114440918,15.229999542236328,10.09307098388672,1225800,100,81.0,False,0.81,81.0,-0.5600004196166992,-0.0353535615039251
54,2018-05-17,1,0.007421232876712328,-0.8181589326172695,TWO,15.5,15.539999961853027,15.4399995803833,15.479999542236328,10.258749008178713,1046300,87,81.0,,0.81,70.47,0.26000022888183594,0.017015722082822204
