,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,NVDA_unscaled,NVDA_monthly,isPartial,scale,NVDA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,4,0.004663003663003663,0.6468305304010349,NVDA,8.967499732971191,9.05500030517578,8.925000190734863,9.0,8.833032608032227,25607600,25,8.0,,0.08,2.0,,
1,2016-05-03,1,0.0019157509157509158,-0.589159465828751,NVDA,8.897500038146973,8.9350004196167,8.8149995803833,8.892499923706055,8.72752571105957,22402400,20,8.0,,0.08,1.6,-0.11999988555908025,-0.013252333684681261
2,2016-05-06,1,0.0019157509157509158,0.0,NVDA,8.727499961853027,8.854999542236328,8.710000038146973,8.832500457763672,8.668639183044434,18324000,27,8.0,,0.08,2.16,-0.0800008773803711,-0.008953651216930036
3,2016-05-09,11,0.011073260073260073,0.09015506671474949,NVDA,8.854999542236328,8.892499923706055,8.7475004196167,8.819999694824219,8.656371116638184,33333600,22,8.0,,0.08,1.76,0.03750038146972656,0.004234938837755831
4,2016-05-10,13,0.012904761904761905,0.1653986106516705,NVDA,8.875,9.005000114440918,8.789999961853027,8.989999771118164,8.823216438293457,26967600,25,8.0,,0.08,2.0,0.11250019073486328,0.012651132043864921
5,2016-05-11,15,0.014736263736263737,0.1419244961680386,NVDA,9.017499923706056,9.114999771118164,8.967499732971191,9.015000343322754,8.847753524780273,32817600,28,8.0,,0.08,2.24,0.1099996566772461,0.012215397587929555
6,2016-05-12,36,0.03396703296703297,1.3049962714392245,NVDA,9.079999923706056,9.119999885559082,8.732500076293945,8.892499923706055,8.72752571105957,67054000,80,8.0,,0.08,6.4,0.005000114440917969,0.0005485589211708941
7,2016-05-13,17,0.01656776556776557,-0.5122398360832525,NVDA,9.797499656677246,10.25,9.75,10.244999885559082,10.054932594299316,211025600,100,8.0,,0.08,8.0,1.130000114440918,0.12390352287506046
8,2016-05-16,6,0.006494505494505495,2.390057361376673,NVDA,10.167499542236328,10.699999809265137,10.135000228881836,10.547499656677246,10.351820945739746,97303200,55,8.0,,0.08,4.4,0.4499998092651367,0.04390242041611092
9,2016-05-17,8,0.008326007326007325,0.2820078962210939,NVDA,10.5,10.645000457763672,10.364999771118164,10.56999969482422,10.373907089233398,62839200,39,8.0,,0.08,3.12,-0.054999351501464844,-0.005140126400174361
