,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,FANG_unscaled,FANG_monthly,isPartial,scale,FANG,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-06-24,7,0.031588235294117646,0.8080808080808077,FANG,87.5199966430664,89.5,86.6500015258789,87.27999877929688,82.48184967041016,1692900,67,37.0,,0.37,24.79,,
1,2016-07-18,1,0.01747058823529412,-0.44692737430167595,FANG,90.66999816894533,90.97000122070312,89.5,90.56999969482422,85.59098052978516,696300,73,42.0,,0.42,30.66,1.470001220703125,0.016424594644727675
2,2016-07-20,2,0.019823529411764705,0.1346801346801345,FANG,90.0999984741211,90.12000274658205,88.77999877929688,89.4800033569336,84.56090545654297,1469200,84,42.0,,0.42,35.28,-0.8499984741210795,-0.009343722795593812
3,2016-08-17,8,0.03394117647058824,0.7121661721068251,FANG,95.01000213623048,95.55999755859376,93.9499969482422,95.3000030517578,90.06095886230469,759600,64,39.0,,0.39,24.96,5.439994812011719,0.06036389975829248
4,2016-09-22,-1,0.012764705882352942,-0.6239168110918545,FANG,90.38999938964844,91.26000213623048,89.3499984741211,91.0,85.9973373413086,1048400,89,36.0,,0.36,32.04,-4.299995422363281,-0.04499786032044095
5,2016-09-23,3,0.022176470588235294,0.7373271889400921,FANG,90.4800033569336,90.94000244140624,87.30999755859375,88.91999816894531,84.03168487548828,1246700,92,36.0,,0.36,33.12,-0.31999969482424717,-0.0035064616188213993
6,2016-09-29,2,0.019823529411764705,-0.1061007957559682,FANG,93.25,96.55999755859376,93.18000030517578,95.52999877929688,90.2782974243164,1540000,73,36.0,,0.36,26.28,5.619995117187528,0.06179893299220618
7,2016-10-26,1,0.01747058823529412,4.210526315789474,FANG,96.45999908447266,96.83999633789062,94.51000213623048,96.0500030517578,90.76971435546876,1276800,87,37.0,,0.37,32.19,0.2799987792968608,0.002899738881279035
8,2016-10-27,1,0.01747058823529412,0.0,FANG,96.5199966430664,97.68000030517578,95.88999938964844,96.77999877929688,91.45958709716795,1402600,84,37.0,,0.37,31.08,0.8400039672851562,0.008674142906348825
9,2016-10-31,7,0.031588235294117646,0.8080808080808077,FANG,93.70999908447266,94.25,90.51000213623048,91.29000091552734,86.27140045166016,1352000,100,37.0,,0.37,37.0,-3.4300003051757812,-0.035114663129193646
