,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,JNJ_unscaled,JNJ_monthly,isPartial,scale,JNJ,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,0,0.06490977443609022,-0.05474652359575172,JNJ,112.55999755859376,113.0999984741211,112.12000274658205,112.69000244140624,96.12673950195312,7554500,60,29.0,,0.29,17.4,,
1,2016-05-12,26,0.16265413533834586,1.505849646704506,JNJ,114.5,114.76000213623048,113.54000091552734,114.2300033569336,97.44039916992188,7156300,58,29.0,,0.29,16.82,1.6600036621093892,0.014677309323653187
2,2016-06-10,1,0.06866917293233082,0.0,JNJ,116.73999786376952,117.2300033569336,116.36000061035156,117.01000213623048,100.52440643310548,6067400,74,36.0,,0.36,26.64,2.470001220703111,0.021523189044306612
3,2016-06-14,2,0.07242857142857143,0.054746523595751606,JNJ,116.4499969482422,117.18000030517578,116.3000030517578,117.12000274658205,100.61890411376952,6378400,40,36.0,,0.36,14.4,-0.0500030517578125,-0.0004265380049983669
4,2016-06-15,1,0.06866917293233082,-0.05190491020450538,JNJ,117.63999938964844,117.73999786376952,116.33999633789062,116.41000366210938,100.00895690917967,6371400,60,36.0,,0.36,21.6,0.5599975585937358,0.004778951673795051
5,2016-06-24,28,0.17017293233082706,1.478156137085295,JNJ,115.06999969482422,117.12000274658205,115.0,115.62999725341795,99.3388214111328,13939500,99,36.0,,0.36,35.64,-0.6199951171874716,-0.005265798610807115
6,2016-06-28,3,0.07618796992481203,-0.5522909026642513,JNJ,117.16999816894533,118.37000274658205,116.5500030517578,118.2300033569336,101.5725326538086,10089600,90,36.0,,0.36,32.4,1.25,0.01067281395736197
7,2016-06-30,2,0.07242857142857143,-0.04934372841211887,JNJ,119.18000030517578,121.41000366210938,119.16000366210938,121.3000030517578,104.20999145507812,11559900,100,36.0,,0.36,36.0,3.0400009155273295,0.025682190124094673
8,2016-07-11,6,0.08746616541353383,0.04491152429713474,JNJ,122.70999908447266,123.4499969482422,122.41000366210938,122.93000030517578,105.61034393310548,6711600,49,38.0,,0.38,18.62,2.0399932861328267,0.016802513998848356
9,2016-07-18,1,0.06866917293233082,-0.3758627759174469,JNJ,123.0,123.22000122070312,122.44000244140624,123.13999938964844,105.79074096679688,6599200,52,38.0,,0.38,19.76,-0.2299957275390767,-0.001863067907855065
10,2016-07-20,11,0.10626315789473684,0.5474652359575167,JNJ,125.83999633789062,126.06999969482422,125.04000091552734,125.13999938964844,107.50895690917967,7334600,59,38.0,,0.38,22.42,2.8499984741210938,0.02312934950403367
