,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BC_unscaled,BC_monthly,isPartial,scale,BC,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,4,0.05944155844155844,0.12263919548687752,BC,48.66999816894531,48.88999938964844,47.93000030517578,48.66999816894531,44.66617584228516,840300,75,99.0,,0.99,74.25,,
1,2016-05-11,1,0.05294805194805195,-0.10924186148131954,BC,48.34000015258789,48.880001068115234,47.79999923706055,48.02000045776367,44.06966400146485,996900,65,99.0,,0.99,64.35,-0.009998321533203125,-0.00020450647694869595
2,2016-05-12,16,0.08541558441558442,0.613195977434388,BC,48.31999969482422,48.56999969482422,47.540000915527344,47.77999877929688,43.84940719604492,678500,63,99.0,,0.99,62.37,-0.3100013732910156,-0.006342090149691781
3,2016-05-13,0,0.050783549783549785,-0.4054533475242005,BC,47.810001373291016,47.970001220703125,47.02000045776367,47.18000030517578,43.29876327514648,578400,67,99.0,,0.99,66.33,-0.5999984741210938,-0.012353273170496504
4,2016-05-25,1,0.05294805194805195,0.042622112351888175,BC,46.52999877929688,46.75,46.22999954223633,46.5099983215332,42.82571792602539,1017800,79,99.0,,0.99,78.21,-1.220001220703125,-0.025432586817958902
5,2016-06-02,1,0.05294805194805195,0.0,BC,47.52999877929688,47.79999923706055,47.2400016784668,47.77999877929688,43.9951171875,776100,90,89.0,,0.89,80.1,1.0499992370605469,0.02245987672856775
6,2016-06-03,1,0.05294805194805195,0.0,BC,47.52999877929688,47.52999877929688,46.61000061035156,46.7599983215332,43.055912017822266,611000,95,89.0,,0.89,84.55,-0.27000045776366477,-0.0056485452316561435
7,2016-06-15,3,0.05727705627705628,0.08175946365791842,BC,46.77000045776367,47.43999862670898,46.619998931884766,46.70000076293945,43.00065994262695,660200,95,89.0,,0.89,84.55,-0.09000015258790484,-0.0018935441805041364
8,2016-06-21,1,0.05294805194805195,-0.07558007709167858,BC,48.08000183105469,48.52000045776367,47.7400016784668,48.11000061035156,44.298973083496094,1371700,90,89.0,,0.89,80.1,1.0800018310546946,0.022765637907220526
9,2016-07-01,4,0.05944155844155844,0.12263919548687752,BC,45.209999084472656,46.630001068115234,45.209999084472656,46.540000915527344,42.85334014892578,1012700,88,90.0,False,0.9,79.2,-1.8899993896484375,-0.03895299612154102
10,2016-07-05,1,0.05294805194805195,-0.10924186148131954,BC,46.400001525878906,46.540000915527344,44.630001068115234,44.95000076293945,41.38930130004883,755600,95,90.0,,0.9,85.5,-0.09000015258789062,-0.001930091154328295
11,2016-07-07,5,0.06160606060606061,0.16351892731583684,BC,45.310001373291016,46.400001525878906,45.310001373291016,46.34999847412109,42.67839050292969,689400,94,90.0,,0.9,84.60000000000001,-0.1399993896484375,-0.003008151845603657
12,2016-07-15,3,0.05727705627705628,-0.0702691307708524,BC,48.869998931884766,49.869998931884766,48.68000030517578,49.22999954223633,45.33026123046875,1245400,93,90.0,,0.9,83.7,3.4699974060058594,0.0747844243942648
13,2016-07-18,3,0.05727705627705628,0.0,BC,47.75,48.36000061035156,46.880001068115234,47.91999816894531,44.124019622802734,1963900,95,90.0,,0.9,85.5,-1.5099983215332031,-0.03027869167584385
14,2016-07-21,4,0.05944155844155844,0.03779003854583918,BC,49.119998931884766,49.5,48.7599983215332,49.060001373291016,45.17372131347656,904600,94,90.0,,0.9,84.60000000000001,1.1399993896484375,0.02357318807403863
