,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,RE_unscaled,RE_monthly,isPartial,scale,RE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-10,3,0.03588372093023256,0.005717487507289842,RE,181.5399932861328,183.25999450683597,180.44000244140625,183.25999450683597,159.63743591308594,499600,91,84.0,,0.84,76.44,,
1,2016-05-11,3,0.03588372093023256,0.0,RE,182.66000366210935,184.6699981689453,182.25,182.5800018310547,159.0450897216797,404400,93,84.0,,0.84,78.11999999999999,1.4100036621093466,0.007694006899344075
2,2016-05-19,29,0.041187678498572015,0.14780957578651766,RE,180.6000061035156,182.30999755859372,179.17999267578125,179.88999938964844,156.70184326171875,382400,86,84.0,,0.84,72.24,-2.360000610351591,-0.01277955614746118
3,2016-05-25,16,0.03853569971440229,-0.06438767322760552,RE,180.00999450683594,180.6000061035156,178.86000061035156,179.08999633789062,156.00497436523438,233600,91,84.0,,0.84,76.44,-1.709991455078125,-0.00937958136129391
4,2016-05-31,1,0.03547572419420645,-0.0794062529777344,RE,178.4199981689453,179.5399932861328,177.69000244140625,179.11000061035156,157.03077697753906,363700,86,84.0,,0.84,72.24,-1.060012817382784,-0.005869395246726694
5,2016-06-06,5,0.03629171766625867,0.023001460592747547,RE,178.41000366210938,178.72999572753906,177.0,177.63999938964844,155.74197387695312,446500,91,84.0,,0.84,76.44,-0.80999755859375,-0.004511516034774843
6,2016-06-08,2,0.035679722562219504,-0.0168632168272419,RE,176.19000244140625,180.4499969482422,176.02000427246094,180.13999938964844,157.9337921142578,539400,84,84.0,,0.84,70.56,1.720001220703125,0.009623461432434421
7,2016-06-16,33,0.04200367197062423,0.17724211272598356,RE,170.8300018310547,173.1300048828125,170.32000732421875,172.9199981689453,151.6038055419922,222500,84,84.0,,0.84,70.56,-7.3199920654296875,-0.04056521024785198
8,2016-06-20,4,0.03608771929824561,-0.14084370234383348,RE,176.52000427246094,177.2899932861328,174.77000427246094,175.08999633789062,153.50633239746094,290800,91,84.0,,0.84,76.44,4.1599884033203125,0.02402811925140358
9,2016-06-22,2,0.035679722562219504,-0.011305694678409473,RE,175.6300048828125,176.39999389648438,175.4199981689453,175.5399932861328,153.90086364746094,208800,85,84.0,,0.84,71.39999999999999,-0.8899993896484375,-0.005020020437431216
