,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,GDX_unscaled,GDX_monthly,isPartial,scale,GDX,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,3,0.06918181818181818,0.0,GDX,26.100000381469727,26.170000076293945,25.100000381469727,25.38999938964844,24.67727851867676,84514200,100,72.0,,0.72,72.0,,
1,2016-05-03,1,0.02372727272727273,-0.6570302233902758,GDX,25.489999771118164,25.530000686645508,24.46999931335449,24.65999984741211,23.967771530151367,94115500,69,72.0,,0.72,49.68,-0.6399993896484375,-0.02445545998405174
2,2016-05-04,3,0.06918181818181818,1.9157088122605361,GDX,24.200000762939453,24.649999618530277,23.290000915527344,23.40999984741211,22.75286102294922,122063000,100,72.0,,0.72,72.0,-0.8800010681152308,-0.03446929277113375
3,2016-05-05,3,0.06918181818181818,0.0,GDX,23.81999969482422,24.31999969482422,23.71999931335449,24.18000030517578,23.50124740600586,88670100,85,72.0,,0.72,61.2,-0.32999992370605824,-0.013387421047178716
4,2016-05-06,4,0.09190909090909091,0.32851511169513814,GDX,24.690000534057617,25.440000534057617,24.559999465942383,25.1299991607666,24.424579620361328,100086900,96,72.0,,0.72,69.12,1.1200008392333984,0.04605266666478447
5,2016-05-10,4,0.09190909090909091,0.9784735812133072,GDX,23.649999618530277,24.51000022888184,23.34000015258789,24.399999618530277,23.715070724487305,87011000,90,72.0,,0.72,64.8,-0.9300003051757777,-0.03655661500206131
6,2016-05-11,8,0.18281818181818182,0.9891196834817013,GDX,24.920000076293945,25.34000015258789,24.200000762939453,25.049999237060547,24.346824645996094,84347400,66,72.0,,0.72,47.52,0.8299999237060511,0.03386372566116935
7,2016-05-12,2,0.04645454545454546,-0.7458975634012929,GDX,25.100000381469727,25.399999618530277,24.420000076293945,24.549999237060547,23.860858917236328,76147200,76,72.0,,0.72,54.72,0.059999465942386365,0.00236777685797529
8,2016-05-13,2,0.04645454545454546,0.0,GDX,24.57999992370605,25.0,24.440000534057617,24.790000915527344,24.094127655029297,47602900,80,72.0,,0.72,57.6,-0.399999618530277,-0.015748016714081436
9,2016-05-16,3,0.06918181818181818,1.9157088122605361,GDX,25.32999992370605,25.61000061035156,25.030000686645508,25.239999771118164,24.5314884185791,64173700,77,72.0,,0.72,55.44,0.610000610351559,0.024400024414062305
10,2016-05-17,3,0.06918181818181818,0.0,GDX,25.18000030517578,25.850000381469727,24.920000076293945,25.57999992370605,24.861948013305664,60077800,81,72.0,,0.72,58.32,0.23999977111816762,0.009371330160029778
11,2016-05-18,1,0.02372727272727273,-0.6570302233902758,GDX,25.059999465942383,25.420000076293945,23.549999237060547,23.559999465942383,22.89864921569824,190329800,66,72.0,,0.72,47.52,-0.43000030517578125,-0.01663444096055111
12,2016-05-19,1,0.02372727272727273,0.0,GDX,23.0,24.09000015258789,22.780000686645508,23.959999084472656,23.28742027282715,88378000,75,72.0,,0.72,54.0,-1.3299999237060547,-0.05232100392267025
13,2016-05-20,4,0.09190909090909091,2.8735632183908044,GDX,24.239999771118164,24.270000457763672,23.3799991607666,24.049999237060547,23.37489318847656,70444800,89,72.0,,0.72,64.08,0.18000030517578125,0.00747199269554355
14,2016-05-24,5,0.11463636363636363,0.24727992087042527,GDX,23.25,23.46999931335449,22.440000534057617,22.46999931335449,21.83924674987793,124509700,64,72.0,,0.72,46.08,-0.8000011444091832,-0.032962551681916974
