,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,GOOGL_unscaled,GOOGL_monthly,isPartial,scale,GOOGL,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-16,6,0.028906976744186047,-0.05690440060698032,GOOGL,724.3200073242188,732.6799926757812,720.0,730.2999877929688,730.2999877929688,1126900,82,89.0,,0.89,72.98,,
1,2016-05-17,1,0.026000000000000002,-0.10056315366049873,GOOGL,731.0599975585938,735.8499755859375,718.0,720.1900024414062,720.1900024414062,1670200,84,89.0,,0.89,74.76,3.16998291015625,0.0043265585819798336
2,2016-05-19,2,0.02658139534883721,0.022361359570661765,GOOGL,718.2999877929688,720.5,710.3099975585938,715.3099975585938,715.3099975585938,1529900,83,89.0,,0.89,73.87,-15.3499755859375,-0.020860197180430307
3,2016-05-24,8,0.030069767441860466,0.13123359580052485,GOOGL,719.8499755859375,734.2000122070312,719.6500244140625,733.030029296875,733.030029296875,1894200,81,89.0,,0.89,72.09,13.70001220703125,0.019014590155491007
4,2016-05-27,1,0.026000000000000002,-0.1353441608662026,GOOGL,737.510009765625,747.9099731445312,737.010009765625,747.5999755859375,747.5999755859375,1740100,87,89.0,,0.89,77.43,13.7099609375,0.018673332483729377
5,2016-05-31,2,0.02658139534883721,0.022361359570661765,GOOGL,748.760009765625,753.47998046875,745.5700073242188,748.8499755859375,748.8499755859375,2124200,70,89.0,,0.89,62.3,5.57000732421875,0.0074474302044671425
6,2016-06-02,3,0.02716279069767442,0.02187226596675429,GOOGL,746.0999755859375,747.2999877929688,737.0,744.27001953125,744.27001953125,1695800,94,67.0,,0.67,62.98,-6.17999267578125,-0.008201933476635448
7,2016-06-09,18,0.03588372093023256,0.3210616438356164,GOOGL,737.0700073242188,743.9299926757812,736.5,742.52001953125,742.52001953125,959000,83,67.0,,0.67,55.61000000000001,-3.3699951171875,-0.004509561317055821
8,2016-06-13,4,0.02774418604651163,-0.22683084899546335,GOOGL,729.8200073242188,739.0,729.8200073242188,731.8800048828125,731.8800048828125,1167700,74,67.0,,0.67,49.580000000000005,-4.92999267578125,-0.006626957810974887
9,2016-06-17,1,0.026000000000000002,-0.0628667225481978,GOOGL,721.3900146484375,721.3900146484375,701.1199951171875,704.25,704.25,4113100,82,67.0,,0.67,54.940000000000005,-17.6099853515625,-0.023829479501437767
10,2016-06-24,2,0.02658139534883721,0.022361359570661765,GOOGL,690.1699829101562,705.0,684.9099731445312,685.2000122070312,685.2000122070312,4771800,82,67.0,,0.67,54.940000000000005,-16.3900146484375,-0.02272004645978498
11,2016-06-30,3,0.02716279069767442,0.02187226596675429,GOOGL,697.6500244140625,703.77001953125,694.9000244140625,703.530029296875,703.530029296875,2112500,80,67.0,,0.67,53.6,-1.22998046875,-0.0017446531471631
12,2016-07-06,1,0.026000000000000002,-0.042808219178082196,GOOGL,699.8400268554688,713.0,699.0,708.969970703125,708.969970703125,1445100,60,63.0,,0.63,37.8,9.22998046875,0.013115052094571533
13,2016-07-18,2,0.02658139534883721,0.022361359570661765,GOOGL,737.9099731445312,755.1400146484375,736.510009765625,753.2000122070312,753.2000122070312,1934900,69,63.0,,0.63,43.47,42.1400146484375,0.059102404836518296
14,2016-07-25,2,0.02658139534883721,-0.2079002079002079,GOOGL,757.6799926757812,759.8200073242188,754.0700073242188,757.52001953125,757.52001953125,1073300,55,63.0,,0.63,34.65,4.67999267578125,0.006197516467141506
15,2016-07-27,2,0.02658139534883721,0.0,GOOGL,758.969970703125,764.4500122070312,755.9299926757812,761.969970703125,761.969970703125,1608600,57,63.0,,0.63,35.910000000000004,4.6300048828125,0.006093554839543547
16,2016-07-28,5,0.02832558139534884,0.06561679790026242,GOOGL,768.8400268554688,768.969970703125,759.0900268554688,765.8400268554688,765.8400268554688,3673200,100,63.0,,0.63,63.0,4.51995849609375,0.005912693340201836
17,2016-07-29,1,0.026000000000000002,-0.08210180623973728,GOOGL,797.7100219726562,803.9400024414062,790.0,791.3400268554688,791.3400268554688,5090500,97,63.0,,0.63,61.11,34.97003173828125,0.045476459511553546
18,2016-08-09,1,0.026000000000000002,0.0,GOOGL,804.489990234375,813.3300170898438,804.0599975585938,807.47998046875,807.47998046875,1607700,75,64.0,,0.64,48.0,9.3900146484375,0.011679994302960184
19,2016-08-12,2,0.02658139534883721,0.022361359570661765,GOOGL,805.0900268554688,807.1900024414062,803.6400146484375,807.0499877929688,807.0499877929688,897300,73,64.0,,0.64,46.72,-6.1400146484375,-0.007549229119081291
20,2016-08-15,4,0.02774418604651163,0.04374453193350836,GOOGL,807.2100219726562,811.3599853515625,804.030029296875,805.9600219726562,805.9600219726562,929800,80,64.0,,0.64,51.2,4.16998291015625,0.0051660487587108506
21,2016-08-25,4,0.02774418604651163,0.04374453193350836,GOOGL,792.0,794.719970703125,787.22998046875,791.2999877929688,791.2999877929688,1202700,100,64.0,,0.64,64.0,-16.6400146484375,-0.02050879381391646
22,2016-08-30,2,0.02658139534883721,-0.04191114836546517,GOOGL,792.8800048828125,798.0,789.469970703125,791.9199829101562,791.9199829101562,1167400,95,64.0,,0.64,60.8,3.280029296875,0.004127276799113178
